job_titles,job_description,images,locations,salaries,companies
Productiemedewerker,"Wil jij aan de hand van 3D modellen hoog kwalitatieve machines in teamverband bouwen? Lees dan snel verder!
Terug naar overzicht
Voor onze relatie in Zwolle zijn wij op zoek naar:
ASSEMBLAGE MEDEWERKER
DE FUNCTIE
In deze functie als assemblage medewerker help je mee aan de bouw van diverse klant specifieke machines. Geen lijn is hetzelfde waardoor er veel diversiteit in je werkzaamheden zit. In een team van 7 collega’s zorgen jullie ervoor dat op het gebied van elektrisch én mechanisch alles haarfijn gemonteerd wordt. Gemiddeld werk je 5 tot 7 weken aan een opdracht, dit wordt gedaan van 07:30 uur tot 16:00 uur.
Functie eisen:
Jij hebt relevante werkervaring als assemblage medewerker of bent vaardig met sleutelen;
Jij haalt energie uit het werken in een klein team en aan grote machines;
Jij beheerst de Nederlandse taal en bent representatief;
Jij bent bereid om opleidingen/cursussen te volgen;
Jij hebt ervaring met elektra (pré).
HET AANBOD
Als assemblage medewerker word je ingeschaald volgens de CAO M&T. Je start met een salaris tussen de €12,53 en €15,15 bruto per uur, er wordt gekeken naar je leeftijd en ervaring. Onze opdrachtgever wil graag investeren in de kennis en kunde van medewerkers om zo een lange termijnrelatie aan te gaan. Na de uitzendperiode zien je graag op contract! Ben jij enthousiast na het lezen van de vacature en herken jij jezelf in het bovenstaande profiel? Reageer dan zo snel mogelijk!
Volg ons op Facebook & LinkedIn!",https://media.glassdoor.com/sql/2380826/pro-industry-squarelogo-1573709282787.png,Nijverdal,€2K - €3K (Employer est.),Pro industry4.1 ★
Medewerker productie en QC membranen,"Ben jij op zoek naar een functie als productiemedewerker in de buitendienst? Deze opdrachtgever uit Nijverdal is actief in de interieurbouw en winkelinrichting en is internationaal ook terug te vinden. Jij komt te werken in een modern en innovatief bedrijf dat graag blijft groeien. Naast de vele doorgroei- en ontwikkelingsmogelijkheden, kan jij een startsalaris gaan verdienen wat op kan lopen tot wel € 2.900,- bruto per maand. Klinkt goed toch? Lees dan snel verder!
Functieomschrijving:
Als productiemedewerker ben jij samen met jouw team verantwoordelijk voor de volgende taken en werkzaamheden. Denk hierbij aan?
Diverse onderdelen en halffabricaten monteren op locatie;
Het uitvoeren van kwaliteitscontrole;
Zorg dragen aan een nette werkomgeving;
Sleutelen;
Het lezen en bestuderen van technische tekeningen en instructies.
Functievereisten:
Om in aanmerking te komen voor deze functie, beschik jij naast een gemotiveerde instelling verder over:
Stressbestendigheid;
Flexibiliteit;
Oog voor detail;
Een rijbewijs B;
Nauwkeurigheidsgevoel;
Een pro-actieve houding.
Arbeidsvoorwaarden:
Uiteraard mag jij een aantal gunstige arbeidsvoorwaarden terug verwachten. Denk hierbij aan:
Direct zicht op een vaste aanstelling;
Een startsalaris tussen de € 2.300,- en € 2.900,- bruto per maand;
Reiskostenvergoeding;
Volop doorgroei- en ontwikkelingsmogelijkheden;
Een fijne werksfeer met leuke collega´s.
Ben jij de persoon die wij zoeken? Neem dan direct contact met ons op! deventer@pro-industry.nl of 0570-202000.

Vmbo",nan,Rijssen,nan,Pervatech B.V.
Allround Productiemedewerker,"Pervatech produceert membranen voor toepassing in diverse markten. Door middel van onze technologie zijn klanten in staat om energiezuiniger te werken en hergebruik van chemicaliën te realiseren. Dat past helemaal in de duurzaamheidsfilosofie van Pervatech, en in de huidige doelstellingen in de maatschappij met betrekking tot klimaatvriendelijke technologie. Er is daarom grote belangstelling voor onze producten. Om onze groei te bewerkstellingen zoeken wij een medewerker productie membranen.Jouw profiel:- Ervaring als productiemedewerker in een technische omgeving. Cleanroom of high-tech ervaring is een pré.- (V)MBO niveau, technisch inzicht en ervaring is belangrijk- Kan zeer goed nauwkeurig en repeterend werken met aandacht voor detail- Omgang met meetinstrumenten en computers voor registratie van procesdata- In staat om goed alleen en in teamverband te werken- Een positief en gedreven karakter, met een gezonde dosis verantwoordelijkheidsgevoel- Woonachtig in Rijssen of omgevingDe werkzaamheden omvatten:- Productie en testen van membranen in een cleanroom omgeving- Assistentie bij installatie van membranen in modules- Alle voorkomende werkzaamheden in de productieThuiswerkenNeeSoort dienstverband: Fulltime, Onbepaalde tijdRooster:DagdienstSecundaire arbeidsvoorwaarden:PensioenSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldErvaring:productie: 2 jaar (Gewenst)Taal:Nederlands (Vereist)Werklocatie: Fysiek",nan,Zwolle,nan,Jansen en de Wit
Productiemedewerker (eindafwerking polyester producten),"Waarom je deze baan wilt
Je komt te werken binnen een dynamisch familiebedrijf met een hecht team
Je gaat aan het werk in de dagdienst
Je krijgt een goed salaris met een royale eindejaarsuitkering
Functie-eisen
Je beschikt over minimaal VMBO werk- en denkniveau.
Je beschikt over een aanpakkersmentaliteit.
Je bent leergierig en hebt een pro-actieve werkhouding.
Je hebt oog voor kwaliteit, netheid en veiligheid.
Je beschikt over een goede beheersing van de Nederlandse taal in woord en geschrift.
Je bent woonachtig in de omgeving van Zwolle.
Wat ga je doen
Je gaat aan de slag als Allround Productiemedewerker bij een familiebedrijf die gespecialiseerd is in het ontwikkelen en produceren van hoogwaardige verven. In deze functie zorg jij er samen met je collega's voor dat alle producten op de juiste manier geproduceerd en afgevuld worden. Je werkzaamheden bestaan uit het produceren, mengen, aankleuren en afvullen van diverse verfproducten. Ook ga je aan de gang met kleine storingen en onderhoud aan de machines en zorg je er dagelijks voor dat de planning gerealiseerd wordt.",nan,Dedemsvaart,nan,Fox Industries
Productiemedewerker Metaal (Avond),"FunctieomschrijvingVoor onze afdeling Glasvezelversterkt polyester zijn wij op zoek naar een medewerker voor het op maat maken van onze verschillende producten. Dit doe je samen met een collega op onze polyester afdeling met behulp van verschillende machines en gereedschappen. Je hoeft geen ervaring te hebben op dit gebied om in aanmerking te komen, we leren je het graag. Deze afdeling wordt ondersteund door een afwerkrobot.Ben je handig maar weet je niet echt wat je nu moet doen? Solliciteer dan gerust! We geven je graag een rondleiding en laten je het werk zien.ArbeidsvoorwaardenHet betreft bij voorkeur een fulltime functie. Salaris is conform onze CAO Kleinmetaal.We zijn bij voorkeur op zoek naar mensen uit onze regio. We geven reiskostenvergoeding als je meer dan 10km van ons af woont.Onze voorkeur gaat uit naar full-time, maar part-time kan in overleg.Soort dienstverband: FulltimeRooster:Dagdienstma-vrSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldWerklocatie: Fysiek",https://media.glassdoor.com/sql/7687199/retourmatras-squarelogo-1663312408816.png,Etten-Leur,€3K (Employer est.),RetourMatras
Productiemedewerker broederij,"Productiemedewerker Metaal (avond) Etten-LeurMetaalverwerking is een belangrijk onderdeel op de recyclinglocatie van RetourMatras in Etten-Leur. Voor onze avondploeg zoeken we een Productiemedewerker Metaal. Dit is een fulltime baan in de avond van 15:00 tot 00:00 uur.Als Productiemedewerker Metaal werk je in de fabriek met machines en handmatig. RetourMatras recyclet oude matrassen tot nieuwe grondstoffen. Het metaal uit pocketveringmatrassen wordt in onze fabriek gerecycled. Jij zorgt ervoor dat de weg van het metaal van recyclinglijn tot shredder goed en veilig verloopt. Onder jouw werkzaamheden vallen ook het controleren, sorteren en opruimen van materialen rondom de machines en het schoonhouden van de werkruimte.Wil jij fulltime werken in de avond en woon je in de omgeving Etten-Leur? Solliciteer nu en kom werken bij RetourMatras, in de fabriek afdeling metaalverwerking.Jouw werkzaamheden als Productiemedewerker Metaal· IJzerbalen openknippen (deze staan onder druk)· Aanvoeren van de pocketvering op de band· Stofzakken verwisselen· Metaal verdelen in ijzerbakken· Afkoppelen van de perscontainer· Bewaken van het proces· Zorgen voor een opgeruimde werkplek· Schoonmaakwerkzaamheden in de fabriek· Werkzaamheden uitvoeren conform het veiligheidsbeleid.Overige verantwoordelijkheden· Uitvoeren dagelijkse werkzaamheden in overleg met Voorman.· De productiemedewerker metaalverwerking rapporteert aan en valt onder de verantwoordelijkheid van de Voorman.Wat vragen we?· Je hebt geen opleiding nodig voor deze baan· Je hoeft geen relevante werkervaring of kennis te hebben· Gewenste inzet:o In de gaten houden van het werkproceso Je bent flexibel en betrouwbaaro Je let goed op tijdens het werk en neemt je verantwoordelijkheido Samenwerken met collega’so Je bent lichamelijk in goede gezondheid· Heftruck certificaat heb je of je wilt een cursus volgen· BHV cursus volgen is mogelijkWat bieden we? Een fulltime baan met vaste werktijden (avonddienst)- Werken in de avond van 15:00 tot 00:00 uur- Een contract voor bepaalde tijd met uitzicht op een vast dienstverband- Een goed georganiseerde werkplek in een jong en groeiend bedrijf- Salaris wordt ingeschaald op basis van leeftijd/werkervaring tijdens het sollicitatiegesprek- 25 vakantiedagen- Op vrijdagen wordt avondeten verzorgd- Bedrijfsfeesten- Pensioen (onder voorbehoud van aanvaarding door het pensioenfonds)Wij zijn niet geïnteresseerd in diensten van werving- en selectiebureaus, uitzendorganisaties of soortgelijke bedrijven.Soort dienstverband: FulltimeSalaris: Tot €2.500,00 per maandRooster:AvondwerkDagdienstPloegendienst",nan,Lunteren,nan,Lagerwey B.V.
Productiemedewerker,"Lagerwey te Lunteren is een broederijonderneming in de vleespluimveeketen in Nederland, Duitsland en België. We leveren kuikens die uitblinken in vitaliteit en rendement voor de vleeskuikenhouder. We zijn innovatief en werken gericht samen met onze partners in de keten.Jouw nieuwe functie:Samen met jouw collega's ben je verantwoordelijk voor het hele proces van ei tot kuiken. Je werkt hierbij samen in een hecht team. Tijdens het werk ben je verantwoordelijk voor verschillende taken zoals:Opleggen, sorteren en verpakken van broedeieren, afrapen en selecteren van kuikens;Vaststellen, vastleggen en controleren van de gegevens omtrent broedeieren en kuikens;Reinigen en desinfecteren conform een strikt hygiëneprotocol;Nauwe samenwerking met afdelingsverantwoordelijke.Hiervoor vragen wij:Je hebt een sterk ontwikkeld verantwoordelijkheidsgevoel;Je denkt actief mee in het optimaliseren van werkprocessen;Je kunt zelfstandig werken maar bent ook een teamplayer;Je bent een flexibele, stressbestendige aanpakker.Wat bieden wij?Een afwisselende baan in een groeiend bedrijf dat zich continu ontwikkelt. Er heerst een open en prettige werksfeer in een enthousiast team. Je kunt rekenen op goede primaire als secundaire arbeidsvoorwaarden zoals een fietsregeling, ruime reiskostenvergoeding en studieregelingen.Soort dienstverband: Fulltime, Parttime, Onbepaalde tijdMocht je nieuwsgierig zijn naar onze broederij bekijk dan het filmpje op onze website https://lagerweybv.com/index.php/in-beeld/Soort dienstverband: Voltijds, Deeltijds, Vaste baanRooster:DagdienstFlexibel werkroosterSecundaire arbeidsvoorwaarden:BedrijfsfitnessFietsplanKerstpakketPensioenReiskostenvergoedingZorgverzekeringSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeld",nan,Almelo,€2K (Employer est.),Future Uitzendbureau
Productiemedewerker,"Houd jij van aanpakken? Vind jij het leuk om mee te werken aan de productie van onze producten, met onder andere het bekende merk Kips? Dan zijn wij op zoek naar jou!FunctieomschrijvingAls Productiemedewerker bij Zwanenberg ben je werkzaam in onze fabriek in Almelo. In onze fabriek worden veel verschillende producten geproduceerd van onder andere het bekende merk Kips, waarbij jij uitvoerende en ondersteunende werkzaamheden uitvoert.Samen met een team van enthousiaste collega’s draag je bij aan een (voedsel)veilig product waarbij kwaliteit hoog in ons vaandel staat. Zo ben je de ene dag bezig met het inpakken van onze bekende Kips leverworst en het andere moment controleer je de verpakkingen van onze snack-balletjes.Hieronder een greep uit jouw takenpakket:– Het stapelen van kratten– Diverse inpakwerkzaamheden– Stickeren van verpakkingen– Schoonhouden van de afdeling– Vouwen van dozen– Controleren van de producten– Bevoorraden van de inpakmaterialenWat wij vragen– Fulltime of parttime beschikbaar– Goede beheersing van de Nederlandse taal– Je hecht waarde aan de begrippen veiligheid en kwaliteit– Je bent leergierigWat wij bieden– Wekelijkse uitbetaling– Je kan direct aan de slag met een urengarantie– Een baan voor de langere termijn– Een leuke sfeer op de werkvloer– DoorgroeimogelijkhedenNieuwsgierig?Wij zien graag je sollicitatie tegemoet! Voor meer informatie of vragen over de vacature, kun je contact opnemen met 053 234 0230.Soort dienstverband: Fulltime, Parttime, Vaste baanSalaris: €2.145,00 - €2.247,00 per maandFlexibele taalvereiste:Nederlands niet vereistRooster:Flexibele werkurenFlexibel werkroosterma-vrSecundaire arbeidsvoorwaarden:Flexibele werkurenKerstpakketMogelijkheid tot promotieSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldWerklocatie: Fysiek",nan,Goor,nan,NKM Kozijnen
Productiemedewerker Hout,"Opzoek naar een leuke afwisselende baan als productiemedewerker in Goor? Kom werken bij NKM Kozijnen. Een fulltimebaan in dagdienst bij een snelgroeiende speler in de productie van kunststof kozijnen en aanverwante producten.Wat ga je doen?NKM Kozijnen biedt een zeer gevarieerd aanbod aan werkzaamheden. Om van ruw materiaal een kwaliteitskozijn te maken moet het product vele stations passeren. Op basis van jouw ervaring en inzetbaarheid beman je afwisselend 1 of meerdere stations. O.a. staal zagen, frezen, kunststof lassen, montage van beslag, het afbouwen van het eindproduct en de bediening van de vele machines die hiermee gemoeid zijn, behoren tot de opties. Bij een kennismakingsgesprek zal gekeken worden welke werkzaamheden het beste bij jou passen. Wat in ieder geval erg belangrijk is zijn technisch inzicht en goede samenwerking. Jouw nieuwe collega's zijn van jou afhankelijk en jij van hen. Je maakt het samen.Over NKM KozijnenNKM Kozijnen is een snelgroeiende producent van kunststof kozijnen, deuren, schuifpuien en gerelateerde producten. Wij werken enkel met profielen van de beste kwaliteit: Schuco-profielen. Onze standaard is erg hoog, enkel de beste materialen komen onze hal binnen. Het resultaat is dan ook een superieur eindproduct waar wij trots op zijn.Wij hebben in de afgelopen 5 jaar onze productiecapaciteit verviervoudigd en het einde van onze groei is nog lang niet in zicht. We zijn inmiddels uit ons jasje gegroeid en de nieuwbouwplannen liggen al op tafel. Wij zoeken dan ook nieuwe mensen die met ons mee willen groeien en deel uit willen maken van het enthousiaste NKM-team.NKM is een jonge, informele organisatie met korte lijntjes. Wij vinden het erg belangrijk dat iedereen het naar zijn zin heeft en deel uitmaakt van het team. De vrijdagmiddagborrels, personeelsuitjes en de jaarlijkse BBQ zorgen ervoor dat het werk voldoende afgewisseld wordt met een stukje ontspanning.Lijkt het je wat? Solliciteer en kom langs voor een kennismaking.Soort dienstverband: Fulltime, Bepaalde tijdRooster:Dagdienstma-vrSecundaire arbeidsvoorwaarden:BedrijfsfeestenKerstpakketPensioenPersoneelskortingReiskostenvergoedingVrijdagmiddagborrelSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldThuiswerken:Nee",https://media.glassdoor.com/sql/1481023/intro-personeel-squarelogo-1507899390639.png,Bunnik,€2K (Employer est.),Intro Personeel4.1 ★
Allround productiemedewerker,"Over de job
Heerlijk, het ruikt naar hout! Je werkt in de machinale houtbewerking als Productiemedewerker Hout. Je zorgt in de productie dat het goede hout in de machine komt. Op naar de volgende order. Ben jij uit het juiste hout gesneden voor dit werk? Wat doe je als Productiemedewerker:
Je ondersteunt de machinaal houtbewerker;
Je zorgt dat het hout in de machine komt;
Je haalt het bewerkte hout uit de machine;
Het bedrijf wil zich graag voor de lange termijn aan je verbinden.

Waar én met wie je dit doet?
Je komt als Productiemedewerker Hout te werken bij de productie in een houthandel. Het houtbedrijf is uitgegroeid tot een gerenommeerde importeur van tropisch hardhout. Deze houthandel staat bekend als een betrouwbare leverancier die gaat voor een optimale samenwerking, en is altijd op zoek naar de beste kwaliteit. Met het brede hout assortiment, de diversiteit aan bewerkingsmogelijkheden, en de kennis over houtsoorten en de toepassing van het hout, is deze onderneming een goede partner in het hout.

Dit heb je nodig:
Interesse in de productie;
Je werkt graag met hout;
Flexibel om bijvoorbeeld bij te springen op andere plekken in het bedrijf.

Het aanbod:
Hard werken in de productie moet beloont worden! Daarom mag je als Productiemedewerker Hout rekenen op:
Een bruto startsalaris tussen de € 2-100- en € 2.400,- per maand;
Doe je goed je best, dan werk je toe naar een vast dienstverband;
Vakantietoeslag van 8,33% van je bruto salaris;
25 vakantiedagen per jaar;
Secundaire arbeidsvoorwaarden uit de cao Houthandel waaronder 6 ATV-dagen per jaar;
Exclusieve toegang tot het online leerplatform Intro Academy;
Je werkt naar een vast dienstverband.",https://media.glassdoor.com/sql/931897/döhler-squarelogo-1422306588313.png,Oosterhout,nan,Döhler Holland BV3.4 ★
