job_titles,job_description,images,locations,salaries,companies
Productiemedewerker metaalfabriek,"Wil jij aan de hand van 3D modellen hoog kwalitatieve machines in teamverband bouwen? Lees dan snel verder!
Terug naar overzicht
Voor onze relatie in Zwolle zijn wij op zoek naar:
ASSEMBLAGE MEDEWERKER
DE FUNCTIE
In deze functie als assemblage medewerker help je mee aan de bouw van diverse klant specifieke machines. Geen lijn is hetzelfde waardoor er veel diversiteit in je werkzaamheden zit. In een team van 7 collega’s zorgen jullie ervoor dat op het gebied van elektrisch én mechanisch alles haarfijn gemonteerd wordt. Gemiddeld werk je 5 tot 7 weken aan een opdracht, dit wordt gedaan van 07:30 uur tot 16:00 uur.
Functie eisen:
Jij hebt relevante werkervaring als assemblage medewerker of bent vaardig met sleutelen;
Jij haalt energie uit het werken in een klein team en aan grote machines;
Jij beheerst de Nederlandse taal en bent representatief;
Jij bent bereid om opleidingen/cursussen te volgen;
Jij hebt ervaring met elektra (pré).
HET AANBOD
Als assemblage medewerker word je ingeschaald volgens de CAO M&T. Je start met een salaris tussen de €12,53 en €15,15 bruto per uur, er wordt gekeken naar je leeftijd en ervaring. Onze opdrachtgever wil graag investeren in de kennis en kunde van medewerkers om zo een lange termijnrelatie aan te gaan. Na de uitzendperiode zien je graag op contract! Ben jij enthousiast na het lezen van de vacature en herken jij jezelf in het bovenstaande profiel? Reageer dan zo snel mogelijk!
Volg ons op Facebook & LinkedIn!",https://media.glassdoor.com/sql/3055313/br-flex-uitzendbureau-squarelogo-1633089901467.png,Vriezenveen,€2K - €3K (Employer est.),BR Flex Uitzendbureau
Allround Productiemedewerker,"Als productiemedewerker bij onze opdrachtgever krijg jij de kans om te werken met de nieuwste technologie en machines. Binnen het bedrijf liggen er voldoende mogelijkheden om door te groeien en jezelf te ontwikkelen, bijvoorbeeld naar een functie als CNC operator. Wil jij graag meer te weten komen over deze mooie kans? Wacht dan niet langer en solliciteer vandaag nog op deze mooie kans om deel uit te maken van een professioneel en hecht familiebedrijf!
Wat ga je doen als Productiemedewerker metaalfabriek?Je zorgt ervoor dat de machine continu door kan draaien, dit houdt in dat je nieuwe producten in de machine legt en bij een storing de machine iets anders in gaat stellen.Controles uitvoeren. Je meet of de producten nog wel de juiste afmetingen hebben en aan de gestelde eisen voldoen.
Wat verwachten we van jou als Productiemedewerker metaalfabriek?Een nauwkeurige en flexibele instelling, het werk is in een 3-ploegensysteem.Je vindt het leuk om nieuwe dingen te leren en jezelf te ontwikkelen binnen een bedrijf.
Wat bieden wij jou als Productiemedewerker metaalfabriek?Een bruto maandsalaris tussen de €2.450,- en €2.600,-, hier komt nog een toeslag van 20% bovenop door het werken in ploegen.De kans om te starten in de productie en door te groeien naar een functie als CNC operator. Hier ga je leren om deze machines zelf te programmeren.Wanneer het werk van beide kanten goed bevalt dan ligt er een vast contract op je te wachten.Alle voorwaarden om je werk goed te kunnen doen. Werkschoenen, werkkleding en eventuele cursussen worden voor je geregeld.
Meer weten
Dan zien we je graag op onze vestiging in Vriezenveen of neem contact met ons op (0546-721100). Dit kan ook via WhatsApp: 0622115979.",nan,Zwolle,nan,Jansen en de Wit
Productiemedewerker Metaal (Avond),"Waarom je deze baan wilt
Je komt te werken binnen een dynamisch familiebedrijf met een hecht team
Je gaat aan het werk in de dagdienst
Je krijgt een goed salaris met een royale eindejaarsuitkering
Functie-eisen
Je beschikt over minimaal VMBO werk- en denkniveau.
Je beschikt over een aanpakkersmentaliteit.
Je bent leergierig en hebt een pro-actieve werkhouding.
Je hebt oog voor kwaliteit, netheid en veiligheid.
Je beschikt over een goede beheersing van de Nederlandse taal in woord en geschrift.
Je bent woonachtig in de omgeving van Zwolle.
Wat ga je doen
Je gaat aan de slag als Allround Productiemedewerker bij een familiebedrijf die gespecialiseerd is in het ontwikkelen en produceren van hoogwaardige verven. In deze functie zorg jij er samen met je collega's voor dat alle producten op de juiste manier geproduceerd en afgevuld worden. Je werkzaamheden bestaan uit het produceren, mengen, aankleuren en afvullen van diverse verfproducten. Ook ga je aan de gang met kleine storingen en onderhoud aan de machines en zorg je er dagelijks voor dat de planning gerealiseerd wordt.",https://media.glassdoor.com/sql/7687199/retourmatras-squarelogo-1663312408816.png,Etten-Leur,€3K (Employer est.),RetourMatras
Inpak Medewerker,"Productiemedewerker Metaal (avond) Etten-LeurMetaalverwerking is een belangrijk onderdeel op de recyclinglocatie van RetourMatras in Etten-Leur. Voor onze avondploeg zoeken we een Productiemedewerker Metaal. Dit is een fulltime baan in de avond van 15:00 tot 00:00 uur.Als Productiemedewerker Metaal werk je in de fabriek met machines en handmatig. RetourMatras recyclet oude matrassen tot nieuwe grondstoffen. Het metaal uit pocketveringmatrassen wordt in onze fabriek gerecycled. Jij zorgt ervoor dat de weg van het metaal van recyclinglijn tot shredder goed en veilig verloopt. Onder jouw werkzaamheden vallen ook het controleren, sorteren en opruimen van materialen rondom de machines en het schoonhouden van de werkruimte.Wil jij fulltime werken in de avond en woon je in de omgeving Etten-Leur? Solliciteer nu en kom werken bij RetourMatras, in de fabriek afdeling metaalverwerking.Jouw werkzaamheden als Productiemedewerker Metaal· IJzerbalen openknippen (deze staan onder druk)· Aanvoeren van de pocketvering op de band· Stofzakken verwisselen· Metaal verdelen in ijzerbakken· Afkoppelen van de perscontainer· Bewaken van het proces· Zorgen voor een opgeruimde werkplek· Schoonmaakwerkzaamheden in de fabriek· Werkzaamheden uitvoeren conform het veiligheidsbeleid.Overige verantwoordelijkheden· Uitvoeren dagelijkse werkzaamheden in overleg met Voorman.· De productiemedewerker metaalverwerking rapporteert aan en valt onder de verantwoordelijkheid van de Voorman.Wat vragen we?· Je hebt geen opleiding nodig voor deze baan· Je hoeft geen relevante werkervaring of kennis te hebben· Gewenste inzet:o In de gaten houden van het werkproceso Je bent flexibel en betrouwbaaro Je let goed op tijdens het werk en neemt je verantwoordelijkheido Samenwerken met collega’so Je bent lichamelijk in goede gezondheid· Heftruck certificaat heb je of je wilt een cursus volgen· BHV cursus volgen is mogelijkWat bieden we? Een fulltime baan met vaste werktijden (avonddienst)- Werken in de avond van 15:00 tot 00:00 uur- Een contract voor bepaalde tijd met uitzicht op een vast dienstverband- Een goed georganiseerde werkplek in een jong en groeiend bedrijf- Salaris wordt ingeschaald op basis van leeftijd/werkervaring tijdens het sollicitatiegesprek- 25 vakantiedagen- Op vrijdagen wordt avondeten verzorgd- Bedrijfsfeesten- Pensioen (onder voorbehoud van aanvaarding door het pensioenfonds)Wij zijn niet geïnteresseerd in diensten van werving- en selectiebureaus, uitzendorganisaties of soortgelijke bedrijven.Soort dienstverband: FulltimeSalaris: Tot €2.500,00 per maandRooster:AvondwerkDagdienstPloegendienst",https://media.glassdoor.com/sql/3139588/biscuit-international-squarelogo-1584579959712.png,Dalfsen,nan,Biscuit International Netherlands3.8 ★
Productiemedewerker met heftruckervaring,"Inpak Medewerker3-ploegendienst, 36 uur per weekWil jij werken bij de snelst groeiende producent van koekjes, cakes en wafels in Europa? En ben je een echte aanpakker? Dan ben jij misschien wel de nieuwe aanwinst voor onze productielocatie in Dalfsen. Hier zoeken wij namelijk een enthousiaste Inpak Medewerker.Wat ga je doen?Als Inpak Medewerker zorg je voor het inpakken en verpakken van koeken van de grotendeels geautomatiseerde productielijnen. Je werkzaamheden zijn:Bedienen van de inpakmachines;Bedienen van de inpaklijnen;In teamverband werken;Regelmatige controles van het product uitvoeren;Bijsturen van de productieprocessen bij afwijkingen.Wat vragen wij?Je houdt van aanpakken;Je werkt accuraat;Je beheerst de Nederlandse taal in woord en geschrift;Je bent bereid om te werken in een 3-ploegensysteem;Werkervaring in de procestechnologie is een pre.Wat bieden wij?Een zelfstandige functie binnen een nuchtere en informele werkomgeving;Een prima salaris, afgestemd op jouw achtergrond en ervaring;Goede secundaire arbeidsvoorwaarden, allen conform de CAO Zoetwarenindustrie;Een dynamisch bedrijf, waar eigen initiatief zeer gewaardeerd wordt;Volop ontwikkelingsmogelijkheden.Meer weten of solliciteren?Heb je interesse in deze vacature en wil je solliciteren? Dan maken we graag kennis met je. Stuur jouw motivatiebrief en cv t.a.v. Annemijn Bos (Recruiter), dan hoor je zo snel mogelijk van ons. Voor inhoudelijke vragen kun je tijdens kantooruren contact opnemen met Richard Smits, Bedrijfsleider, via 0529 438 214.Over Biscuit InternationalBij Biscuit International Nederland werken ongeveer 900 mensen, verdeeld over tien locaties door het hele land. Wij hebben productielocaties in Broek op Langedijk, Alkmaar, Dokkum, Middelstum, Dalfsen, Ochten, Moordrecht, Bunschoten, Tilburg en Nuth. Internationaal zijn er vestigingen in onder meer Duitsland, Frankrijk en Spanje. Belangrijke productgroepen binnen onze groep zijn: stroopwafels, eierwafels, American cookies en sandwich biscuits. Tevens hebben wij een focus op biologische en glutenvrije koek. Naast private label hebben we een merkenportfolio waarmee we onze markt bedienen, bestaande uit Kanjers en Buys.Soort dienstverband: Voltijds, Vaste baanRooster:PloegendienstSecundaire arbeidsvoorwaarden:PensioenReiskostenvergoedingSoorten aanvullende vergoedingen:Vakantiegeld",https://media.glassdoor.com/sql/4763618/seesing-flex-squarelogo-1636463524230.png,Varsseveld,nan,Seesing Flex
Assemblage Medewerker Montageploeg,"Wil jij werken voor dé deuren fabrikant van de Achterhoek? Neem dan vast een kijkje binnen Svedex! https://www.youtube.com/watch?v=dfzJLYbCfZM
Productiemedewerker met heftruckervaring
Over onze opdrachtgever
Svedex is een gigant in het produceren en leveren van binnendeuren en binnen-kozijnen. Ze staan bekend om het ontwikkelen en gebruiken van superlak. Deze speciale lak zorgt voor een prachtige glans en een enorm sterke beschermlaag op alle artikelen in hun assortiment. Ze vinden het belangrijk om milieuvriendelijk te werken. Ze besteden daarom veel aandacht aan duurzaamheid en recyclen. Na een uitgebreid inwerkprogramma waarin je de tijd krijgt om verschillende producten en de organisatie te leren kennen word je onderdeel van een enthousiast team. De cultuur binnen het bedrijf is gebaseerd op positiviteit, creativiteit, innovatie en bereidheid om elkaar verder te helpen.
Wat zijn jouw werkzaamheden?
Wij zijn per direct op zoek naar een productiemedewerker met heftruckcertificaat. In deze functie hou jij je dagelijks bezig met het inpakken en picken van de deuren. In de productie lever jij een bijdrage aan het maken van luxe binnendeuren en kozijnen. Gedurende de dag ben je lekker bezig! Als jij laat zien wat je kunt is er altijd de mogelijkheid om jezelf te ontwikkelen. Svedex heeft oog voor talent! De werkzaamheden vinden plaats in twee ploegen. De vroege ploeg werkt van 06.00 uur tot 14.30 uur en de late ploeg van 14.30 uur tot 23.00 uur.
Wat vragen wij van jou?
Bij voorkeur ervaring in een productie-omgeving. In het bezit van een heftruckcertificaat;
Werken in een twee ploegensysteem is geen probleem voor jou.
Interesse? Reageer direct of neem contact op met Anthony Piedra Climent via 0314-216155.",nan,Arnhem,nan,Industriepark Kleefse Waard
Productiemedewerker (eindafwerking polyester producten),"Duurzame huizen van hout bouwen in één week, dat doe je als Assemblage Medewerker bij Treetek! Geen vieze handen, alles is schoon. Lees hier de vacature!


Functie
Als Assemblage Medewerker Montage bij Treetek ben jij de persoon die daadwerkelijk de gebouwen in elkaar zet! Dus hopelijk heb je geen last van hoogtevrees, dat dak moet er ook gewoon op! Projecten van Treetek duren enkele dagen tot weken, je werkt dus op veel verschillende plekken aan verschillende gebouwen.
Aanbod
Je bent lekker op pad naar verschillende projecten met gezellige en ambitieuze collega's. Treetek zorgt goed voor haar medewerkers en succes worden ook gevierd! Als Assemblage Medewerker krijg je ook:
Een marktconform salaris;
Voldoende vakantiedagen;
Geld voor je tijd;
Vakantiegeld;
Alles om je werk veilig en goed uit te kunnen voeren;
Je draagt bij aan een schonere wereld!
Profiel en vaardigheden
Bij Treetek staan ze open voor veel verschillende mensen en achtergronden, zo is hun cultuur ook! Je hoeft voor deze positie ook geen ervaren Timmerman te zijn, door de technieken die Treetek gebruikt is het bouwen namelijk heel simpel. Als je een Ikea kast in elkaar kan zetten, ben je al een heel eind op weg voor een Treetek-gebouw! Als Assemblage Medewerker vragen we het volgende:
Je vindt het leuk om nieuwe dingen te leren en laat dit zien door een actieve werkhouding;
Je bent representatief, de klant beschouwt jouw als een betrouwbare medewerker;
Je kan goed luisteren en begrijpt en spreekt Nederlands.
Over de organisatie
Treetek zet zich in voor een schone bouw! Ze ontwerpen gebouwen samen met hun klant. Door super geavanceerde IT programma's worden de ontwerpen één op één doorgestuurd naar een productiebedrijf. Daar worden de onderdelen van het gebouw gemaakt. Op de bouw is het een kwestie van netjes in elkaar zetten en laten zien dat bouwen ook schoon kan!
Treetek bouwt duurzaam. Elk project is uniek en een kunst op zich! Dit doen ze met een team van ongeveer 15 mensen. Mensen die bij Treetek werken zijn avontuurlijk en nieuwsgierig, durven anders te denken dan ze gewend waren en vooral gepassioneerd!",nan,Dedemsvaart,nan,Fox Industries
Assemblage medewerker Veenendaal,"FunctieomschrijvingVoor onze afdeling Glasvezelversterkt polyester zijn wij op zoek naar een medewerker voor het op maat maken van onze verschillende producten. Dit doe je samen met een collega op onze polyester afdeling met behulp van verschillende machines en gereedschappen. Je hoeft geen ervaring te hebben op dit gebied om in aanmerking te komen, we leren je het graag. Deze afdeling wordt ondersteund door een afwerkrobot.Ben je handig maar weet je niet echt wat je nu moet doen? Solliciteer dan gerust! We geven je graag een rondleiding en laten je het werk zien.ArbeidsvoorwaardenHet betreft bij voorkeur een fulltime functie. Salaris is conform onze CAO Kleinmetaal.We zijn bij voorkeur op zoek naar mensen uit onze regio. We geven reiskostenvergoeding als je meer dan 10km van ons af woont.Onze voorkeur gaat uit naar full-time, maar part-time kan in overleg.Soort dienstverband: FulltimeRooster:Dagdienstma-vrSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldWerklocatie: Fysiek",https://media.glassdoor.com/sql/3053483/attract-uitzendbureau-squarelogo-1629465366722.png,Veenendaal,€2K (Employer est.),Attract Uitzendbureau4.5 ★
Medewerker productie afmontage,"Werken met je handen is jou niet vreemd. Je hebt licht technisch inzicht en zoekt een baan waar je door je inzet en hart voor de zaak kans maakt op een vaste baan.
Wat ga je doen?

Als assemblagemedewerker ben je verantwoordelijk voor het in elkaar zetten van diverse zuilen en toebehoren van de ondergrondse containers. Je werkt in Veenendaal, maar indien nodig vind je het ook leuk om samen met een monteur onderhoud uit te voeren en storingen te verhelpen in de buitendienst. Je test de elektronische onderdelen en verwerkt deze. Voordat het product af is, voer je de eindcontrole uit. Je staat achter je product en weet dat wat er uit jouw handen komt topwerk is. Je werkt in een klein en rustig team en voel je verantwoordelijk voor hetgeen je uitvoert.

Wat vragen we van je?
Je hebt licht technisch inzicht;
Je hebt minimaal een afgeronde vmbo-opleiding;
Je werkt secuur;
Je bent een echte teamplayer.
Wat bieden wij?
Een bruto salaris tussen de € 1.900 en € 2.400 per maand, afhankelijk van leeftijd en relevante werkervaring;
Werken bij een mooi en betrouwbaar familiebedrijf;
Een baan waar je echt een vak mag leren;
Kans op een vast dienstverband;
Veel verantwoordelijkheid dragen voor een mooi eindproduct.

Ben jij op zoek naar een technische productie/assemblage baan, dan is dit misschien wel de baan waar je naar op zoek bent. Neem dan snel contact met ons op. We komen graag met je in contact. Je kan ons bellen via 0318745785 of via veenendaal@attract.nl.",nan,Breukelen,€2K - €3K (Employer est.),LincSafe
Productiemedewerker 3-ploegen,"Over Merlin / LincsafeMerlin houdt zich bezig met het ontwikkelen, bouwen, distribueren en onderhouden van een breed scala aan geldverwerkende apparatuur & dienstverlening zoals geldautomaten, wisselautomaten, bankbiljetten en munten tellers, vals geld detectoren en nog veel meer. Met ons internationale label Lincsafe leveren wij wereldwijd intelligente kluizen & andere betaalapparatuur in diverse branches. Tezamen hebben we grote partnerships opgebouwd met o.a. banken, waarde transporteurs, winkelketens, casino’s en anderen.Voor de uitbreiding van onze productieafdeling Assemblage zoeken wij een:Medewerker Productie Afmontage (32-40u/wk)(Standplaats Breukelen)FunctieIn deze functie ben je samen met een team verantwoordelijk voor het bouwen van betaalsystemen waarin zowel electronica als mechanische componenten zijn verwerkt. Zo bouw je onder andere smartsafes, recycleautomaten, muntstort- en muntrol opname automaten en nog vele andere geldverwerkende automaten.Wat ga je doenAan de hand van een pick lijst zorgen we ervoor dat we bij iedere automaat precies weten wat we nodig hebben. Je leert om zelfstandig biljet- en muntmodules in te bouwen, pinapparatuur aan te sluiten, elektronica in te bouwen & zelf sloten programmeren. Het werk is leuk en afwisselend; zo werk je bijvoorbeeld de ene dag aan kleine kluizen, terwijl je de volgende dag manshoge geldautomaten in elkaar zet.Jij bent/hebtZelfstandig, maar gewend om samen te werkenAanleg/interesse voor techniekErvaring met het assembleren van automaten een grote préSecuur in je werkGoede beheersing van de Nederlandse taalWij biedenEen gezellige werksfeer waarbij je te maken krijgt met allerlei geld verwerkende producten en een afwisselende werkomgeving. Jij weet straks alles over het opbouwen van innovatieve betaalautomaten en krijgt volop ruimte om je persoonlijke te ontwikkelen. Opleidingen binnen de functie zijn mogelijk (intern / extern).Soort dienstverband: Vast, Voltijd (80% is bespreekbaar)Salaris: Goed en in overeenstemming met kennis en ervaring. Daarnaast krijg je van ons een pensioenbijdrage waarbij je zelf de vrije keuze hebt waar je deze wilt opsparen.Werktijden: 08:30 - 17:00Sportruimte & iedere dag vers fruit: In ons nieuwe pand hebben wij een eigen sportruimte met douches zodat je gezond en met plezier aan het werk kunt.Vrijdagmiddag borrel & feestjes: Het is leuk om naast het werken ook andere dingen samen te doen. Zo sluiten we iedere vrijdag af met een gezellig drankje en organiseren we geregeld een leuk feestje.Ben je enthousiast en wil jij onderdeel uitmaken van ons mooie team? Stuur dan jouw sollicitatie via indeed naar ons toe.Work RemotelyNeeSoort dienstverband: Onbepaalde tijdSalaris: €2.000,00 - €3.000,00 per maandRooster:Dagdienstma-vrSecundaire arbeidsvoorwaarden:BedrijfsfeestenBedrijfsfitnessExtra vakantiedagenKerstpakketPensioenReiskostenvergoedingVrijdagmiddagborrelSoorten aanvullende vergoedingen:VakantiegeldWerklocatie: Fysiek",https://media.glassdoor.com/sql/4764040/verdo-werkt-squareLogo-1619418080372.png,Apeldoorn,€3K - €4K (Employer est.),Verdo Werkt4.8 ★
