job_titles,job_description,images,locations,salaries,companies
Productiemedewerker Metaal (Avond),"De Döhler Groep is een internationale groep van bedrijven met meer dan 7.000 medewerkers in ruim 30 landen waar Döhler Holland B.V. in Oosterhout met 360 medewerkers onderdeel van uit maakt. Als toonaangevende producent van natuurlijke ingrediënten voor de voedingsmiddelenindustrie, en in het bijzonder de fris- en vruchtendrankindustrie, zijn innovatie en ambitie van grote waarde bij Döhler.Voor onze afdeling Verpakking (Bag-In-Box) zijn we op zoek naar een nieuwe collega.Allround Worker Production | Verpakking3-ploegendienst | FulltimeIn deze functie ben je bezig met het opstarten, afstoppen en het uitvoeren van batchwissels op de klein verpakking lijn. Je bouwt de inpaklijn om, stelt de machines van de Bag-In-Box af, en zorgt ervoor dat de machines zijn bijgevuld. Ook zorg je ervoor dat de kwaliteitscontroles worden uitgevoerd en hou je de productieplanning in de gaten. Je verhelpt kleine storingen en geeft ondersteuning aan onze Technische Dienst. We werken volgens werkinstructie procedures (WI&EPL), en kunnen we op deze manier een kwalitatief hoogstaand eindproduct garanderen.Je profiel· Je beschikt over een LBO/MBO werk-denkniveau· Je kunt goed zelfstandig en in teamverband werken, stelt prioriteiten en lost problemen op· Je hebt een technisch inzicht en affiniteit met het bedienen van apparatuur, en kunt storingen goed verwoorden· Je hebt een groot verantwoordelijkheidsgevoel· Je bent communicatief goed vaardig, en beheerst bij voorkeur de Nederlandse taal in woord en geschrift· Je bent een echte aanpakker!Wij bieden· Een motiverende werkomgeving van een internationaal en innovatief bedrijf· Een collegiale en gezellige werksfeer, waarin je ruimte krijgt om jezelf te zijn en jezelf te ontwikkelen· Vaste baan met een goed arbeidsvoorwaardenpakket· Werk in een gemotiveerd team met leuke en professionele collega’sHeb jij interesse in deze uitdagende functie? Stuur ons dan jouw motivatie en cv toe.Kijk ook op www.werkenbijdoehler.comSoort dienstverband: Fulltime, Vaste baanRooster:PloegendienstSecundaire arbeidsvoorwaarden:BedrijfsfitnessPensioenReiskostenvergoedingSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldWerklocatie: Fysiek",https://media.glassdoor.com/sql/7687199/retourmatras-squarelogo-1663312408816.png,Etten-Leur,€3K (Employer est.),RetourMatras
Assemblage medewerker,"Productiemedewerker Metaal (avond) Etten-LeurMetaalverwerking is een belangrijk onderdeel op de recyclinglocatie van RetourMatras in Etten-Leur. Voor onze avondploeg zoeken we een Productiemedewerker Metaal. Dit is een fulltime baan in de avond van 15:00 tot 00:00 uur.Als Productiemedewerker Metaal werk je in de fabriek met machines en handmatig. RetourMatras recyclet oude matrassen tot nieuwe grondstoffen. Het metaal uit pocketveringmatrassen wordt in onze fabriek gerecycled. Jij zorgt ervoor dat de weg van het metaal van recyclinglijn tot shredder goed en veilig verloopt. Onder jouw werkzaamheden vallen ook het controleren, sorteren en opruimen van materialen rondom de machines en het schoonhouden van de werkruimte.Wil jij fulltime werken in de avond en woon je in de omgeving Etten-Leur? Solliciteer nu en kom werken bij RetourMatras, in de fabriek afdeling metaalverwerking.Jouw werkzaamheden als Productiemedewerker Metaal· IJzerbalen openknippen (deze staan onder druk)· Aanvoeren van de pocketvering op de band· Stofzakken verwisselen· Metaal verdelen in ijzerbakken· Afkoppelen van de perscontainer· Bewaken van het proces· Zorgen voor een opgeruimde werkplek· Schoonmaakwerkzaamheden in de fabriek· Werkzaamheden uitvoeren conform het veiligheidsbeleid.Overige verantwoordelijkheden· Uitvoeren dagelijkse werkzaamheden in overleg met Voorman.· De productiemedewerker metaalverwerking rapporteert aan en valt onder de verantwoordelijkheid van de Voorman.Wat vragen we?· Je hebt geen opleiding nodig voor deze baan· Je hoeft geen relevante werkervaring of kennis te hebben· Gewenste inzet:o In de gaten houden van het werkproceso Je bent flexibel en betrouwbaaro Je let goed op tijdens het werk en neemt je verantwoordelijkheido Samenwerken met collega’so Je bent lichamelijk in goede gezondheid· Heftruck certificaat heb je of je wilt een cursus volgen· BHV cursus volgen is mogelijkWat bieden we? Een fulltime baan met vaste werktijden (avonddienst)- Werken in de avond van 15:00 tot 00:00 uur- Een contract voor bepaalde tijd met uitzicht op een vast dienstverband- Een goed georganiseerde werkplek in een jong en groeiend bedrijf- Salaris wordt ingeschaald op basis van leeftijd/werkervaring tijdens het sollicitatiegesprek- 25 vakantiedagen- Op vrijdagen wordt avondeten verzorgd- Bedrijfsfeesten- Pensioen (onder voorbehoud van aanvaarding door het pensioenfonds)Wij zijn niet geïnteresseerd in diensten van werving- en selectiebureaus, uitzendorganisaties of soortgelijke bedrijven.Soort dienstverband: FulltimeSalaris: Tot €2.500,00 per maandRooster:AvondwerkDagdienstPloegendienst",https://media.glassdoor.com/sql/3069511/groei-personeelsdiensten-squarelogo-1580121859003.png,Zwolle,€12.53 - €15.15 Per Hour (Employer est.),Groei Personeelsdiensten
Betrouwbare productiemedewerker gezocht!,"Wil jij aan de hand van 3D modellen hoog kwalitatieve machines in teamverband bouwen? Lees dan snel verder!
Terug naar overzicht
Voor onze relatie in Zwolle zijn wij op zoek naar:
ASSEMBLAGE MEDEWERKER
DE FUNCTIE
In deze functie als assemblage medewerker help je mee aan de bouw van diverse klant specifieke machines. Geen lijn is hetzelfde waardoor er veel diversiteit in je werkzaamheden zit. In een team van 7 collega’s zorgen jullie ervoor dat op het gebied van elektrisch én mechanisch alles haarfijn gemonteerd wordt. Gemiddeld werk je 5 tot 7 weken aan een opdracht, dit wordt gedaan van 07:30 uur tot 16:00 uur.
Functie eisen:
Jij hebt relevante werkervaring als assemblage medewerker of bent vaardig met sleutelen;
Jij haalt energie uit het werken in een klein team en aan grote machines;
Jij beheerst de Nederlandse taal en bent representatief;
Jij bent bereid om opleidingen/cursussen te volgen;
Jij hebt ervaring met elektra (pré).
HET AANBOD
Als assemblage medewerker word je ingeschaald volgens de CAO M&T. Je start met een salaris tussen de €12,53 en €15,15 bruto per uur, er wordt gekeken naar je leeftijd en ervaring. Onze opdrachtgever wil graag investeren in de kennis en kunde van medewerkers om zo een lange termijnrelatie aan te gaan. Na de uitzendperiode zien je graag op contract! Ben jij enthousiast na het lezen van de vacature en herken jij jezelf in het bovenstaande profiel? Reageer dan zo snel mogelijk!
Volg ons op Facebook & LinkedIn!",nan,Breda,nan,Lion Laser Systems BV
Medewerker productie en QC membranen,"Betrouwbare productiemedewerk(st)er gezocht.Weet jij van aanpakken? Dan zijn wij op zoek naar jou.Wie zijn wij?Wij zijn Lion Lasers, een bedrijf met 18 leuke medewerkers.Wij bedenken, maken en verkopen lasersystemen. Met deze lasersystemen kunnen wij producten graveren of snijden.Naast het bedenken en bouwen van de systemen gebruiken wij deze machines ook zelf voor het uitvoeren van productieopdrachten. Bijvoorbeeld lasergraveren van typeplaatjes, machinedelen, bekers, houten tafelbladen enzovoort.Wij zoeken versterking om de producten van onze klanten te graveren en/of snijden. Kennis van onze machines heb je niet nodig, maar een aanpakkersmentaliteit wel! Én je moet zorgvuldig kunnen werken. Ben jij onze leuke, nieuwe collega?Wie ben jij en hoe ziet je werkdag eruit? Je start ‘s morgens tussen 8 uur en 9 uur.Bij binnenkomst begroet je de aanwezige collega’s en pakt een kop koffie.Bij de start van de werkzaamheden klok je jezelf in en kijkt in de productieplanning wat je vandaag kan gaan doen. O leuk, het zijn 500 typeplaatjes waar een QR code op moet komen te staan.De machine staat al ingesteld dus je kan gelijk aan de slag. Jij hebt zin om te knallen!Als alle typeplaatjes gegraveerd en netjes ingepakt zijn, geef je dit door aan de werkvoorbereider.Je kijkt daarna nog een keer in de productieplanning om te zien welke opdracht je nu kan gaan graveren. Het zijn 100 bekers waar een logo op gegraveerd moet worden. Tijdens het graveren valt je op dat je tussendoor best een tijd moet wachten…Je houdt niet van wachten, dus spreekt de werkvoorbereider hier op aan. Samen kijken jullie of er twee orders tegelijkertijd gegraveerd kunnen worden. Hierdoor hoef je niet te wachten en vliegt de tijd voorbij. Natuurlijk zorg je er wel voor dat de kwaliteit van de producten en gravures goed blijft.Zo, jij bent goed bezig geweest. Het is 12:00 uur en dat betekent middagpauze. Gezellig met de collega’s eten en misschien durf je je aanstaande collega’s uit te dagen voor een potje tafelvoetbal.In de pauze is je opgevallen dat er wat vlekken op de vloer in de keuken zitten en dat de ramen ook wel een poetsbeurt kunnen gebruiken. Je vraagt aan je leidinggevende of je dit misschien op kan pakken. Samen plannen jullie dit in.In de middag nog een grote productie opdracht en dan zit je werkdag er weer op. Woow, de dag is omgevlogen en je gaat met een glimlach naar huis.Kortom: weet jij van aanpakken en denk je graag mee hoe iets verbeterd kan worden? Dan ben jij degene die wij zoeken!Jouw taken zijn o.a.:- Werkbonnen en planning bekijken om te zien wat je vandaag gaat doen- Producten netjes uit- en inpakken- Productie van graveerwerk en naambadges- Schoonmaakwerkzaamheden (ca 4u/week)Wat bieden wij?Een leuke combinatie functie voor minimaal 28 uur in een dynamisch bedrijf en hecht team. Wij bieden goede en marktconforme arbeidsvoorwaarden. Werkplezier vinden wij heel belangrijk.Interesse? Stuur je CV en motivatie!Liever nog meer info? Bel met Maartje Hop-Bogers op 076 581 0101.Soort dienstverband: ParttimeParttime uren: 28 per weekRooster:ma-vrSecundaire arbeidsvoorwaarden:KerstpakketKosteloos parkerenPensioenReiskostenvergoedingSoorten aanvullende vergoedingen:BonusregelingVakantiegeldWerklocatie: Fysiek",nan,Rijssen,nan,Pervatech B.V.
Productiemedewerker (3-ploegen),"Pervatech produceert membranen voor toepassing in diverse markten. Door middel van onze technologie zijn klanten in staat om energiezuiniger te werken en hergebruik van chemicaliën te realiseren. Dat past helemaal in de duurzaamheidsfilosofie van Pervatech, en in de huidige doelstellingen in de maatschappij met betrekking tot klimaatvriendelijke technologie. Er is daarom grote belangstelling voor onze producten. Om onze groei te bewerkstellingen zoeken wij een medewerker productie membranen.Jouw profiel:- Ervaring als productiemedewerker in een technische omgeving. Cleanroom of high-tech ervaring is een pré.- (V)MBO niveau, technisch inzicht en ervaring is belangrijk- Kan zeer goed nauwkeurig en repeterend werken met aandacht voor detail- Omgang met meetinstrumenten en computers voor registratie van procesdata- In staat om goed alleen en in teamverband te werken- Een positief en gedreven karakter, met een gezonde dosis verantwoordelijkheidsgevoel- Woonachtig in Rijssen of omgevingDe werkzaamheden omvatten:- Productie en testen van membranen in een cleanroom omgeving- Assistentie bij installatie van membranen in modules- Alle voorkomende werkzaamheden in de productieThuiswerkenNeeSoort dienstverband: Fulltime, Onbepaalde tijdRooster:DagdienstSecundaire arbeidsvoorwaarden:PensioenSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldErvaring:productie: 2 jaar (Gewenst)Taal:Nederlands (Vereist)Werklocatie: Fysiek",https://media.glassdoor.com/sql/3085413/raaak-personeel-squarelogo-1629472839975.png,Arkel,€3K (Employer est.),Raaak Personeel5.0 ★
Productiemedewerker 3-ploegen,"Wat ga je doen
Op zoek naar een flexibele baan waarbij je werkdagen in overleg ingepland worden? En past wat lichter productiewerk goed bij jou? Kom dan werken als Productiemedewerker in Gorinchem en verdien tot wel €2640,- per maand. Je kunt al vanaf 8 uur per week aan de slag!

Hoe jouw dag als Productiemedewerker bij dit bedrijf, gericht op de bouwsector er uitziet? Dat is erg afwisselend! Je werkzaamheden variëren namelijk van inpakwerk tot het plaatsen van de kapjes op het product. Ook hou je in de gaten of de productie goed verloopt. Het werk is fysiek niet zwaar, je kunt soms zelfs zittend werken. Wel wordt er op tempo gewerkt omdat je aan de lopende band staat. Om de twee uur wordt er gewisseld van plek, dus je werkzaamheden wisselen zich af! Is dat niet fijn?

Afhankelijk van de dienst waar je in werkt, werk je met een team van 8 tot 14 personen. Samen zorgen jullie er voor dat de producten op de juiste manier verpakt worden. Het product waar jij mee werkt is terug te vinden in meerdere bouw winkels. Grote kans dat je deze dus een keer ergens ziet liggen!

Als alles goed verloopt in jouw sollicitatieproces, dan kun je op zeer korte termijn starten als Productiemedewerker bij je nieuwe werkgever. Je gaat werken in een 3-ploegendienst. De werktijden zijn van 06.00-14.00 uur, van 14.00-22.00 uur en van 22:00-06:00 uur. Je hoeft niet verplicht mee te draaien in beide diensten, maar als je dit wel kunt, dan krijg je er EXTRA voor betaald in de vorm van een ploegentoeslag!

Het werk staat open voor langere tijd en bij goed functioneren kom je zeker in aanmerking voor een (jaar)contract en zit je op je plek? Dan is er uitzicht op een vast dienstverband!

Wij horen graag of je als Productiemedewerker fulltime of parttime wil werken. Reageer direct en wij nemen spoedig contact met je op! Wil je snel iemand spreken? Neem dan contact met ons op!

Wat breng je mee
Je bent minimaal 8 uur per week beschikbaar
Je hebt geen diploma nodig, wel minimaal MBO werk- en denkniveau
Je woont in Arkel of in de nabije omgeving (+/- 15 km) van Gorinchem
Je bent minimaal 18 jaar oud, omdat je in de buurt van machines werkt!
Wat krijg je er voor terug
Salaris tot wel € 2.640,- bruto per maand inclusief ploegentoeslag
Een extra toeslag van 25% of 50% voor eventueel overwerk
25 vakantiedagen per jaar
Reiskostenvergoeding woon-werk
8,33% vakantietoeslag.
Pensioenopbouw
Elke week je salaris ontvangen is mogelijk!
De mogelijkheid om je eigen werkweken samen te stellen in overleg met ons.
Kun je een bepaalde dienst nooit werken? Dan kijken we samen naar de mogelijkheden!
Verschillende doorgroeimogelijkheden binnen de organisatie.
Werk voor de langere tijd met uitzicht op een vast contract bij goed functioneren.",https://media.glassdoor.com/sql/4764040/verdo-werkt-squareLogo-1619418080372.png,Apeldoorn,€3K - €4K (Employer est.),Verdo Werkt4.8 ★
Productie Medewerker,"Wil jij graag binnen de productie aan de slag maar liever niet in het weekend werken? Dan is een baan als productiemedewerker in 3-ploegendienst wel wat voor jou! In de magazijnen van onze opdrachtgevers zijn verschillende werkzaamheden mogelijk. Hier lees je alles wat je moet weten over jouw nieuwe baan!
3-ploegen productiewerk: dit ga je doen
Als productiemedewerker krijg je te maken met verschillende soorten werkzaamheden. Om het werk leuk en afwisselend te houden werk je meestal samen met een of meerdere collega’s en krijg je elke dienst een andere taak om uit te voeren. Denk bijvoorbeeld aan de volgende werkzaamheden: verpakken of inpakken, producten controleren of sorteren, machines schoonmaken, instellen of bedienen of producten in elkaar zetten. Als laatste help je ook mee met het inladen van de goederen in de vrachtwagens. Klaar voor transport!

Dit kan je verwachten!

Elke maand een mooi bedrag op de loonstrook: verdien tot € 3500
3 diensten: dag- avond- of nachtdienst
Goede regelingen voor woon-werk verkeer
Genoeg afwisseling doordat je elke dienst een andere taak krijgt
Doorgroeimogelijkheden tot teamleider of planner

Ha productiemedewerker! Welke opdrachtgever kies jij?
Jij kunt bij meerdere bedrijven terecht! Wij hebben namelijk veel opdrachtgevers die opzoek zijn naar goede productiemedewerkers. Voordeel aan deze bedrijven met 3-ploegen diensten is dat je in het weekend altijd vrij bent. Daarnaast kun jij van tevoren jouw voorkeuren doorgeven: dag- avond- of nachtdienst. Laat gewoon weten wat jij voor ogen hebt, dan kijken wij wat haalbaar is!

Wat jij nodig hebt als productiemedewerker

Op verschillende tijden werken is voor jou geen probleem
Je bent een echte aanpakker en je kan goed doorwerken
Zorgvuldig en nauwkeurig
Bij voorkeur heb je rijbewijs B

Ga aan de slag als productiemedewerker!
Wanneer start jij met een nieuwe baan als productiemedewerker in 3-ploegendienst? Laat deze kans niet liggen! Neem contact op met Guido via 06-43 24 07 06. We zien jouw reactie graag verschijnen!",https://media.glassdoor.com/sql/3196417/inotiv-squareLogo-1676566272282.png,Horst,nan,Inotiv3.4 ★
Inpak Medewerker,"Overview:
Ben jij toe aan een nieuwe uitdaging in een dynamische werkomgeving met leuke collega's?
Wij zoeken voor deze veelzijdige functie een enthousiaste en betrouwbare Productie Medewerker (PSS Technician)
Deze functie is een fulltime functie voor 38 uur per week (deze zijn flexibel in te delen, minder uren zijn bespreekbaar)!
Je komt te werken bij:
Inotiv biedt het breedste scala aan onderzoeksmodellen en aanverwante diensten aan de farmaceutische en biotechnologische industrie, de overheid, de academische wereld en andere organisaties in de biowetenschappen. We zijn trots op het werven van de beste - professionele, vooruitstrevende, enthousiaste en zeer gemotiveerde mensen die gepassioneerd zijn over wat we doen en geloven in waar we voor staan... een verschil maken in het leven van mensen. We evolueren naar het beste bedrijf om mee te werken en voor te werken!
Wij zijn gevestigd in Horst (L)
Responsibilities:
Wat ga je onder andere doen?
Laden, bedienen en legen/lossen van:
Spray port; inclusief het invullen van eventuele logboekenOntsmettingskamer; inclusief het invullen van gegevensverzameling in een logboekVerzend BoxAutoclaaf; inclusief verwijderen van afval en alle controles voor gegevensverzameling
Ondersteunen van dierverzorgers en het schoonmaken en onderhouden van openbare/algemene ruimtes, dierkamers en aanverwante gebieden volgens de schriftelijke normen van het bedrijf
Kooien wassen met een kooiwasmachine of met een handmatige methode, kooien klaarzetten voor gebruik en de juiste registers bijhouden
Het rapporteren van beschadigde kooien of toegangsmateriaal
Verzamelen, wassen, drogen en opvouwen van wasgoed
Voorbereiden van pauzeruimtes, klaarzetten van het eten voor de pauzes en opruimen na de pauze
Onderhouden van waterleidingen en drinkbakarmaturen
Maken van transportdozen voor klanten voor verzending en zorgen dat er voldoende voorrraad beschikbaar is
Overige voorkomende werkzaamheden
Het opvolgen van strikte hygiëne maatregelen tijdens het uitvoeren van bovenstaande werkzaamheden
Qualifications:
Wij zoeken:
Een enthousiaste en betrouwbare medewerker die:
In staat is tot het leveren van fysieke lichamelijke inspanning;
Uitstekend in teamverband, maar ook goed zelfstandig kan werken;
Affiniteit heeft met dieren;
Een flexibele en professionele instelling heeft.
Wij bieden:
Een baan voor 38 uur per week (deze zijn flexibel in te delen, minder uren zijn bespreekbaar)!
CAO Productiegerichte Dierhouderij!
Salarisschalen boven CAO loon!
25 vakantiedagen per jaar (bij een 38-urige werkweek)
Vakantietoeslag 8,25%
Reiskostenvergoeding woon-werkverkeer
Bedrijfsfitnessplan en Fietsregeling
We hebben een actieve Personeelsvereniging, want plezier hebben is ook belangrijk!
Ben je enthousiast geworden, dan ontvangen we graag je CV met een motivatiebrief! Je kan ook solliciteren via email naar: talent.emea@inotivco.com
#LI-EK1",https://media.glassdoor.com/sql/3139588/biscuit-international-squarelogo-1584579959712.png,Dalfsen,nan,Biscuit International Netherlands3.8 ★
Elektronica assemblage medewerker,"Inpak Medewerker3-ploegendienst, 36 uur per weekWil jij werken bij de snelst groeiende producent van koekjes, cakes en wafels in Europa? En ben je een echte aanpakker? Dan ben jij misschien wel de nieuwe aanwinst voor onze productielocatie in Dalfsen. Hier zoeken wij namelijk een enthousiaste Inpak Medewerker.Wat ga je doen?Als Inpak Medewerker zorg je voor het inpakken en verpakken van koeken van de grotendeels geautomatiseerde productielijnen. Je werkzaamheden zijn:Bedienen van de inpakmachines;Bedienen van de inpaklijnen;In teamverband werken;Regelmatige controles van het product uitvoeren;Bijsturen van de productieprocessen bij afwijkingen.Wat vragen wij?Je houdt van aanpakken;Je werkt accuraat;Je beheerst de Nederlandse taal in woord en geschrift;Je bent bereid om te werken in een 3-ploegensysteem;Werkervaring in de procestechnologie is een pre.Wat bieden wij?Een zelfstandige functie binnen een nuchtere en informele werkomgeving;Een prima salaris, afgestemd op jouw achtergrond en ervaring;Goede secundaire arbeidsvoorwaarden, allen conform de CAO Zoetwarenindustrie;Een dynamisch bedrijf, waar eigen initiatief zeer gewaardeerd wordt;Volop ontwikkelingsmogelijkheden.Meer weten of solliciteren?Heb je interesse in deze vacature en wil je solliciteren? Dan maken we graag kennis met je. Stuur jouw motivatiebrief en cv t.a.v. Annemijn Bos (Recruiter), dan hoor je zo snel mogelijk van ons. Voor inhoudelijke vragen kun je tijdens kantooruren contact opnemen met Richard Smits, Bedrijfsleider, via 0529 438 214.Over Biscuit InternationalBij Biscuit International Nederland werken ongeveer 900 mensen, verdeeld over tien locaties door het hele land. Wij hebben productielocaties in Broek op Langedijk, Alkmaar, Dokkum, Middelstum, Dalfsen, Ochten, Moordrecht, Bunschoten, Tilburg en Nuth. Internationaal zijn er vestigingen in onder meer Duitsland, Frankrijk en Spanje. Belangrijke productgroepen binnen onze groep zijn: stroopwafels, eierwafels, American cookies en sandwich biscuits. Tevens hebben wij een focus op biologische en glutenvrije koek. Naast private label hebben we een merkenportfolio waarmee we onze markt bedienen, bestaande uit Kanjers en Buys.Soort dienstverband: Voltijds, Vaste baanRooster:PloegendienstSecundaire arbeidsvoorwaarden:PensioenReiskostenvergoedingSoorten aanvullende vergoedingen:Vakantiegeld",nan,Nibbixwoud,nan,Syrinx Industrial Electronics b.v.
Productiemedewerker Hout,"Bij Syrinx Industrial Electronics creëren we innovatieve producten voor de industriële en civiele sector. Deze producten variëren van besturingssystemen voor machines en processen tot geavanceerde meetsystemen in gebouwen, spoorwegen en andere civiele werken. Daarnaast ontwikkelen wij toepassingen op het gebied van Internet of Things. Wij zijn een organisatie met een vlakke en persoonlijke bedrijfsstructuur en een (internationale) groeiambitie.In nauwe samenwerking met je collega’s van de afdeling ga je deelnemen aan het productieproces, dat bestaat uit het assembleren, monteren, testen en repareren van zeer uiteenlopende elektronica voor gebruik in industriële toepassingen.Wij vragenEen afgeronde VMBO/MBO Elektronica of Elektrotechniek opleiding of gelijkwaardig.Nauwkeurig kunnen werkenEen flexibele, leergierige instellingPassie voor het vak, gedreven om grenzen te verleggenVerantwoordelijkheidsgevoel en kritische blik op eigen werkGestructureerde werkwijzeZowel zelfstandig als in teamverband kunnen werkenWij bieden:Professionele, plezierige werksfeerAfwisseling, zelfstandigheid en eigen verantwoordelijkheid binnen je teamArbeidsovereenkomst volgens CAO van het kleinmetaalEen vaste aanstelling na gebleken geschiktheidEen werkweek van 38 uur, deeltijd is mogelijkBen je enthousiast?Dan willen wij graag kennis met je maken en in een gesprek de mogelijkheden verkennen.Soort dienstverband: Fulltime, Parttime, Vaste baan, OproepbasisParttime uren: 24 per weekRooster:ma-vrSecundaire arbeidsvoorwaarden:Extra vakantiedagenKerstpakketPensioenReiskostenvergoedingSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldTaal:Nederlands (Vereist)Werklocatie: Fysiek",https://media.glassdoor.com/sql/1481023/intro-personeel-squarelogo-1507899390639.png,Bunnik,€2K (Employer est.),Intro Personeel4.1 ★
