job_titles,job_description,images,locations,salaries,companies
Productiemedewerker,"Wil jij aan de hand van 3D modellen hoog kwalitatieve machines in teamverband bouwen? Lees dan snel verder!
Terug naar overzicht
Voor onze relatie in Zwolle zijn wij op zoek naar:
ASSEMBLAGE MEDEWERKER
DE FUNCTIE
In deze functie als assemblage medewerker help je mee aan de bouw van diverse klant specifieke machines. Geen lijn is hetzelfde waardoor er veel diversiteit in je werkzaamheden zit. In een team van 7 collega’s zorgen jullie ervoor dat op het gebied van elektrisch én mechanisch alles haarfijn gemonteerd wordt. Gemiddeld werk je 5 tot 7 weken aan een opdracht, dit wordt gedaan van 07:30 uur tot 16:00 uur.
Functie eisen:
Jij hebt relevante werkervaring als assemblage medewerker of bent vaardig met sleutelen;
Jij haalt energie uit het werken in een klein team en aan grote machines;
Jij beheerst de Nederlandse taal en bent representatief;
Jij bent bereid om opleidingen/cursussen te volgen;
Jij hebt ervaring met elektra (pré).
HET AANBOD
Als assemblage medewerker word je ingeschaald volgens de CAO M&T. Je start met een salaris tussen de €12,53 en €15,15 bruto per uur, er wordt gekeken naar je leeftijd en ervaring. Onze opdrachtgever wil graag investeren in de kennis en kunde van medewerkers om zo een lange termijnrelatie aan te gaan. Na de uitzendperiode zien je graag op contract! Ben jij enthousiast na het lezen van de vacature en herken jij jezelf in het bovenstaande profiel? Reageer dan zo snel mogelijk!
Volg ons op Facebook & LinkedIn!",https://media.glassdoor.com/sql/2380826/pro-industry-squarelogo-1573709282787.png,Nijverdal,€2K - €3K (Employer est.),Pro industry4.1 ★
Medewerker productie en QC membranen,"Ben jij op zoek naar een functie als productiemedewerker in de buitendienst? Deze opdrachtgever uit Nijverdal is actief in de interieurbouw en winkelinrichting en is internationaal ook terug te vinden. Jij komt te werken in een modern en innovatief bedrijf dat graag blijft groeien. Naast de vele doorgroei- en ontwikkelingsmogelijkheden, kan jij een startsalaris gaan verdienen wat op kan lopen tot wel € 2.900,- bruto per maand. Klinkt goed toch? Lees dan snel verder!
Functieomschrijving:
Als productiemedewerker ben jij samen met jouw team verantwoordelijk voor de volgende taken en werkzaamheden. Denk hierbij aan?
Diverse onderdelen en halffabricaten monteren op locatie;
Het uitvoeren van kwaliteitscontrole;
Zorg dragen aan een nette werkomgeving;
Sleutelen;
Het lezen en bestuderen van technische tekeningen en instructies.
Functievereisten:
Om in aanmerking te komen voor deze functie, beschik jij naast een gemotiveerde instelling verder over:
Stressbestendigheid;
Flexibiliteit;
Oog voor detail;
Een rijbewijs B;
Nauwkeurigheidsgevoel;
Een pro-actieve houding.
Arbeidsvoorwaarden:
Uiteraard mag jij een aantal gunstige arbeidsvoorwaarden terug verwachten. Denk hierbij aan:
Direct zicht op een vaste aanstelling;
Een startsalaris tussen de € 2.300,- en € 2.900,- bruto per maand;
Reiskostenvergoeding;
Volop doorgroei- en ontwikkelingsmogelijkheden;
Een fijne werksfeer met leuke collega´s.
Ben jij de persoon die wij zoeken? Neem dan direct contact met ons op! deventer@pro-industry.nl of 0570-202000.

Vmbo",nan,Rijssen,nan,Pervatech B.V.
Allround Productiemedewerker,"Pervatech produceert membranen voor toepassing in diverse markten. Door middel van onze technologie zijn klanten in staat om energiezuiniger te werken en hergebruik van chemicaliën te realiseren. Dat past helemaal in de duurzaamheidsfilosofie van Pervatech, en in de huidige doelstellingen in de maatschappij met betrekking tot klimaatvriendelijke technologie. Er is daarom grote belangstelling voor onze producten. Om onze groei te bewerkstellingen zoeken wij een medewerker productie membranen.Jouw profiel:- Ervaring als productiemedewerker in een technische omgeving. Cleanroom of high-tech ervaring is een pré.- (V)MBO niveau, technisch inzicht en ervaring is belangrijk- Kan zeer goed nauwkeurig en repeterend werken met aandacht voor detail- Omgang met meetinstrumenten en computers voor registratie van procesdata- In staat om goed alleen en in teamverband te werken- Een positief en gedreven karakter, met een gezonde dosis verantwoordelijkheidsgevoel- Woonachtig in Rijssen of omgevingDe werkzaamheden omvatten:- Productie en testen van membranen in een cleanroom omgeving- Assistentie bij installatie van membranen in modules- Alle voorkomende werkzaamheden in de productieThuiswerkenNeeSoort dienstverband: Fulltime, Onbepaalde tijdRooster:DagdienstSecundaire arbeidsvoorwaarden:PensioenSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldErvaring:productie: 2 jaar (Gewenst)Taal:Nederlands (Vereist)Werklocatie: Fysiek",nan,Zwolle,nan,Jansen en de Wit
Assemblagemedewerker,"Waarom je deze baan wilt
Je komt te werken binnen een dynamisch familiebedrijf met een hecht team
Je gaat aan het werk in de dagdienst
Je krijgt een goed salaris met een royale eindejaarsuitkering
Functie-eisen
Je beschikt over minimaal VMBO werk- en denkniveau.
Je beschikt over een aanpakkersmentaliteit.
Je bent leergierig en hebt een pro-actieve werkhouding.
Je hebt oog voor kwaliteit, netheid en veiligheid.
Je beschikt over een goede beheersing van de Nederlandse taal in woord en geschrift.
Je bent woonachtig in de omgeving van Zwolle.
Wat ga je doen
Je gaat aan de slag als Allround Productiemedewerker bij een familiebedrijf die gespecialiseerd is in het ontwikkelen en produceren van hoogwaardige verven. In deze functie zorg jij er samen met je collega's voor dat alle producten op de juiste manier geproduceerd en afgevuld worden. Je werkzaamheden bestaan uit het produceren, mengen, aankleuren en afvullen van diverse verfproducten. Ook ga je aan de gang met kleine storingen en onderhoud aan de machines en zorg je er dagelijks voor dat de planning gerealiseerd wordt.",https://media.glassdoor.com/sql/3061260/cts-techniek-squarelogo-1631868477945.png,Goor,€3K (Employer est.),CTS Techniek
Productiemedewerker Metaal (Avond),"Heb jij ervaring met het nauwkeurig samenstellen van onderdelen? Wie zoeken iemand die blij wordt van een kwalitatief hoogwaardig eindproduct!
Functie omschrijving
Je komt te werken binnen een echt familiebedrijf dat inmiddels is uitgegroeid tot een internationale organisatie met ruim 300 medewerkers. Als assemblagemedewerker kom je te werken binnen een team van 25 medewerkers. De vakmensen in dit team weten van aanpakken en er hangt een fijne werksfeer. Alle producten worden in Nederland geproduceerd en worden over de hele wereld verkocht.
In de functie van assemblagemedewerker kom je te werken binnen een specifieke afdeling en houd jij je bezig met het monteren van componenten in verschillende gereedschapssystemen. Je werkt aan de hand van instructies en tekeningen en bepaald daarmee de juiste werkmethode. Daarnaast ben jij ook verantwoordelijk voor het afstellen en testen van de gemonteerde systemen. Jij bent het aanspreekpunt voor de R&D afdeling voor verbeteringen en het verhelpen van storingen.
Wat kun je van ons verwachten?
Een marktconform salaris, gerelateerd aan je opgebouwde ervaring (vanaf € 2.500,- / € 3.000,- bruto per maand)
Fijne werksfeer waar mensen wat voor elkaar over hebben
Doorgroei- en ontwikkelingsmogelijkheden
25 vakantiedagen en 13 ATV dagen
Mogelijkheid tot een vaste aanstelling
Functie eisen
Wat vragen van we je?
Een afgeronde MBO opleiding richting Mechatronica of Electrotechniek
Nauwkeurig ingesteld
Goede communicatieve vaardigheden
Bereidt om in ploegen te werken indien er meer geproduceerd moet worden
Geïnteresseerd in deze functie? Stuur dan je reactie met CV naar Maureen van de Scheur van CTS Techniek, maureen@ctstechniek.nl. Of bel voor meer informatie, tel. 074-291 73 36.",https://media.glassdoor.com/sql/7687199/retourmatras-squarelogo-1663312408816.png,Etten-Leur,€3K (Employer est.),RetourMatras
Productiemedewerker,"Productiemedewerker Metaal (avond) Etten-LeurMetaalverwerking is een belangrijk onderdeel op de recyclinglocatie van RetourMatras in Etten-Leur. Voor onze avondploeg zoeken we een Productiemedewerker Metaal. Dit is een fulltime baan in de avond van 15:00 tot 00:00 uur.Als Productiemedewerker Metaal werk je in de fabriek met machines en handmatig. RetourMatras recyclet oude matrassen tot nieuwe grondstoffen. Het metaal uit pocketveringmatrassen wordt in onze fabriek gerecycled. Jij zorgt ervoor dat de weg van het metaal van recyclinglijn tot shredder goed en veilig verloopt. Onder jouw werkzaamheden vallen ook het controleren, sorteren en opruimen van materialen rondom de machines en het schoonhouden van de werkruimte.Wil jij fulltime werken in de avond en woon je in de omgeving Etten-Leur? Solliciteer nu en kom werken bij RetourMatras, in de fabriek afdeling metaalverwerking.Jouw werkzaamheden als Productiemedewerker Metaal· IJzerbalen openknippen (deze staan onder druk)· Aanvoeren van de pocketvering op de band· Stofzakken verwisselen· Metaal verdelen in ijzerbakken· Afkoppelen van de perscontainer· Bewaken van het proces· Zorgen voor een opgeruimde werkplek· Schoonmaakwerkzaamheden in de fabriek· Werkzaamheden uitvoeren conform het veiligheidsbeleid.Overige verantwoordelijkheden· Uitvoeren dagelijkse werkzaamheden in overleg met Voorman.· De productiemedewerker metaalverwerking rapporteert aan en valt onder de verantwoordelijkheid van de Voorman.Wat vragen we?· Je hebt geen opleiding nodig voor deze baan· Je hoeft geen relevante werkervaring of kennis te hebben· Gewenste inzet:o In de gaten houden van het werkproceso Je bent flexibel en betrouwbaaro Je let goed op tijdens het werk en neemt je verantwoordelijkheido Samenwerken met collega’so Je bent lichamelijk in goede gezondheid· Heftruck certificaat heb je of je wilt een cursus volgen· BHV cursus volgen is mogelijkWat bieden we? Een fulltime baan met vaste werktijden (avonddienst)- Werken in de avond van 15:00 tot 00:00 uur- Een contract voor bepaalde tijd met uitzicht op een vast dienstverband- Een goed georganiseerde werkplek in een jong en groeiend bedrijf- Salaris wordt ingeschaald op basis van leeftijd/werkervaring tijdens het sollicitatiegesprek- 25 vakantiedagen- Op vrijdagen wordt avondeten verzorgd- Bedrijfsfeesten- Pensioen (onder voorbehoud van aanvaarding door het pensioenfonds)Wij zijn niet geïnteresseerd in diensten van werving- en selectiebureaus, uitzendorganisaties of soortgelijke bedrijven.Soort dienstverband: FulltimeSalaris: Tot €2.500,00 per maandRooster:AvondwerkDagdienstPloegendienst",nan,Almelo,€2K (Employer est.),Future Uitzendbureau
Productiemedewerker (eindafwerking polyester producten),"Houd jij van aanpakken? Vind jij het leuk om mee te werken aan de productie van onze producten, met onder andere het bekende merk Kips? Dan zijn wij op zoek naar jou!FunctieomschrijvingAls Productiemedewerker bij Zwanenberg ben je werkzaam in onze fabriek in Almelo. In onze fabriek worden veel verschillende producten geproduceerd van onder andere het bekende merk Kips, waarbij jij uitvoerende en ondersteunende werkzaamheden uitvoert.Samen met een team van enthousiaste collega’s draag je bij aan een (voedsel)veilig product waarbij kwaliteit hoog in ons vaandel staat. Zo ben je de ene dag bezig met het inpakken van onze bekende Kips leverworst en het andere moment controleer je de verpakkingen van onze snack-balletjes.Hieronder een greep uit jouw takenpakket:– Het stapelen van kratten– Diverse inpakwerkzaamheden– Stickeren van verpakkingen– Schoonhouden van de afdeling– Vouwen van dozen– Controleren van de producten– Bevoorraden van de inpakmaterialenWat wij vragen– Fulltime of parttime beschikbaar– Goede beheersing van de Nederlandse taal– Je hecht waarde aan de begrippen veiligheid en kwaliteit– Je bent leergierigWat wij bieden– Wekelijkse uitbetaling– Je kan direct aan de slag met een urengarantie– Een baan voor de langere termijn– Een leuke sfeer op de werkvloer– DoorgroeimogelijkhedenNieuwsgierig?Wij zien graag je sollicitatie tegemoet! Voor meer informatie of vragen over de vacature, kun je contact opnemen met 053 234 0230.Soort dienstverband: Fulltime, Parttime, Vaste baanSalaris: €2.145,00 - €2.247,00 per maandFlexibele taalvereiste:Nederlands niet vereistRooster:Flexibele werkurenFlexibel werkroosterma-vrSecundaire arbeidsvoorwaarden:Flexibele werkurenKerstpakketMogelijkheid tot promotieSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldWerklocatie: Fysiek",nan,Dedemsvaart,nan,Fox Industries
Assemblage Medewerker Montageploeg,"FunctieomschrijvingVoor onze afdeling Glasvezelversterkt polyester zijn wij op zoek naar een medewerker voor het op maat maken van onze verschillende producten. Dit doe je samen met een collega op onze polyester afdeling met behulp van verschillende machines en gereedschappen. Je hoeft geen ervaring te hebben op dit gebied om in aanmerking te komen, we leren je het graag. Deze afdeling wordt ondersteund door een afwerkrobot.Ben je handig maar weet je niet echt wat je nu moet doen? Solliciteer dan gerust! We geven je graag een rondleiding en laten je het werk zien.ArbeidsvoorwaardenHet betreft bij voorkeur een fulltime functie. Salaris is conform onze CAO Kleinmetaal.We zijn bij voorkeur op zoek naar mensen uit onze regio. We geven reiskostenvergoeding als je meer dan 10km van ons af woont.Onze voorkeur gaat uit naar full-time, maar part-time kan in overleg.Soort dienstverband: FulltimeRooster:Dagdienstma-vrSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldWerklocatie: Fysiek",nan,Arnhem,nan,Industriepark Kleefse Waard
Productiemedewerker met heftruckervaring,"Duurzame huizen van hout bouwen in één week, dat doe je als Assemblage Medewerker bij Treetek! Geen vieze handen, alles is schoon. Lees hier de vacature!


Functie
Als Assemblage Medewerker Montage bij Treetek ben jij de persoon die daadwerkelijk de gebouwen in elkaar zet! Dus hopelijk heb je geen last van hoogtevrees, dat dak moet er ook gewoon op! Projecten van Treetek duren enkele dagen tot weken, je werkt dus op veel verschillende plekken aan verschillende gebouwen.
Aanbod
Je bent lekker op pad naar verschillende projecten met gezellige en ambitieuze collega's. Treetek zorgt goed voor haar medewerkers en succes worden ook gevierd! Als Assemblage Medewerker krijg je ook:
Een marktconform salaris;
Voldoende vakantiedagen;
Geld voor je tijd;
Vakantiegeld;
Alles om je werk veilig en goed uit te kunnen voeren;
Je draagt bij aan een schonere wereld!
Profiel en vaardigheden
Bij Treetek staan ze open voor veel verschillende mensen en achtergronden, zo is hun cultuur ook! Je hoeft voor deze positie ook geen ervaren Timmerman te zijn, door de technieken die Treetek gebruikt is het bouwen namelijk heel simpel. Als je een Ikea kast in elkaar kan zetten, ben je al een heel eind op weg voor een Treetek-gebouw! Als Assemblage Medewerker vragen we het volgende:
Je vindt het leuk om nieuwe dingen te leren en laat dit zien door een actieve werkhouding;
Je bent representatief, de klant beschouwt jouw als een betrouwbare medewerker;
Je kan goed luisteren en begrijpt en spreekt Nederlands.
Over de organisatie
Treetek zet zich in voor een schone bouw! Ze ontwerpen gebouwen samen met hun klant. Door super geavanceerde IT programma's worden de ontwerpen één op één doorgestuurd naar een productiebedrijf. Daar worden de onderdelen van het gebouw gemaakt. Op de bouw is het een kwestie van netjes in elkaar zetten en laten zien dat bouwen ook schoon kan!
Treetek bouwt duurzaam. Elk project is uniek en een kunst op zich! Dit doen ze met een team van ongeveer 15 mensen. Mensen die bij Treetek werken zijn avontuurlijk en nieuwsgierig, durven anders te denken dan ze gewend waren en vooral gepassioneerd!",https://media.glassdoor.com/sql/4763618/seesing-flex-squarelogo-1636463524230.png,Varsseveld,nan,Seesing Flex
Inpak Medewerker,"Wil jij werken voor dé deuren fabrikant van de Achterhoek? Neem dan vast een kijkje binnen Svedex! https://www.youtube.com/watch?v=dfzJLYbCfZM
Productiemedewerker met heftruckervaring
Over onze opdrachtgever
Svedex is een gigant in het produceren en leveren van binnendeuren en binnen-kozijnen. Ze staan bekend om het ontwikkelen en gebruiken van superlak. Deze speciale lak zorgt voor een prachtige glans en een enorm sterke beschermlaag op alle artikelen in hun assortiment. Ze vinden het belangrijk om milieuvriendelijk te werken. Ze besteden daarom veel aandacht aan duurzaamheid en recyclen. Na een uitgebreid inwerkprogramma waarin je de tijd krijgt om verschillende producten en de organisatie te leren kennen word je onderdeel van een enthousiast team. De cultuur binnen het bedrijf is gebaseerd op positiviteit, creativiteit, innovatie en bereidheid om elkaar verder te helpen.
Wat zijn jouw werkzaamheden?
Wij zijn per direct op zoek naar een productiemedewerker met heftruckcertificaat. In deze functie hou jij je dagelijks bezig met het inpakken en picken van de deuren. In de productie lever jij een bijdrage aan het maken van luxe binnendeuren en kozijnen. Gedurende de dag ben je lekker bezig! Als jij laat zien wat je kunt is er altijd de mogelijkheid om jezelf te ontwikkelen. Svedex heeft oog voor talent! De werkzaamheden vinden plaats in twee ploegen. De vroege ploeg werkt van 06.00 uur tot 14.30 uur en de late ploeg van 14.30 uur tot 23.00 uur.
Wat vragen wij van jou?
Bij voorkeur ervaring in een productie-omgeving. In het bezit van een heftruckcertificaat;
Werken in een twee ploegensysteem is geen probleem voor jou.
Interesse? Reageer direct of neem contact op met Anthony Piedra Climent via 0314-216155.",https://media.glassdoor.com/sql/3139588/biscuit-international-squarelogo-1584579959712.png,Dalfsen,nan,Biscuit International Netherlands3.8 ★
