job_titles,job_description,images,locations,salaries,companies,pros,cons
Financial Administration Intern,"We are too ‘CYCAS’ to be grumpy. .... our job isn’t over until we get a smile!
Cycas Hospitality is a hotel management company that prides itself on making a difference by being different. Our vision is to be Europe’s leading hotel company and every member of our team must play their part in delivering exceptional service to our guests, our owners, and our colleagues in order to achieve this. With a real focus on performance, people, quality, profit, and communities, Cycadettes transform hotels. We make working hard look like fun, whilst having a huge amount of fun working hard and delivering success and results.
As employee financial administration, you are responsible for a relatively large department that takes care of the entire financial administration and where the administrative work is divided into various functions. You are responsible for the management of specific sub-administrations (e.g. fixed assets, projects), coding and checking of supplied financial data (reconciliation sub-administrations to the general ledger) and performing correction bookings in this regard, as well as preparing periodic closings and reports (monthly and annual work).
Who are we looking for?
HBO/WO level of work and thinking.
knowledge of the principles, methods and techniques of business administration in an (inter)national company and accounting rules.
Enthusiasm & a true team player
You have a good command of Dutch and English
Highly energetic and have a do-it-yourself attitude.

Your responsibilities & learnings:
checking, if necessary completing and coding figures received (from branches), daily reports etc. with regard to daily receipts, turnovers and other items
checking, coding and booking expense invoices, bank statements, reading/converting data received electronically (telebanking etc.)
closing the general ledger, checking the administration (parts) for completeness of costs, assessing interim balances and reconciliations
reviewing and explaining differences and carrying out correction entries indicated by the manager.
processing data into standard management reports, creating overviews, identifying deviations from forecasts/budgets, etc.
preparing declarations, collecting general ledger data, checking reconciliations and preparing payments
preparing CBS statements.

What we offer you!
A place where you get to work for the world’s favorite travel company, getting to know our systems and policies to widen your horizon!
A fun, young and spirited workplace where we put people at the heart of everything.
The best project you will ever work on is you! So let us help you grow with our guidance, training and career possibilities!
Feed your wanderlust with discounts in over 8000 Marriott hotels!
Free use of the Moxy Gym to make sure you stay fit!
#ATTHEMOXY Social Events.
Free parking
500EUR internship salary per month",https://media.glassdoor.com/sql/1721733/cycas-hospitality-squareLogo-1652794070520.png,Amsterdam,nan,Cycas Hospitality,NG,NG
Product Portfolio Manager Aviation Ancillaries,"Location: Flexible

Fulltime / Parttime: Fulltime

At TUI we are looking for an enthusiastic, proactive and experienced Product Portfolio Manager Aviation. In this role you will be working to support activity that enhances the ancillary product range for the products within Aviation. Are you ready for the next step in your career, capable of managing your own workload and priorities when necessary? And would you like to use your problem-solving and communication skills in your new role? Then this might be the challenge you’re looking for!

As a Product Portfolio Manager for the TUI Group, you will be working in an international team to support activity that enhances the ancillary product range for the products within your remit. You will be part of an international team that is a product expert on Aviation Ancillaries. You will work with your Senior Product Portfolio Manager to drive the performance of these products, undertaking activity that tracks performance against targets and that achieves customer satisfaction and stretches ancillary revenue.


ABOUT THE JOB

You will support in working with the central markets team and the local markets team to set the direction of the product portfolio.
You will research wider consumer trends, both in and outside travel and fully understand the customer and any potential needs or pain points. In addition, you will conduct competitor reviews that assess product features and pricing and present them back to the Senior ancillary markets team
It is expected that you will regularly produce a market wide product performance dashboard to report on the commercial and customer performance of your products.
You will maintain an excellent relationship with the local market teams. You will be the first point of escalation from the source markets on any potential product gaps they have. You will also be the first point of contact for your ancillary suppliers on day to day queries, collaboratively working together to remedy any issues.
Communication with the local markets on the products within your remit will be regular, with them you will agree engagement material, sales plans and incentives for the off-line channels.


Within this role, you will focus on the Aviation Ancillaries. This will encompass for example our seating products and baggage upgrades for which you will be the ancillary expert. You will understand the competitive landscape in the markets that TUI operates in, work with the source markets to set targets, and track performance against them. You will also support the TUI airline in other market alignment activity, that supports efficiency and commercial improvements.


Within the Product Portfolio team there are multiple Product Manager roles with different ancillaries projects. At times, you may be expected to support the wider product portfolio team on the administration of supplier accounts and other activity that support the ancillary customer and commercial objectives.


Ancillaries are increasingly important to our business, and we’re moving toward our vision to work as one, international team to offer customers a common range of appealing products and services that enhance their travel experience. Ancillaries should be easy to book anytime, anywhere for all customers regardless of whether they have booked another TUI-product. We maximise business value by optimising price and conversion to encourage customers to spend more, but with market flexibility to decide on price and product to suit their local customers.


ABOUT YOU

Excellent communication skills in English
Commercial and analytical acumen
You have 5-10 years work experience
Ability to balance customer and commercial needs
Problem-solving skills and good relationship management
Planning and organisation skills
Knowledge of travel ancillary products
Knowledge of PowerPoint and Excel
Resident of one of the TUI Markets with the ability to visit one of the TUI headquarters once a week


ABOUT THE OFFER

Challenging and international job
Competitive salary
Pension scheme and life assurance
Generous holiday entitlement & holiday discounts
Forward thinking ways of working
TUI time off, purchase of additional holiday entitlement
Excellent rates with foreign exchange and discounts with retailers

We love to see your uniqueness shine through and inspire the future of travel. If you would like to read more about what Diversity & Inclusion means to us simply visit Our DNA",https://media.glassdoor.com/sql/950367/tui-group-squareLogo-1664371247397.png,Rijswijk,nan,TUI,NG,NG
Business Controller Netherlands | Cerba Research,"Cerba Research provides the highest quality specialized laboratory and diagnostic solutions while leveraging patient data and scientific insight to shape and advance clinical trials projects. With additional access through a global network of leading, specialty laboratories, Cerba supports global biotech, pharma, and IVD organizations to improve the lives of patients around the world.
Cerba Research has two headquarters, one in Gent, and the other in Rotterdam. Cerba Research has over 1.000 employees and a turnover of over € 250 million. The organisation is PE owned (EQT – a Swedish PE firm) and has ambitious growth plans. They will grow organically and through acquisitions, both geographically and on product level.
Cerba Research is growing very rapidly and is a highly dynamic organization. Its finance organization is continuously developing and challenged to provide insights that add value. The current finance organization consist of appr 30 financials (financial control, business control, accounting and operations) mainly in Rotterdam and Gent, but also in other global locations.
Position
The Business Controller Netherlands will be responsible for the business controller activities for the Cerba Research entities in The Netherlands, as well as for various dashboarding, harmonization and reporting projects. To assure quality, you will continuously question and verify figures, and follow timelines for reports. A successful Business Controller is able to adapt quickly and remain flexible within a dynamic and changing environment. You have a hands-on, pro-active attitude and continue searching for a solution where others tend to give up.
Main Activities:
Define and analyze strategic performance measurements and key performance indicators, review projects, business units and company budgets, conduct analyses and monitor synergies in order to increase the financial predictability of the organization;
Provide proactive or on demand ad-hoc analyses and recommendations which are key for performance evaluation or decision making, to key stakeholders;
Lead the monthly collection, review and approval of monthly billing figures, both for invoicing and forecasting, by maintaining the recognition and forecasting files, coordinating actions from all business unit stakeholders and resolving process issues;
Introduce and manage automated processes and tools to create a reporting cycle with forward-looking insights;
Contribute to the implementation and improvement of systems and related tools;
Work closely with various company stakeholders to add value and seek for continued improvements;
Translate expected future developments into the implications on the company and its business strategy;
Define lead indicators and advise management how to interpret these to make informed business decisions;
Fundamentally contribute to monthly reporting process;
Drive the budgeting and forecasting processes, in particular consolidating bottom-up expectations from departments and setting up granular budget tracking;
Continuously develop internal data tools to allow for new and more accurate business insights

Background
Requirements (Education, experience and personal attributes):
You are a smart and ambitious personality, who understands the business and is a true business partner to the Cerba Research entities in The Netherlands.
To be successful in this job, you bring the following skills, experiences and characteristics:
A university degree in Finance, Business Administration, Economics or related study;
> 3+ years of working experience in similar role(s);
Strong work ethics and high integrity standards. You have the courage to voice issues when you see them;
Excellent communication and interpersonal skills with the ability to build trustful relationships internally and externally, while being sensitive to cultural and personal differences. You’re fluent in business English, Dutch is a nice to have;
Excellent knowledge of MS Excel;
Experience setting up and maintaining relational databases;
Results oriented, excellent team player with a strong drive;
Problem-solver and critical thinker mindset, who is excellent in time-management and organization skills;
Ability to work in a fast-growing and fast-paced matrix environment;
It helps a lot if a person brings a good sense of optimism, patience, is low in ego and open minded.
Voor meer informatie
Pieter van de Ven
ven@levels.nl
06 115 141 71",https://media.glassdoor.com/sql/2407181/levels-squarelogo-1582277438353.png,Rotterdam,nan,Levels,NG,NG
General Manager,"ARE YOU A HOSPITALITY BRAVEHEART?

JOIN US AS GENERAL MANAGER AT THE DEN’S HERTOGENBOSCH, A TRIBUTE PORTFOLIO HOTEL BY MARRIOTT
ABOUT ODYSSEY

We are The Odyssey Hotel Group, Europe’s most ambitious hotel operator and the team behind many famous global hospitality names. We partner with Marriott, IHG, and Accor to develop exceptional properties across various brands, from Holiday Express to Marriott's Autograph collection. Powered by over 700 Bravehearts and supported by ActiveMQ SG as our major shareholder, our purpose is to create wonderful stories through a passion for unique and locally inspired hotel design and attention to every detail. We achieve this through a culture of enabling and empowering our teams to be masters of the art of hospitality. At Odyssey our story is your story.

ODYSSEY CULTURE
You’ll be joining a fast-moving, ambitious and successful team that’s shaking up the industry we love. If you thrive on responsibility, share a passion for great service, and are a natural collaborator, we’ll be a good fit. We pride ourselves on a Braveheart spirit with a collaborative mindset.
ABOUT THE DEN ‘S-HERTOGENBOSCH, A TRIBUTE PORTFOLIO HOTEL BY MARRIOTT

The Den, 's-Hertogenbosch, a Tribute Portfolio Hotel, opened its doors in March 2022, as part of the Odyssey Hotel Group and franchise of Marriott International. With its location between city and nature. We bring Burgundian ""Bossche"" hospitality and international allure within walking distance of the centre and station of 's-Hertogenbosch. Our new lifestyle hotel offers stylish rooms, lively restaurants and bars, quirky meeting rooms and high-end fitness.
THE POSITION

With your pro-active and hands-on mentality you are a true inspirational leader for your team. There is never a dull moment in your opinion because you are always finding new ways to improve profitability, guest service, product quality, or employee engagement. As the business leader of the hotel operation, you develop and implement the operations strategy, ensuring the operation meets the target customer needs.

YOUR KEY RESPONSIBILITIES
Positioning and running The Den’s Hertogenbosch smoothly by:

Hiring, motivating, engaging, and developing the team.
Shaping and guiding high-standard operating procedures from F&B, Front Office, Room Divisions, Administration, Financial, Sales & Events, and everything in between. Your focus on growing revenues and maximizing financial performance.
Establish F&B concepts that are attractive to the local market and emphasize sustainability and innovation.


HOW YOU’LL DO IT

With a passion for growing and motivating teams
By being an empathic connecting communicator
With a problem-solving attitude, because there is always a solution
Working closely together with the team and daring the team to get things done
With high attention to detail and accuracy
Being a jack of all trades: stepping in everywhere where it’s needed
WHAT YOU’LL BRING
+2 year experience as GM of a premium hotel
A strong background in hospitality and F&B
An entrepreneurial personality with a strong interest in sustainability and
Intensive knowledge of Dutch business acumen, rules, taxes, and regulations
Fluent in the Dutch language and mastered the English language. Every additional language is very welcome
Experience in leading, motivating, and growing teams
Outstanding connections towards the local network and strong knowledge of the market
WHY THIS ROLE AT ODYSSEY?

The advantage of joining via Odyssey means that you’ll be empowered to be your very best. Together we grow. You get the opportunity to grow to our other brands and headquarters.
A market-competitive and KPI-based compensation package
A company car and phone
Employee discount rates in more than 8000 hotels, for you and your family
High performance culture with our leaders taking full accountability.
The opportunity to be an entrepreneur in your own hotel(s) and getting the freedom to make decisions yourself.
INTERESTED?
Please apply via this vacancy and our colleagues from the Talent team will contact you as soon as possible. We look forward to receiving your application!",https://media.glassdoor.com/sql/6411712/odyssey-hotel-group-squareLogo-1667569551308.png,Den Bosch,nan,Odyssey Hotel Group,NG,NG
Risk Manager,"In Case You Don't Know Who We Are:

Redefining hybrid hospitality since 2012, TSH sets standards on a global scale. Offering a community-driven, socially inspired hotel concept with student accommodation, as well as long and short hotel-stay options, eat & drink, gym and rooftop bar facilities, and coworking for every demographic, the company's success is unprecedented. With 16 hotels in 6 countries and plans to open at least 3 more locations each year until 2026, TSH is a fun, creative, and inspiring environment where everyone can work, stay, learn and play. Thanks to an exceptional international team of changemakers, our one goal is to make society a better place for everyone.

Your Mission Should You Choose To Accept It…

The Risk Manager plays a vital role in any organization by identifying, assessing, and mitigating potential risks that could negatively impact the company. They work closely with various departments such as finance, legal, and operations to ensure that all risks are identified and addressed. Your main tasks include developing and implementing risk management plans, monitoring and reporting on the effectiveness of these plans, and staying up to date on organizational developments and regulations related to risk management. The Risk Manager will be part of a team that values strong analytical and problem-solving skills, excellent communication, and the ability to work independently. You can expect a challenging and dynamic work environment with opportunities for growth and development.

What You'll Do

You will develop and implement a TSH risk management plans and protocols to mitigate or eliminate identified risks by utilizing various risk management methodologies and best practices
You will identify, assess and prioritize potential risks to the organization by analyzing data, identifying patterns, interviews, and trends, and assessing their impact on the company
You will collaborate with the organization to ensure that all risks are identified and addressed, by working closely with teams such as finance, legal, and operations to ensure that all risks are identified and addressed
You will continuously monitor and report on the effectiveness of risk management plans to ensure they are meeting the company's risk management goals
You will communicate with stakeholders to ensure a thorough understanding of potential risks and risk management plans and educate them about the importance of risk management
You will provide training and mentoring to other team members to increase their knowledge of risk management and to support their professional development
You will continuously evaluate the company's risk environment by keeping an eye on emerging risks and trends, and by identifying any new risks that may arise to ensure that the company is prepared to respond to any potential threat.
You will manage the insurance portfolio together with the insurance broker and ensure the most optimal insurance setup linked to TSH risk appetite

Who You Are

You have At least 8 years of experience in risk management, with experience working in a similar role
 You have a Master's degree in a relevant field such as risk management, finance, business administration, or a related field
 You have a strong understanding of risk management methodologies and best practices
 You are analytical and good at problem-solving skills
 You have excellent communication and interpersonal skills
 You have good project management skills
 You have strong leadership and mentoring skills
 You are a self-starter
 You are fun to work with

What We Offer

The opportunity to work at a dynamic, multi-national company based in one of Europe's most exciting cities
The chance to learn and grow in your role with the potential for future growth, with on the job coaching and guidance
Benefits in accordance with the market and responsibilities of the position
We're not just another hotel - we're a game-changing innovator, challenging every convention and defining the future
Awesome discounts on all our properties in Europe and not just for you, but also for your friends and family!

Where people come together, committed to providing the best space, experience, and coworking space for our community and even more so, the people who work for TSH. With everything from mental health support to leadership training and more, we are here to help you grow as much as we do as a company. We promote a workplace where society comes together to do better and we do this no matter the age, gender, sexual orientation, ethnicity, and national origin. Your fascinating characteristics are what make us different, so come as you are.

Join The Social Hub

Excited? Want to apply? You can do this by clicking the apply button beneath, answering a few questions and sending your CV/LinkedIn profile.",https://media.glassdoor.com/sql/1076013/the-student-hotel-squareLogo-1666339047823.png,Amsterdam,nan,The Social Hub,NG,NG
Controller,"About HousingAnywhere

HousingAnywhere is Europe's largest rental accommodation marketplace. With the full ownership of Kamernet and the acquisition of majority stakes of Studapart, the company represents 20 million+ yearly unique visitors, 160,000+ properties available for rent and 96,000+ tenants finding their new homes in Europe, based on the 2021 performance. Young professionals and students, mostly aged between 18 and 35, looking to rent a home are matched with accommodation providers; ranging from private real estate owners to large-scale property managers. Through its advanced platform, tenants typically book for longer stays outside of their country of origin and rent accommodation for 3 to 12 months. The company aims to help 130,000+ people find a home in Europe in 2022 with a plan to rapidly expand our footprint globally. The Rotterdam-based technology scale-up currently employs 260+ people.


Our Mission

Rent Easy, Live Free.

We are empowering people to live wherever and however they choose. To find comfort and peace of mind on the other side of the world or the other side of town. All while feeling confident and totally at ease, whatever their adventure might involve. We are doing it by creating a new standard of renting. Safe. Harmonious. More options. Less hassle. With the help of our trusted networks of landlords and partners.


The team

You will be part of the Finance team and reporting to the VP Finance


Your role & impact

Build strong and constructive working relationships within the Finance team as well as within the company, being confident to engage in honest and open dialog around critical internal issues and continuously looking for process improvements.
Communicates often and shares the common goal of ""getting things right"" while anticipating and avoiding surprises
Being hands-on and is happy with that as an ongoing part of the job, comfortably working both as a preparer and a reviewer. Willing to do work proactively to get the job done.
Establish and maintain internal and external financial & management reports (information) and business plans on an individual and consolidated level. Maintain close relationships with the commercial teams, subsidiaries and grow into a business partnering role.
Enhance efficiency by assisting and helping with new investment cases and contracts, business cases, product introductions and fundraising.
Ownership of the full Business Planning & Control-cycle of the company (including preparation of financial budgets and plans as well as analyses of various outlooks - forward looking estimates).
Administer business development processes and provide consultation and insights to executive committees and investors as part of the decision-making process.
Assess data for the purpose of determining past financial performance and/or to identify risks & opportunities.
Support on month- and year-end closing of accounts and consolidated results, identify issues, compare with previous periods results and projections. Linking pin with external auditors on a group and subsidiary level.
Manage all external filings and prepare management reports, including developing and monitoring business performance metrics.
Review all business operating processes and analyse results and ensure compliance with internal policies and external bodies requirements.
Overseeing regulatory reporting, frequently including tax planning and compliance
Evaluating accounting and internal control systems.

Your Profile

6-8 years of working experience out of which at least 2-3 years in a Controller or comparable position
University degree. HBO, BSc, MSc in Business Administration or equivalent
Being a Certified or Chartered Accountant and/or Controller is a plus
Experience working in an auditing firm (Big 4 or Small 5) would be considered a plus
Experience in consolidating financial figures and management reporting
Experience in IFRS (Dutch GAAP is considered a plus)
Deep understanding of cash flows, budgeting and business modelling
Experience in optimising and improving business processes
Excellent problem solving skills. Being able to identify the issue, coming up with solutions, implementing those solutions, and evaluating their effectiveness.
Experience implementing an ERP system and exposure in payment service providers is a plus
Fluent in English
Ideally based or willing to relocate to The Netherlands
Willing to travel

What's in it for you?

Diverse international community (46+ nationalities).
Hybrid working policy.
Unlimited paid holidays, minimum-based not maximum.
1,000 EUR personal development budget.
Complete coverage for commuting.
Personal equipment, including laptop and ergonomic setup.
Relocation support & 30% ruling application assistance.
Gym membership discount with GoVital or OneFit.
Variable pension scheme.
Dutch/English classes budget.
Fun team-building and after-work drinks every Friday.

If you have further questions, please email c.adamou@housinganywhere.com",https://media.glassdoor.com/sql/711735/housinganywhere-squarelogo-1541501673290.png,Rotterdam,nan,HousingAnywhere,NG,NG
Executive Assistant (to SVP Operations),"Job Description
Press space or enter keys to toggle section visibility
Starting the soonest possible we are looking for an Executive Assistant for the Senior Vice President for Operations, for the Europe, Middle East and Africa (EMEAC) Region.
Essential Duties and Responsibilities
Provides executive support for the Senior Vice President of Operations for the EMEAC region.
Handles in a timely and professional manner of the correspondence.
Provides executive support for the SVP Operations by coordinating the operation issues amongst the managed hotels, formulating team visit action plans and preparing management reports.
Manages and submit all travel & expenses for the SVP Operations and his management team
Regulates and support the travel arrangements for the SVP Operations and his management team.
Attends ad-hoc projects as assigned
Support with presentations where necessary
Managing meeting scheduling and coordination
Required Skills
Previous experience with supporting regional business leaders at C-Suite level.
Well organized, self-motivated, strong sense of responsibility, detail oriented and accurate in work
Good command of both written and spoken English. Dutch or any other language is a plus.
Proficiency in word processing and MS Office – Word, Excel, Powerpoint, Outlook.
Positive and cheerful disposition, team spirit.
Ability to work independently with minimal direction.
Strong interpersonal skills with ability to communicate effectively with internal and external stakeholders.
Ability to multitask and prioritize tasks, demonstrating excellent time management skills.
This role is ideal for someone who is passionate about administration, and has experience at managing senior business leaders at regional level. We are looking for a candidate who can manage multiple tasks, work under pressure and provide the administrative support for a fast-pace, international team.
About us: Our Amsterdam office is a fast-paced, international team, with a strong sense of collaboration. We believe in teamwork, finding solutions and being yourself. Because of this we are looking for someone who fits with our team and so we’d like to make an offer to someone collaborative and result-oriented with a can-do mindset, who shows initiative and who would enjoy working at Rosewood as much as we do.
To be considered for the role applicants must have a valid work / residency permit for the Netherlands / the EU. Sponsorship is not provided.",https://media.glassdoor.com/sql/409322/rosewood-hotel-group-squarelogo-1599401595544.png,Amsterdam,nan,Rosewood Hotel Group,NG,NG
Sales Manager for the Netherlands (m/f/d),"*The position is based in the Netherlands, but can be managed on a mobile basis to a large extent.*


TUI Group is the world’s number one integrated tourism business. The Global Flight Marketplace (GFMP) within the TUI Group provides all own airline and 3rd party flights including flight products and ancillaries for own and secondary distribution B2C and B2B. Global Commercial Management Flight Only within the GFMP is a global team responsible for the commercial decisions around intermediary flight only business – OTA and consolidator (e.g. TUI Ticket Shop) business across all TUI markets. We are a multi-disciplinary team of experts who have commercial ownership of the different business models, are responsible to control Business rules as well as Product manager, Sales Force and a team of Commercial Analysts. Our main goal is to offer our clients the best flight product for their needs – online on our website or offline in the shops.

Become part of the TUI Group’s Global Flight Marketplace and actively shape our success. We are looking for a Sales Manager (m/f/d) for the Netherlands as soon as possible.


ABOUT THE JOB

Central contact person for and support of e.g. agencies, sales partner, specialized TO, taking into account the sales strategy (for TUI Ticket Shop)
Monitoring sales, increasing sales and earnings of e.g. agencies, sales partner, specialized TO
Further development of sales strategies in accordance with the sales concept in cooperation with the commercial responsible
Independent development of actions plans and their consistent processing
New acquisition of e.g. agencies, sales partner, specialized TO
Negotiating and agreeing incentives and advertising cost allowances within the framework of budgeting
Responsibility for revenue targets
Presentation and placement of own products with our partners (e.g. agencies, sales partner, specialized TO) & participation in and implementation of product, airline and system training, conferences, trade fairs, events
Conflict resolution in case of problems, detection of escalation issues and derivation of recommendations for action
Supporting the office staff with administrative activities
Market and competition observations as well as Project work
ABOUT YOU

University degree (sales, marketing, business administration) or Completed training e.g. as a travel agent
Several years of experience in the sales force, consolidator business
Business fluent Dutch
Business Fluent English
Communicational strength and moderating skills
Committed and confident appearance, assertiveness, persuasiveness and negotiation skills
Experience with tariff regulations and product conditions of airlines
Very good knowledge of Microsoft Office (Word, Excel, PowerPoint, Outlook)
Very good knowledge of GDS/Front-, Mid- and Backoffice-Systeme)
Very good knowledge of the airline market (scheduled and charter flights)
Good judgment and high competence in problem solving
High social competence and customer orientation
Very independent and structured way of working


ABOUT OUR OFFER

Working in the leading global tourism group: We stand for intercultural cooperation and offer the opportunity to work in international projects and teams.
Mobile working and flexible working hours: We believe that work is something you do, not where you go. Our offer: newWork@TUI (hybrid working) & TUI Workwide (Working from abroad)
Development and career opportunities: We promote the potential of our employees with a wide range of (digital) training opportunities and international career opportunities.
Personal benefits: We offer attractive remuneration with holiday bonus, generous travel benefits, extensive health & wellbeing offers and much more.
We love to see your uniqueness shine through and inspire the future of travel. If you would like to read more about what Diversity & Inclusion means to us simply visit Our DNA.",https://media.glassdoor.com/sql/950367/tui-group-squareLogo-1664371247397.png,Amsterdam,nan,TUI,NG,NG
Learning & Development Trainee - Northern Europe,"Who are we?
NH Hotel Group is an established multinational player and a leading operator of hotels in urban destinations in Europe and America. NH Hotel Group operates more than 360 hotels. Since 2019, the company has partnered with Minor Hotels under one umbrella corporate brand with a presence in more than 50 countries around the world. Together, the two groups own a portfolio of more than 500 hotels, built around eight brands: NH Hotels, NH Collection, nhow, Tivoli, Anantara, Avani, Elewana and Oaks. At NH Hotel Group, your career can take you anywhere!
What will you do?
NH Hotel Group attaches great importance to the development of its employees. Therefore, NH Hotel Group has its own Learning & Development Department, the NH University. As a Learning & Development Trainee you are jointly responsible for NH University in the Business Unit Northern Europe. You will also deal with HR themes, such as Employer Branding, Employee Engagement, and Internal Communication. In this position you will maintain contact with department heads and hotel directors of 128 hotels in Northern Europe; ample opportunity to expand your network considerably! You will plan, coordinate, and communicate about the above HR-related topics from the Central Services Office in Hoofddorp and you will regularly visit our hotels.
You will support the team by putting together new training courses and with the administration of all training sessions and meetings. You will prepare internal communication about HR themes and you will actively contribute to improving internal communication and work processes. You will help with writing vacancy texts and further improving the vacancy website. In addition, there is the possibility to work on projects that give you energy.
Within NH Hotel Group we are always looking for opportunities to improve our services and the way we work. During your internship there are lots of possibilities to contribute to this. In short, a multi-dimensional internship in an international working environment!

Who are you?Are you looking for a challenging internship for at least 5 months and are you a student in Hotel Management, Human Resources or Marketing & Communications?Do you think it would be a great challenge to be part of an international hotel chain?Are you interested in the development and well-being of colleagues and do you have an affinity with the HR themes mentioned?Do you dare to tackle new projects independently?Are you enthusiastic, enterprising, do you have good communication skills and are you accurate?Do you speak and write perfect Dutch and English?
We are looking for you!
What do we offer?
We understand that people make the difference, and this is reflected in the outstanding benefits we offer our employees whilst pursuing an exciting career in the dynamic hospitality industry! NH Hotel Group: a world of possibilities!
In addition to the gross placement fee of € 500.- NH Hotel Group offers the following benefits to trainees.
Special employee rates: staying in NH hotels worldwide!
NH University: excellent training and (international) development opportunities
Invite family and friends to stay at NH Hotels
Great career opportunities!
Interested in this opportunity? !",https://media.glassdoor.com/sql/453116/nh-hotels-squarelogo-1508396018760.png,Amsterdam,nan,NH Hotel Group,NG,NG
(Junior) Project Manager (fulltime),"(Junior) Project Manager (fulltime)The ESA Conference Bureau of ATPI Corporate Events in Noordwijk is looking for a (Junior) Project Manager who loves the challenge of planning and realising national and international conferences. We are looking for a true multi-tasker who can handle budgets, venue negotiations, delegate relations, and questions from our clients across multiple projects: all at the same time.About ATPI Corporate & Sports EventsThe department ATPI Corporate & Sports Events is part of the worldwide ATPI Group. ATPI develops Corporate & Sports Events throughout the globe. With over 100 events professionals located in the Netherlands, Australia, Canada, and the UK we develop and execute events, business meetings, incentives, sponsor activation, and travel & hospitality for various corporate clients. It is our ambition to offer both clients and guests the ultimate event experience.About the ESA Conference Bureau (ECB)For the European Space Agency (ESA-ESTEC) ATPI Corporate Events offers in-house conference services; ESA Conference Bureau. The team is located in Noordwijk at the ESTEC premises. ESA is an international organization, where 80% is expat. The language used with our clients is, most of the time, English. Conferences are organized for people from all over Europe. Within ESA you can develop your different language skills and you will work in an intercultural environment. The Conference Team exists of 4 project managers, who will be your direct colleagues. The conferences that the Conference Team organizes are Scientific.Tasks & responsibilities· Researching and writing proposals for ESTEC contacts· Registration of guests (delegate management)· Purchasing and set up budgets· Project administration· Assisting during conferences preparations· Creating briefings, planning documents and itinerary· Contact and briefing of main suppliers (catering, audio-visual, venues, etc.)· On-site assistance during events (exhibitions, logistics, social programmes, vendors, etc.)· Marketing activities: making website portals, sending out announcements· Organizing social events and logistics (Welcome cocktail, Social Dinners, Transportation)Profile· HBO Level· Excellent communication and social skills (team player)· Service minded and representative· Familiar with Microsoft Office· Fluent in Dutch and English both verbal and written (required)· Knowledge of other foreign languages is a plus· Flexible can-do mentality (willing to work flexible hours)· Organized, eye for detail and capable of dealing with stressful situations· Experience with registration tools is a plus· Marketing or html knowledge is a plus· In possession of driver’s license BWhat ATPI has to offer:Competitive salary25 vacation days and 6.5 ATV days (based on fulltime)Travel allowance (depending on your location and means of travel)Free travel insuranceDiscount on health insuranceParticipation in pension planAccess to the ATPI AcademyYearly team eventChance to travel within Europe for conferencesBenefits of the location in Noordwijk:Big canteen with a wide and healthy varietyFree access to sport facilities (Gym, Swimming pool)Intercultural environmentDifferent clubs that you can join (Dance club, Theatre club, Music club, Wine club etc.)Soort dienstverband: FulltimeRooster:ma-vrSecundaire arbeidsvoorwaarden:BedrijfsfeestenCollectieve zorgverzekeringFietsplanPensioenPersoneelskortingReiskostenvergoedingWerk vanuit huisSoorten aanvullende vergoedingen:VakantiegeldOpleiding:HBO (Gewenst)Werklocatie: Hybride werken in 2201 AZ Noordwijk",https://media.glassdoor.com/sql/762662/atpi-squarelogo-1396759114229.png,Noordwijk,nan,ATPI,NG,NG
