job_titles,job_description,images,locations,salaries,companies
Productiemedewerker Metaal (Avond),"Als Straler / Productie medewerker ben je verantwoordelijk voor de afwerking van onze producten.Bij WWD Metaal werken betekent: het beste uit jezelf halen om zo als team het beste te presteren. Ben jij klaar voor een nieuwe uitdaging?FunctieomschrijvingJe bent fysiek sterk en voert zelfstandig werkzaamheden uit aan de hand van het productieformulier. Je bent verantwoordelijk voor de afwerking van onze producten. Je zorgt ervoor dat (las)verkleuringen en oneffenheden weer mooi egaal worden door middel van glasparelen, schuren, scotchen, beitsen en trommelen. Samen met jouw directe collega werk je om de beurt in de grote straalcabine.Ook voer je eenvoudig onderhoud en reparaties uit aan deze machines en kun je eventuele storingen oplossen.FunctieprofielJe bent fysiek sterkJe bent zelfstandig en nauwkeurigJe kan goed samenwerken en communicerenJe hebt technisch inzichtJe spreekt bij voorkeur de Nederlandse taalJe hebt affiniteit met MetaalArbeidsvoorwaardenEen contract voor 7 of 12 maanden met natuurlijk uitzicht op een vast dienstverbandFulltime, 40 uur per weekSalaris € 1.950 - € 2.85025 vakantiedagen + 13 adv-dagen; als je beloofd dat je terug komt tenminste!Pensioenfonds Metaal en TechniekBedrijfsprofielWWD Metaal is een jonge talentvolle en dynamische onderneming, gespecialiseerd in het vervaardigen van enkelvoudige-/ samengestelde en seriematige producten, voor o.a. de medische-/ voedingsmiddelen- en machinebouw industrie. Je werkt in een leuk team met ervaren, gedreven medewerkers in een informele bedrijfscultuur, op de werkvloer heerst onderling een prettige sfeer. WWD Metaal bied haar werknemers ruimte voor ontwikkeling en doorgroeimogelijkheden.Werken bij WWD Metaal doe je:voor het geldin een leuk jong teamvoor de gezelligste personeelsuitjesom te groeienvoor de vrijdagmiddagborrelRuimte voor nieuwe initiatieven en ideeën; daar staan we altijd voor open. Of je nu een week, maand of een jaar bij ons werkt.Uitdagend werk om helemaal in op te gaan, zodat je af en toe vergeet dat je aan het werk bent. Een platte organisatie in de breedste zin van het woord. Zo kun je gewoon een biertje drinken met de baas.Er heerst een ongekend goede werksfeer. Met vrijdagmiddagborrels, legendarische feestjes en de leukste teamactiviteiten! In de pauze of na het werk een potje poolen of darten? Bij WWD Metaal kan dat gewoon.WE WANT YOU!Lijkt deze baan als Straler / Productie medewerker je wat? Reageer dan snelStuur jouw CV met motivatie naar info@wwdmetaal.nlVoor meer informatie kun je ook direct contact opnemen met Wil Waelbers via 0495-550828.Voldoe jij misschien niet helemaal aan het gevraagde profiel en ben je toch van mening dat jij een toegevoegde waarde voor WWD Metaal bent? Neem gewoon contact met ons op via bovenstaande gegevens. Je weet maar nooit!Soort dienstverband: Fulltime, Vaste baanSalaris: €1.950,00 - €2.700,00 per maandFlexibele taalvereiste:Nederlands niet vereistRooster:ma-vrSecundaire arbeidsvoorwaarden:BedrijfsfeestenBudget voor professionele ontwikkelingKerstpakketMogelijkheid tot promotiePensioenReiskostenvergoedingVrijdagmiddagborrelSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldErvaring:straler roestvrijstaal (RVS): 2 jaar (Gewenst)Taal:Nederlands (Gewenst)Werklocatie: Fysiek",https://media.glassdoor.com/sql/7687199/retourmatras-squarelogo-1663312408816.png,Etten-Leur,€3K (Employer est.),RetourMatras
Assemblagemedewerker,"Productiemedewerker Metaal (avond) Etten-LeurMetaalverwerking is een belangrijk onderdeel op de recyclinglocatie van RetourMatras in Etten-Leur. Voor onze avondploeg zoeken we een Productiemedewerker Metaal. Dit is een fulltime baan in de avond van 15:00 tot 00:00 uur.Als Productiemedewerker Metaal werk je in de fabriek met machines en handmatig. RetourMatras recyclet oude matrassen tot nieuwe grondstoffen. Het metaal uit pocketveringmatrassen wordt in onze fabriek gerecycled. Jij zorgt ervoor dat de weg van het metaal van recyclinglijn tot shredder goed en veilig verloopt. Onder jouw werkzaamheden vallen ook het controleren, sorteren en opruimen van materialen rondom de machines en het schoonhouden van de werkruimte.Wil jij fulltime werken in de avond en woon je in de omgeving Etten-Leur? Solliciteer nu en kom werken bij RetourMatras, in de fabriek afdeling metaalverwerking.Jouw werkzaamheden als Productiemedewerker Metaal· IJzerbalen openknippen (deze staan onder druk)· Aanvoeren van de pocketvering op de band· Stofzakken verwisselen· Metaal verdelen in ijzerbakken· Afkoppelen van de perscontainer· Bewaken van het proces· Zorgen voor een opgeruimde werkplek· Schoonmaakwerkzaamheden in de fabriek· Werkzaamheden uitvoeren conform het veiligheidsbeleid.Overige verantwoordelijkheden· Uitvoeren dagelijkse werkzaamheden in overleg met Voorman.· De productiemedewerker metaalverwerking rapporteert aan en valt onder de verantwoordelijkheid van de Voorman.Wat vragen we?· Je hebt geen opleiding nodig voor deze baan· Je hoeft geen relevante werkervaring of kennis te hebben· Gewenste inzet:o In de gaten houden van het werkproceso Je bent flexibel en betrouwbaaro Je let goed op tijdens het werk en neemt je verantwoordelijkheido Samenwerken met collega’so Je bent lichamelijk in goede gezondheid· Heftruck certificaat heb je of je wilt een cursus volgen· BHV cursus volgen is mogelijkWat bieden we? Een fulltime baan met vaste werktijden (avonddienst)- Werken in de avond van 15:00 tot 00:00 uur- Een contract voor bepaalde tijd met uitzicht op een vast dienstverband- Een goed georganiseerde werkplek in een jong en groeiend bedrijf- Salaris wordt ingeschaald op basis van leeftijd/werkervaring tijdens het sollicitatiegesprek- 25 vakantiedagen- Op vrijdagen wordt avondeten verzorgd- Bedrijfsfeesten- Pensioen (onder voorbehoud van aanvaarding door het pensioenfonds)Wij zijn niet geïnteresseerd in diensten van werving- en selectiebureaus, uitzendorganisaties of soortgelijke bedrijven.Soort dienstverband: FulltimeSalaris: Tot €2.500,00 per maandRooster:AvondwerkDagdienstPloegendienst",https://media.glassdoor.com/sql/1286937/luba-squarelogo-1470985041144.png,Zwanenburg,€12.00 - €14.00 Per Hour (Employer est.),Luba3.1 ★
Allround productiemedewerker,"Wil jij graag met je handen aan de slag en komen te werken in een heel gezellig familiebedrijf? Solliciteer dan nu!
Over het werk
Bij dit leuke familie bedrijf ga je aan de slag in de assemblage. Het is het jouw verantwoording om verschillende soorten farmaceutische tafels in elkaar te assembleren. Alle halffabricaten die binnenkomen ga je op de juiste manier aan elkaar bevestigen om een mooie tafel te creëren voor de klant. Hiervoor gebruik je verschillende soorten gereedschap. Ervaring is geen vereiste, je wordt vanaf de start heel goed begeleid en in no-time weet je precies hoe je welke tafel in elkaar zet. Mocht je er toch niet uitkomen, is er altijd een handleiding beschikbaar waar je kan lezen hoe je de tafels in elkaar zet, maar je kunt ook aan collega's om hulp vragen.
De werktijden zijn van maandag t/m donderdag van 6:45 tot 16:00 en op vrijdag heb je lekker vroeg weekend want je werkt van 6:45 tot 12:00.
Wat wij bieden
Een leuke baan voor de langere termijn
Leuke collega's
Een relaxte werksfeer
Ook zonder ervaring kun je hier beginnen
Wat wij vragen
Je staat open om een nieuw vak te leren
Je wil graag met je handen werken
Je spreekt goed Nederlands of Engels
Over het bedrijf
Jouw toekomstige werkgever is een familiebedrijf die onder andere therapeutische tafels maken. Hierbij kun je denken aan de stoelen die je tegenkomt bij een fysiotherapeut, masseur, ziekenhuizen maar ook in een trimsalon zodat een hond weer netjes geknipt kan worden. Er hangt binnen dit bedrijf een relaxte sfeer en is er naast hard werken ook zeker tijd voor een geintje. Ze hebben een pooltafel waar jullie vrijdagmiddag een potje op kunnen poolen.
Over Luba
Luba is het grootste uitzendbureau voor het MKB. Met de meeste banen, bij de beste werkgevers bij jou in de buurt. Wij hebben altijd persoonlijk contact, zodat we weten wat je nodig hebt om te groeien. Met 50 vestigingen zijn wij altijd in de buurt. Waar je ook aan de slag wilt, er is altijd werk bij jou in de buurt. Solliciteer direct!",https://media.glassdoor.com/sql/931897/döhler-squarelogo-1422306588313.png,Oosterhout,nan,Döhler Holland BV3.4 ★
Assemblagemedewerker,"De Döhler Groep is een internationale groep van bedrijven met meer dan 7.000 medewerkers in ruim 30 landen waar Döhler Holland B.V. in Oosterhout met 360 medewerkers onderdeel van uit maakt. Als toonaangevende producent van natuurlijke ingrediënten voor de voedingsmiddelenindustrie, en in het bijzonder de fris- en vruchtendrankindustrie, zijn innovatie en ambitie van grote waarde bij Döhler.Voor onze afdeling Verpakking (Bag-In-Box) zijn we op zoek naar een nieuwe collega.Allround Worker Production | Verpakking3-ploegendienst | FulltimeIn deze functie ben je bezig met het opstarten, afstoppen en het uitvoeren van batchwissels op de klein verpakking lijn. Je bouwt de inpaklijn om, stelt de machines van de Bag-In-Box af, en zorgt ervoor dat de machines zijn bijgevuld. Ook zorg je ervoor dat de kwaliteitscontroles worden uitgevoerd en hou je de productieplanning in de gaten. Je verhelpt kleine storingen en geeft ondersteuning aan onze Technische Dienst. We werken volgens werkinstructie procedures (WI&EPL), en kunnen we op deze manier een kwalitatief hoogstaand eindproduct garanderen.Je profiel· Je beschikt over een LBO/MBO werk-denkniveau· Je kunt goed zelfstandig en in teamverband werken, stelt prioriteiten en lost problemen op· Je hebt een technisch inzicht en affiniteit met het bedienen van apparatuur, en kunt storingen goed verwoorden· Je hebt een groot verantwoordelijkheidsgevoel· Je bent communicatief goed vaardig, en beheerst bij voorkeur de Nederlandse taal in woord en geschrift· Je bent een echte aanpakker!Wij bieden· Een motiverende werkomgeving van een internationaal en innovatief bedrijf· Een collegiale en gezellige werksfeer, waarin je ruimte krijgt om jezelf te zijn en jezelf te ontwikkelen· Vaste baan met een goed arbeidsvoorwaardenpakket· Werk in een gemotiveerd team met leuke en professionele collega’sHeb jij interesse in deze uitdagende functie? Stuur ons dan jouw motivatie en cv toe.Kijk ook op www.werkenbijdoehler.comSoort dienstverband: Fulltime, Vaste baanRooster:PloegendienstSecundaire arbeidsvoorwaarden:BedrijfsfitnessPensioenReiskostenvergoedingSoorten aanvullende vergoedingen:Overuren uitbetaaldVakantiegeldWerklocatie: Fysiek",nan,Den Dolder,€2K - €3K (Employer est.),Rosenberg Klimaattechniek
Betrouwbare productiemedewerker gezocht!,"VACATURE assemblage medewerker M/VDIRECT SOLLICITERENBESCHIK JIJ OVER...Heb je affiniteit met techniek?Een proactieve werkhouding?Enthousiasme en zelfstandig?Werken in een goed team? Lees snel verder!KENMERKEN VACATURERosenberg | LuchtbehandelingskastenStandplaats | Den DolderMBO werk- en denkniveauWerkweek | 32 - 40 uurKOM JIJ ONS TEAM VERSTERKEN?Heb jij ervaring met assembleren? Dan hebben wij een leuke vacature voor je beschikbaar! Als assemblagemedewerker ben jij samen met andere collega’s verantwoordelijk voor het bouwen van unieke luchtbehandelingskasten. Wil jij werken voor een innovatief bedrijf? Kom dan eens langs bij Rosenberg Klimaattechniek in Den DolderEen dagje uit het leven van een assemblagemedewerker bij Rosenberg!Je start de dag op met een kop koffie samen met jouw collega’s. Vervolgens begint de werkdag met het inlezen van de technische tekening waarna je samen met je collega’s start met de bouw van de luchtbehandelingskast. De komende dagen zullen jullie hiermee aan de slag gaan.Gedurende de werkdag zijn er koffie breaks en uiteraard een goede lunch in de bedrijfskantine. Einde van de dag worden de gereedschappen opgeruimd en ga je met een voldaan gevoel naar huis!WAT NEEM JE HIERVOOR MEE?Je beschikt over een enthousiaste instelling en werkt samen met je collega’s in de productie.WAT STELLEN WE HIER TEGENOVER?Je komt te werken in een betrokken en hecht team, we staan graag voor elkaar klaar! Daarnaast bieden we je:Een afwisselde baan voor 32- 40 uur per week (invulling in overleg).Passende arbeidsvoorwaarden, waaronder een marktconform salaris, ruime verlofregeling én een goede pensioenregeling.Een fijne, informele werksfeer en gezellige collega’s.Tot slot snappen we dat de boog niet altijd gespannen kan zijn. Dus organiseren we regelmatig leuke activiteiten met de afdeling.WAAR KOM JE TE WERKEN?Een gezond, veilig en comfortabel binnenklimaat heeft een positieve invloed op mensen. Rosenberg verzorgt dit voor onze klanten in Nederland. We zijn uniek in de markt en leveren de hoogste kwaliteit. Op het gebied van binnenklimaattechniek speelt Rosenberg een belangrijke rol. We beschikken over meer dan 40 jaar ervaring op het gebied van binnenklimaattechniek.GA JIJ GRAAG BIJ Rosenberg AAN DE SLAG?Ben jij bij Rosenberg op jouw plaats en ga je graag deze uitdaging aan? Stuur dan jouw motivatie met CV naar onze HR afdeling.Soort dienstverband: Fulltime, Vaste baan, Betaalde opleiding / bblSalaris: €2.200,00 - €2.800,00 per maandRooster:Dagdienstma-vrSecundaire arbeidsvoorwaarden:BedrijfsopleidingBudget voor professionele ontwikkelingCollectieve zorgverzekeringPensioenWerk vanuit huisWinstdelingSoorten aanvullende vergoedingen:VakantiegeldWerklocatie: Fysiek",nan,Breda,nan,Lion Laser Systems BV
Productiemedewerker 3-ploegen,"Betrouwbare productiemedewerk(st)er gezocht.Weet jij van aanpakken? Dan zijn wij op zoek naar jou.Wie zijn wij?Wij zijn Lion Lasers, een bedrijf met 18 leuke medewerkers.Wij bedenken, maken en verkopen lasersystemen. Met deze lasersystemen kunnen wij producten graveren of snijden.Naast het bedenken en bouwen van de systemen gebruiken wij deze machines ook zelf voor het uitvoeren van productieopdrachten. Bijvoorbeeld lasergraveren van typeplaatjes, machinedelen, bekers, houten tafelbladen enzovoort.Wij zoeken versterking om de producten van onze klanten te graveren en/of snijden. Kennis van onze machines heb je niet nodig, maar een aanpakkersmentaliteit wel! Én je moet zorgvuldig kunnen werken. Ben jij onze leuke, nieuwe collega?Wie ben jij en hoe ziet je werkdag eruit? Je start ‘s morgens tussen 8 uur en 9 uur.Bij binnenkomst begroet je de aanwezige collega’s en pakt een kop koffie.Bij de start van de werkzaamheden klok je jezelf in en kijkt in de productieplanning wat je vandaag kan gaan doen. O leuk, het zijn 500 typeplaatjes waar een QR code op moet komen te staan.De machine staat al ingesteld dus je kan gelijk aan de slag. Jij hebt zin om te knallen!Als alle typeplaatjes gegraveerd en netjes ingepakt zijn, geef je dit door aan de werkvoorbereider.Je kijkt daarna nog een keer in de productieplanning om te zien welke opdracht je nu kan gaan graveren. Het zijn 100 bekers waar een logo op gegraveerd moet worden. Tijdens het graveren valt je op dat je tussendoor best een tijd moet wachten…Je houdt niet van wachten, dus spreekt de werkvoorbereider hier op aan. Samen kijken jullie of er twee orders tegelijkertijd gegraveerd kunnen worden. Hierdoor hoef je niet te wachten en vliegt de tijd voorbij. Natuurlijk zorg je er wel voor dat de kwaliteit van de producten en gravures goed blijft.Zo, jij bent goed bezig geweest. Het is 12:00 uur en dat betekent middagpauze. Gezellig met de collega’s eten en misschien durf je je aanstaande collega’s uit te dagen voor een potje tafelvoetbal.In de pauze is je opgevallen dat er wat vlekken op de vloer in de keuken zitten en dat de ramen ook wel een poetsbeurt kunnen gebruiken. Je vraagt aan je leidinggevende of je dit misschien op kan pakken. Samen plannen jullie dit in.In de middag nog een grote productie opdracht en dan zit je werkdag er weer op. Woow, de dag is omgevlogen en je gaat met een glimlach naar huis.Kortom: weet jij van aanpakken en denk je graag mee hoe iets verbeterd kan worden? Dan ben jij degene die wij zoeken!Jouw taken zijn o.a.:- Werkbonnen en planning bekijken om te zien wat je vandaag gaat doen- Producten netjes uit- en inpakken- Productie van graveerwerk en naambadges- Schoonmaakwerkzaamheden (ca 4u/week)Wat bieden wij?Een leuke combinatie functie voor minimaal 28 uur in een dynamisch bedrijf en hecht team. Wij bieden goede en marktconforme arbeidsvoorwaarden. Werkplezier vinden wij heel belangrijk.Interesse? Stuur je CV en motivatie!Liever nog meer info? Bel met Maartje Hop-Bogers op 076 581 0101.Soort dienstverband: ParttimeParttime uren: 28 per weekRooster:ma-vrSecundaire arbeidsvoorwaarden:KerstpakketKosteloos parkerenPensioenReiskostenvergoedingSoorten aanvullende vergoedingen:BonusregelingVakantiegeldWerklocatie: Fysiek",https://media.glassdoor.com/sql/4764040/verdo-werkt-squareLogo-1619418080372.png,Apeldoorn,€3K - €4K (Employer est.),Verdo Werkt4.8 ★
Assemblagemedewerker,"Wil jij graag binnen de productie aan de slag maar liever niet in het weekend werken? Dan is een baan als productiemedewerker in 3-ploegendienst wel wat voor jou! In de magazijnen van onze opdrachtgevers zijn verschillende werkzaamheden mogelijk. Hier lees je alles wat je moet weten over jouw nieuwe baan!
3-ploegen productiewerk: dit ga je doen
Als productiemedewerker krijg je te maken met verschillende soorten werkzaamheden. Om het werk leuk en afwisselend te houden werk je meestal samen met een of meerdere collega’s en krijg je elke dienst een andere taak om uit te voeren. Denk bijvoorbeeld aan de volgende werkzaamheden: verpakken of inpakken, producten controleren of sorteren, machines schoonmaken, instellen of bedienen of producten in elkaar zetten. Als laatste help je ook mee met het inladen van de goederen in de vrachtwagens. Klaar voor transport!

Dit kan je verwachten!

Elke maand een mooi bedrag op de loonstrook: verdien tot € 3500
3 diensten: dag- avond- of nachtdienst
Goede regelingen voor woon-werk verkeer
Genoeg afwisseling doordat je elke dienst een andere taak krijgt
Doorgroeimogelijkheden tot teamleider of planner

Ha productiemedewerker! Welke opdrachtgever kies jij?
Jij kunt bij meerdere bedrijven terecht! Wij hebben namelijk veel opdrachtgevers die opzoek zijn naar goede productiemedewerkers. Voordeel aan deze bedrijven met 3-ploegen diensten is dat je in het weekend altijd vrij bent. Daarnaast kun jij van tevoren jouw voorkeuren doorgeven: dag- avond- of nachtdienst. Laat gewoon weten wat jij voor ogen hebt, dan kijken wij wat haalbaar is!

Wat jij nodig hebt als productiemedewerker

Op verschillende tijden werken is voor jou geen probleem
Je bent een echte aanpakker en je kan goed doorwerken
Zorgvuldig en nauwkeurig
Bij voorkeur heb je rijbewijs B

Ga aan de slag als productiemedewerker!
Wanneer start jij met een nieuwe baan als productiemedewerker in 3-ploegendienst? Laat deze kans niet liggen! Neem contact op met Guido via 06-43 24 07 06. We zien jouw reactie graag verschijnen!",https://media.glassdoor.com/sql/4763478/westerduin-groep-squarelogo-1636628692552.png,Utrecht,€15.00 Per Hour (Employer est.),Westerduin3.6 ★
Assemblagemedewerker,"Wil jij graag werken aan een product dat echt onmisbaar is voor mensen die al uitdagingen genoeg hebben? Wellicht hebben wij dan de opdracht voor jou!

Als assemblage medewerker ga jij namelijk voertuigen zoals auto's en busjes aanpassen, zodat deze rolstoel toegankelijk zijn. Jij maakt de uitsparingen breder, installeert instapgangen, bevestigd andere handgrepen en monteert opbergbakken. Je werkt met verschillende machines en zorgt er altijd voor dat alles netjes is afgewerkt. Soms kan het wat veel werk zijn op je knieën, maar door jou bijdrage weet je wel dat iemand die hulp nodig heeft veilig en wel onderweg kan zijn.

Werkdagen zijn van 6:30 uur tot 16:30 uur, op vrijdag ben je om 10:45 uur klaar om weekend te vieren.


Jouw nieuwe werkplek:
Jouw nieuwe werkgever is gevestigd in Utrecht. Sinds 1998 investeren ze in de mobiliteit van mensen. Zij bouwen rolstoelauto's en mini- en midibussen om tot een voertuig die voldoet aan de behoefte van de passagier. Ieder voertuig is anders en vraagt weer zijn eigen aanpak. Voldoende afwisseling en dus ook voldoende om te leren. Elektra, hydrauliek en pneumatiek kun je hier jezelf eigen maken. Ze geven dus veel om jouw ontwikkeling. Daarnaast is de sfeer binnen het bedrijf erg goed en er is regelmatig tijd voor een grapje op de werkvloer.

Dit bieden wij jou:

Een fulltime baan van 40 uur per week
Startsalaris tussen de €13,36 en €20,- bruto per uur (afhankelijk van ervaring)
25 vakantiedagen en 8,33% vakantiegeld
Een zeer afwisselende baan binnen een mooi en innovatief bedrijf
Vergoeding van je reiskosten van €0,21 per km
Werkschoenen van ons
Elke vrijdag om 10:45 uur klaar
Uitzicht op een vast contract bij de werkgever
Dit vragen wij van jou:

Je hebt affiniteit met techniek
Je kan overweg met gereedschap
Je leert graag en maakt nieuwe informatie snel eigen",https://media.glassdoor.com/sql/4763618/seesing-flex-squarelogo-1636463524230.png,Holten,nan,Seesing Flex
Inpakmedewerker Chocolademunten,"Assemblagemedewerker in dagdienst bij Aebi Schmidt in Holten!
Assemblagemedewerker
Over onze opdrachtgever
Aebi Schmidt Nederland is onderdeel van de internationale Aebi Schmidt Groep waar circa 3.000 medewerkers werken. Wereldwijd leveren ze producten op het gebied van gladheidsbestrijding, sneeuwruimen, straatreiniging en tuin- en parktechniek. Aebi Schmidt Nederland is gevestigd in Holten en vanuit daar ontwikkelen en produceren ze gladheidsbestrijdingsmaterieel. De cultuur binnen Aebi Schmidt is samen te vatten als no-nonsens, betrouwbaar en resultaatgericht. Er is veel persoonlijke aandacht en je leidinggevende motiveert jou om het beste uit jezelf te halen!
Wat zijn jouw werkzaamheden?
Ben jij op zoek naar een uitdagende baan als assemblagemedewerker en wil jij werken bij een innovatief bedrijf dat wereldwijd bekend is om zijn hoogwaardige gladheidsbestrijdingsmaterieel en machines voor reiniging en onderhoud van wegen en vliegvelden? Dan is dit de vacature voor jou! Als assemblagemedewerker bij Aebi Schmidt in Holten ben jij verantwoordelijk voor het monteren en assembleren van verschillende onderdelen van de machines. Daarnaast kan het zijn dat jij de machine opbouwt. Jij zorgt er als assemblagemedewerker voor dat jij de machines op de juiste manier samenstelt en zorgt dat ze voldoen aan de hoogste kwaliteitseisen. In het hoogseizoen kan het voorkomen dat er een uur langer doorgewerkt wordt om aan de klantvraag te kunnen voldoen. Hier staat natuurlijk een passende vergoeding tegenover.
Wat vragen wij van jou?
Het zou mooi zijn als jij al ervaring hebt met soortgelijke werkzaamheden en in het bezit bent van een technisch diploma. Is dat niet zo, maar heb jij twee rechterhanden en heb jij verstand van diverse gereedschappen? Dan nodigen wij jou ook zeker uit om te solliciteren. Verder heb jij technisch inzicht, oog voor detail en werk jij nauwkeurig. Je kunt goed samenwerken met collega's en je hebt een flexibele instelling.
Wat bieden wij jou?
Een uitdagende functie waarin jij onderdeel mag zijn van een internationale professionele organisatie. Uiteraard hoort hier een goed salaris bij conform de cao Metaal & Techniek tussen €2.475,- en €2.828,- en een mooie vergoeding voor overuren.
Ben jij de assemblagemedewerker die wij zoeken? Aarzel niet en solliciteer direct. Wil jij meer informatie? Neem dan contact op met Jill en Mariska op 06-59814309 of aebi@seesingflex.nl en wie weet verwelkomen wij jou binnenkort als nieuwe collega bij Aebi Schmidt in Holten!
https://www.seesingflex.nl/aebi-schmidt-strooit-met-vacatures",https://media.glassdoor.com/sql/1986751/jelle-squarelogo-1524654445874.png,Bergambacht,€30.00 Per Hour (Employer est.),Jelle4.8 ★
Assemblagemedewerker,"wat ga je doen?
Bij dit bedrijf is werken zo zoet als chocolade! Je wordt omringd door heerlijke chocolade en gezellige collega's in een fijne omgeving. Als jij bij ons aan de slag gaat, wordt je onderdeel van team Netjes. Hier draait alles om het perfect verpakken van chocolade. Jouw taak is om de netjes te controleren op gewicht, kwaliteit en hoeveelheid. Dit doe je snel, maar met oog voor detail, zodat onze klanten altijd de beste chocolade ontvangen.

wie ben je?
We zijn op zoek naar harde werkers. Je moet fit zijn, want je zal veel bukken, tillen, lopen enzovoort. Het tempo is hoog en de kwaliteit is goed. Je gaat werken in 3 vaste ploegendiensten. Dit doe je samen met je collega’s. Je moet daarom goed kunnen samenwerken. Als laatste is het belangrijk dat je goed Nederlands kunt.

waar ga je werken?
Je komt te werken in een chocoladefabriek. Nee, er loopt geen Willy Wonka. Ja, er is wel chocolade. Heel veel chocolade. Het is een gezellig en hecht team, waar iedereen elkaar kent en je je absoluut geen nummertje zal voelen. Het is belangrijk dat je eigen vervoer hebt om naar de chocoladefabriek te komen (scooter of auto naar de Goudse Poort).


wat bieden we je?
Arbeidsvoorwaarden:

Bruto uurloon: 1e 26 weken: €12,45 - na 26 weken: €13,89 - na 52 weken: €14,12
Bruto uurloon is exclusief ploegentoeslag
Reiskostenvergoeding: €0,21 per kilometer vanaf 10 kilometer
Uren per week: 36 (ploegendiensten ma-vrij, 3 vaste ploegen)
Soort dienstverband: tijdelijk met zicht op vast
Ploegentoeslag: tussen 138% en 210%. Dit betekent dat je uurloon kan oplopen tot €30 per uur!",https://media.glassdoor.com/sql/3061260/cts-techniek-squarelogo-1631868477945.png,Goor,€3K (Employer est.),CTS Techniek
