,skills,positions,about,degree
0,[],"['East Java Provincial Government, Indonesia', 'Program Arrangement']","12 years experience in civil works, especially in the river structures, watershed management, irrigation system, flooding, reservoir, and coastal problems. Started from planning, implementing, monitoring, supervising, and evaluating, both construction and consultancy projects. Also experienced in managing colaboration with academic institutions, international organizations and local communities.Currently joining Coasthazar programme held by European Union as Erasmus Mundus Joint Master Degree Scholar to pursue three diplomas in 3 universities : University of Cantabria - Spain, IHE Delft - Netherlands, and University of Algarve - Portugal.contact :email : annisaklaila@gmail.cominstagram : annisaklailawebsite : annisaklaila.com12 years experience in civil works, especially in the river structures, watershed management, irrigation system, flooding, reservoir, and coastal problems. Started from planning, implementing, monitoring, supervising, and evaluating, both construction and consultancy projects. Also experienced in managing colaboration with academic institutions, international organizations and local communities.

Currently joining Coasthazar programme held by European Union as Erasmus Mundus Joint Master Degree Scholar to pursue three diplomas in 3 universities : University of Cantabria - Spain, IHE Delft - Netherlands, and University of Algarve - Portugal.

contact :
email : annisaklaila@gmail.com
instagram : annisaklaila
website : annisaklaila.com

 
              ","['M.Sc in Coastal Hazard, Engineering', ""Master's degree, MSc. of Water and Sustainable Development""]"
1,"['Social Sciences', 'Analytical Skills', 'Research', 'Teaching', 'History', 'Literature', 'Report Writing', 'Publishing', 'Editing', 'Data Analysis', 'Policy Analysis', 'International Relations', 'Politics', 'Public Policy', 'Higher Education', 'Writing', 'Content Management', 'Content Strategy', 'Content Development', 'Social Media', 'Social Sciences', 'Research', 'Teaching', 'History', 'Literature', 'Report Writing', 'Publishing', 'Editing', 'Data Analysis', 'Policy Analysis', 'International Relations', 'Politics', 'Public Policy', 'Higher Education', 'Content Management', 'Content Strategy', 'Content Development', 'Social Media', 'Academic Advising', 'Quantitative Research', 'Analytical Skills', 'Writing', 'Creative Strategy', 'Analysing', 'Public Speaking', 'Problem Solving', 'Creative Problem Solving', 'Mentoring', 'Organization Skills', 'Communication', 'Problem solving', 'Leadership', 'English', 'CDD']","['UMC Utrecht', 'Coordinator for the History of Medicine and Biomedical Sciences MA course UMC/UU', 'Freelance Historical Researcher and Writer', 'Consultant Editor and Proofreader', 'Consultant Academic Tutor/Advisor']","Experienced academic researcher and writer with a demonstrated history of working in and outside of higher education. Accomplished published author in academic journals, books, and popular history. Strong education professional with a Doctor of Philosophy (Ph.D.) in History from Royal Holloway, University of London. Through my experience as a research and writing advisor I have gained wide-ranging knowledge in a number of different fields from Dentistry, Pharma, Psychology, Housing, Cyber Security, and Finance.  For the last two years, I have been working as a research and writing advisor for the Graduate School of Life Science at University Medical Center Utrecht. In this role, I supervise the capstone projects for the Life Science and Society Profile, co-coordinate and teach the Logical Argumentation in Science course, coordinate and teach the interdisciplinary History of Medicine course, in addition to advising Biomedical Education PhD students with their theses and publications.Experienced academic researcher and writer with a demonstrated history of working in and outside of higher education. Accomplished published author in academic journals, books, and popular history. Strong education professional with a Doctor of Philosophy (Ph.D.) in History from Royal Holloway, University of London. Through my experience as a research and writing advisor I have gained wide-ranging knowledge in a number of different fields from Dentistry, Pharma, Psychology, Housing, Cyber Security, and Finance.  For the last two years, I have been working as a research and writing advisor for the Graduate School of Life Science at University Medical Center Utrecht. In this role, I supervise the capstone projects for the Life Science and Society Profile, co-coordinate and teach the Logical Argumentation in Science course, coordinate and teach the interdisciplinary History of Medicine course, in addition to advising Biomedical Education PhD students with their theses and publications.

 
              ","['Doctor of Philosophy (Ph.D.), Medieval and Renaissance Studies', ""Master's degree, Medieval History""]"
2,"['Architectural Design', 'Adobe Photoshop', 'SketchUp', 'Urban Design', 'Sketching', 'CAD', 'Interior Architecture', 'Rendering', 'Concept Design', 'Sustainable Design', 'Design Research', '3D Visualization', 'AutoCAD', 'Adobe InDesign', 'Illustrator', 'Revit', 'Masterplanning', 'Architectural Details', 'Adobe Audition', 'Permit Drawings', 'Architectural Design', 'Urban Design', 'Sketching', 'CAD', 'Interior Architecture', 'Rendering', 'Concept Design', 'Sustainable Design', 'Design Research', '3D Visualization', 'Masterplanning', 'Architectural Details', 'Permit Drawings', 'Lumion', 'Visualization', 'Adobe Photoshop', 'SketchUp', 'AutoCAD', 'Adobe InDesign', 'Illustrator', 'Revit', 'Adobe Audition', 'V-Ray', 'Adobe Indesign CC']","['Design Architect', 'Design Architect', 'Intern', 'Intern', 'Intern']","I’m an architect with almost 12 years of experience gathered working in renowned architecture practices in the Netherlands, the United Kingdom, and Turkey. I have been currently working at TconcepT as a design architect for 6 years now and most recently I’ve been involved in masterplan projects, residential and retail-based large-scale projects located in Europe, Middle-East, and Russia.Committed, detail oriented and creative, I’m an architect interested in all aspects of master planning and architectural design. From the early strategic thinking to the technical design and the delivery of buildings on site, I have quite a diverse experience through different phases of a project, especially concept design, schematic design and also 3D visualization. When given ownership of a project, I swiftly outline a work plan, set key project deliverables, align my work to given budget and time, and move forward along with my team members to achieve the best results. Throughout my career, I’ve worked on a variety of international challenging large scale projects, with rewarding feedback from clients, superiors, and peers.In Istanbul, I was a part of over 10 large scale masterplan projects (varies from 100K to 420K sqm) and I coordinated the external engineering and consultant teams, focusing on the masterplan and façade design. I developed retail-based urban densification projects, providing new residential and office building on top of retail schemes to meet inner-city needed in Sheffield, London, Belfast, and Stockholm. I managed to produce more than 300 in-house renderings, meanwhile working on various mixed-use schemes not only in Den Haag, Rotterdam and, Amsterdam but in Dubai, Duqm, and Moscow.My vast understanding of diverse cultures in different countries, coupled with my strong capacity for design thinking and execution of it, internal and external communications, and project management, make me a great fit for your team.I’m an architect with almost 12 years of experience gathered working in renowned architecture practices in the Netherlands, the United Kingdom, and Turkey. I have been currently working at TconcepT as a design architect for 6 years now and most recently I’ve been involved in masterplan projects, residential and retail-based large-scale projects located in Europe, Middle-East, and Russia.

Committed, detail oriented and creative, I’m an architect interested in all aspects of master planning and architectural design. From the early strategic thinking to the technical design and the delivery of buildings on site, I have quite a diverse experience through different phases of a project, especially concept design, schematic design and also 3D visualization. 

When given ownership of a project, I swiftly outline a work plan, set key project deliverables, align my work to given budget and time, and move forward along with my team members to achieve the best results. Throughout my career, I’ve worked on a variety of international challenging large scale projects, with rewarding feedback from clients, superiors, and peers.

In Istanbul, I was a part of over 10 large scale masterplan projects (varies from 100K to 420K sqm) and I coordinated the external engineering and consultant teams, focusing on the masterplan and façade design. I developed retail-based urban densification projects, providing new residential and office building on top of retail schemes to meet inner-city needed in Sheffield, London, Belfast, and Stockholm. I managed to produce more than 300 in-house renderings, meanwhile working on various mixed-use schemes not only in Den Haag, Rotterdam and, Amsterdam but in Dubai, Duqm, and Moscow.

My vast understanding of diverse cultures in different countries, coupled with my strong capacity for design thinking and execution of it, internal and external communications, and project management, make me a great fit for your team.

 
              ","['Master of Architecture (M.Arch.), Architectural Design', 'Bachelor of Architecture (B.Arch.), Architecture']"
3,[],"['Radboudumc', 'PhD Candidate', 'Postdoctoral Researcher', 'Postdoctoral Researcher', 'Internship']",nan,"['Doctor of Philosophy - PhD, Biomedical Sciences', 'Doctor of Philosophy - PhD, Biomedical Sciences']"
4,"['Requirements Analysis', 'E-commerce', 'Business-to-Business (B2B)', 'Systems Analysis', 'Project Management', 'Product Management', 'Business Analysis', 'Agile Methodologies', 'Project management', 'product management', 'Business Process Mapping', 'Requirements Gathering', 'Hybris', 'Marketo', 'Salesforce Marketing Cloud', 'Marketing Automation', 'Email Deliverability', 'Salesforce CRM', 'B2B Punchout', 'Requirements Analysis', 'E-commerce', 'Business-to-Business (B2B)', 'Systems Analysis', 'Project Management', 'Product Management', 'Business Analysis', 'Agile Methodologies', 'Project management', 'product management', 'Business Process Mapping', 'Requirements Gathering', 'Marketing Automation', 'Email Deliverability', 'Hybris', 'Marketo', 'Salesforce Marketing Cloud']","['Global CRM and Social Technology Product Manager', 'Tata Consultancy Services', 'Consultant', 'Project Lead - Marketing Automation(Marketo) Implementation', 'Product Owner | Lead Business Analyst']","I am a highly motivated and result oriented IT consultant with more than 15 years of experience in project management, stake holder management, requirement elicitation & analysis, data & process mapping, solution design, development, testing and maintenance of solutions built-in digital technologies like Salesforce Marketing Cloud, SAP-Hybris Commerce, Marketo - Marketing Automation, etc.- Working as the Delivery Manager and Salesforce Marketing Cloud Solution Architect with Upfield since June 2020- Has worked as Marketing Automation(Marketo) and Marketing Technology consultant with Staples-Europe and as SAP-Hybris consultant for Fabory in the previous roles- Proven track record in playing customer-facing roles like Business Analyst , Project Manager and Product Owner in different geographies - the US , UK, and Netherlands- In-depth knowledge of Marketing Technology(MarTech), eCommerce and Retail business domains- Extensive working experience in Agile/Scrum development methodologies- Certified Salesforce Marketing Cloud Specialist- Certified Salesforce Marketing Cloud Admin- Certified Salesforce Marketing Cloud Consultant- Sun Certified Programmer for Java (SCJP 1.4)I am a highly motivated and result oriented IT consultant with more than 15 years of experience in project management, stake holder management, requirement elicitation & analysis, data & process mapping, solution design, development, testing and maintenance of solutions built-in digital technologies like Salesforce Marketing Cloud, SAP-Hybris Commerce, Marketo - Marketing Automation, etc.

- Working as the Delivery Manager and Salesforce Marketing Cloud Solution Architect with Upfield since June 2020
- Has worked as Marketing Automation(Marketo) and Marketing Technology consultant with Staples-Europe and as SAP-Hybris consultant for Fabory in the previous roles
- Proven track record in playing customer-facing roles like Business Analyst , Project Manager and Product Owner in different geographies - the US , UK, and Netherlands
- In-depth knowledge of Marketing Technology(MarTech), eCommerce and Retail business domains
- Extensive working experience in Agile/Scrum development methodologies
- Certified Salesforce Marketing Cloud Specialist
- Certified Salesforce Marketing Cloud Admin
- Certified Salesforce Marketing Cloud Consultant
- Sun Certified Programmer for Java (SCJP 1.4)

 
              ","['Engineer’s Degree, Computer Science']"
5,"['SEO-copywriting', 'Campagnestrategieën', 'Bedrijfsproces', 'Business planning', 'Duurzaamheid', 'Detailhandel', 'Overheid', 'Duurzame ontwikkeling', 'Omnichannel-marketing', 'Online retail', 'Content-strategie', 'Partnermanagement', 'E-commerce', 'E-commerce SEO', 'Contentmanagement', 'Contentmarketing', 'Marketingstrategie', 'Social Media', 'Strategic Communications', 'Management Consulting', 'SEO-copywriting', 'Campagnestrategieën', 'Bedrijfsproces', 'Business planning', 'Duurzaamheid', 'Detailhandel', 'Overheid', 'Duurzame ontwikkeling', 'Omnichannel-marketing', 'Online retail', 'Content-strategie', 'Partnermanagement', 'E-commerce', 'E-commerce SEO', 'Contentmanagement', 'Contentmarketing', 'Marketingstrategie', 'Social Media', 'Strategic Communications', 'Management Consulting']","['Content Coordinator', 'Entrepreneur at Gem Interior - E-commerce Specialist', 'MarCom Projectmanager & Marketer', 'Roadtrip / Worldtrip', 'Project- and Process manager ']","Passionate about the dynamic world of #content management, #events, #seo, #socialmedia, and #digitalmarketing, I'm driven by the passion for crafting impactful experiences and texts. With a knack for writing and organizing, I'm your go-to person for developing strategic campaigns, potent social media strategies, and efficient project execution. In 2021, my love for interior design led me on a new adventure, the start of the Gem Interior webshop. As the founder, I became fully immersed in shaping Gem Interior with exquisite gemstones and high-quality interior pieces. Ready to synergize ideas or explore opportunities? Feel free to connect with me at sharonhaans@gmail.com. Let's craft experiences together!Passionate about the dynamic world of #content management, #events, #seo, #socialmedia, and #digitalmarketing, I'm driven by the passion for crafting impactful experiences and texts. With a knack for writing and organizing, I'm your go-to person for developing strategic campaigns, potent social media strategies, and efficient project execution. 

In 2021, my love for interior design led me on a new adventure, the start of the Gem Interior webshop. As the founder, I became fully immersed in shaping Gem Interior with exquisite gemstones and high-quality interior pieces. 

Ready to synergize ideas or explore opportunities? Feel free to connect with me at sharonhaans@gmail.com. Let's craft experiences together!","['MSc, MSc Business Communication and Digital Media', 'Pre master, Communication and Information Sciences']"
6,"['Qualitative Research', 'Grant Administration', 'Partnership-building', 'women rights', 'Budget Management', 'Capacity Building', 'Human Rights', 'Climate Change', 'Project Coordination', 'Copywriting', 'Operations Research', 'Finance', 'Teamwork', 'Leadership', 'Business Decision Making', ""Travail d'équipe"", 'Microsoft Excel', 'Microsoft Office', 'Social Media', 'PowerPoint', 'Qualitative Research', 'Grant Administration', 'Partnership-building', 'Budget Management', 'Human Rights', 'Climate Change', 'Project Coordination', 'Copywriting', 'Operations Research', 'Finance', 'Business Decision Making', 'Social Media', 'Marketing', 'Project Management', 'Research', 'Customer Service', 'Social Media Marketing', 'Digital Marketing', 'Gender Mainstreaming', 'Gender Equality', 'Microsoft Excel', 'Microsoft Office', 'PowerPoint', 'Microsoft PowerPoint', 'Capacity Building', 'Teamwork', 'Leadership', ""Travail d'équipe"", 'Team Leadership', 'Strategic Planning', 'Team Management', 'Management']","['Program Officer, Feminist Crisis Response and Emerging Movements', 'Research Consultant', 'Coordinator (Consultant)', 'North Africa Program Officer ', 'FHI 360']","Siouar Douss aspires to lead and contribute to powerful, transformative, and intersectional development work that commits to gender justice, human rights and shifting power systems through global feminist movement building.Siouar is a gender and development practitioner, human rights defender, and feminist development professional. She holds an MA in Gender and Development from the Institute of Development Studies at the University of Sussex in the United Kingdom and is a Chevening Scholar. Siouar is dedicated to civil society movements, as she believes that civil society and development programming can be powerful agents of change, driving gender equality and enhancing social inclusion alongside governments and the private sector. In her career in development, she contributed to designing and implementing positive youth development programs, community resilience projects, and women’s rights and gender justice programming. Throughout her career, she supported human rights defenders, grassroots organizations, and the building of the feminist movement as part of her life purpose as an engaged feminist. Siouar is skilled in grant making, grant management, project management, communication, budgeting, research and monitoring and evaluation.Siouar Douss aspires to lead and contribute to powerful, transformative, and intersectional development work that commits to gender justice, human rights and shifting power systems through global feminist movement building.

Siouar is a gender and development practitioner, human rights defender, and feminist development professional. She holds an MA in Gender and Development from the Institute of Development Studies at the University of Sussex in the United Kingdom and is a Chevening Scholar. Siouar is dedicated to civil society movements, as she believes that civil society and development programming can be powerful agents of change, driving gender equality and enhancing social inclusion alongside governments and the private sector. In her career in development, she contributed to designing and implementing positive youth development programs, community resilience projects, and women’s rights and gender justice programming. Throughout her career, she supported human rights defenders, grassroots organizations, and the building of the feminist movement as part of her life purpose as an engaged feminist. Siouar is skilled in grant making, grant management, project management, communication, budgeting, research and monitoring and evaluation.","[""Master's degree, Gender and Development"", 'Bachelor of Business Administration (B.B.A.), Business Decision Making']"
7,"['R', 'SPSS', 'R', 'SPSS']","['PHD Candidate', 'Research assistant', 'Ambulantory carer', 'Radboud University', 'Research Assistant']",nan,"['Master of Science - MS, Klinische Ontwikkelingspsychologie/Clinical developmental psychology', 'Master of Science - MSc, Behavioural Science']"
8,"['Agile Coaching', 'Agile Leadership', 'Agile Methodologies', 'Strategic Consulting', 'Dutch', 'English', 'Organizational Development', 'Business Transition', 'Business Transformation', 'Project Management', 'Change Management', 'Management Consulting', 'Coaching', 'Team Building Facilitation', 'Project Planning', 'Service Management', 'Qualitative Research', 'ICT', 'Shared Services', 'Process Improvement', 'Agile Coaching', 'Agile Leadership', 'Agile Methodologies', 'Strategic Consulting', 'Organizational Development', 'Business Transition', 'Business Transformation', 'Project Management', 'Change Management', 'Management Consulting', 'Coaching', 'Team Building Facilitation', 'Project Planning', 'Service Management', 'Qualitative Research', 'ICT', 'Shared Services', 'Facilitation', 'Dutch', 'English']","['TOPdesk', 'Executive PhD student', 'Teamleader & SAP trainer', 'consultant', 'Assistent Assessor / Planner / Consultant']","As agile (transition) coach I am driven by the desire to show people that things can be different, better, and that work can be an environment in which you can thrive every day. I am my best possible self in a complex, challenging situation where I can work with under performing teams, departments and leadership teams to get them to a sustainable (high) performing state which they can maintain themselves in an agile way.  My success is making myself obsolete. My purpose in this is always two-folded: increase the impact of the individual and the value delivered by the entity they collaborate in. The agile mindset to me is a vehicle, not the destination. When a different framework works better; be agile about it. Strong experience in:Agile (transformation) coaching, project management and public speaking. Experience in (digital) transformation, strategic/transformation programs and managing complex transformations. Excellent interpersonal skills gained through working with multi-cultural teams and in multiple countries. As agile (transition) coach I am driven by the desire to show people that things can be different, better, and that work can be an environment in which you can thrive every day. I am my best possible self in a complex, challenging situation where I can work with under performing teams, departments and leadership teams to get them to a sustainable (high) performing state which they can maintain themselves in an agile way.  My success is making myself obsolete.  

My purpose in this is always two-folded: increase the impact of the individual and the value delivered by the entity they collaborate in. The agile mindset to me is a vehicle, not the destination. When a different framework works better; be agile about it.   

Strong experience in:
Agile (transformation) coaching, project management and public speaking. Experience in (digital) transformation, strategic/transformation programs and managing complex transformations. Excellent interpersonal skills gained through working with multi-cultural teams and in multiple countries. 

 
              ","['Master, Culture Organization and Management (Transnational Entrepreneurship)', 'Bachelor, Interdisciplinary Social Science (with a minor in Organizational Science)']"
9,"['Indigenous Rights', 'Indigenous Minorities', 'Democracy', 'Comparative Politics', 'Corruption', 'Ciencias políticas', 'Política', 'Relaciones internacionales', 'Español', 'Investigación y desarrollo', 'Políticas públicas', 'Derechos humanos', 'Investigación cualitativa', 'Political Science', 'International Relations', 'English', 'Spanish', 'Research', 'Qualitative Research', 'Ethnography', 'Indigenous Rights', 'Democracy', 'Comparative Politics', 'Ciencias políticas', 'Política', 'Relaciones internacionales', 'Investigación y desarrollo', 'Políticas públicas', 'Derechos humanos', 'Investigación cualitativa', 'Political Science', 'International Relations', 'Research', 'Qualitative Research', 'Ethnography', 'Interviews', 'NVivo', 'Zotero', 'Field Work', 'Remote Fieldwork', 'Microsoft Office', 'Español', 'English', 'Spanish']","['Assistant Professor in Race, Decoloniality and Intersectionality', 'University of Cambridge', 'Bye-Fellow in Human, Social and Political Sciences', 'Postdoctoral Research Officer', 'Fellow']",nan,"['Doctor of Philosophy - PhD, Sociology', 'Visiting Scholar at the Institute of Latin American Studies']"
