,skills,positions,about,degree
0,"['Scheduling Management', 'Espagnol', 'Français', 'Anglais', 'IBM SPSS', 'Scheduling Management', 'IBM SPSS', 'Espagnol', 'Français', 'Anglais']","['Product Analyst', 'Adyen']",nan,"[""Master's degree, Business Administration - Leadership and management"", 'Bachelor of Business Administration - BBA, Business Administration and Management, General']"
1,"['Statistical Modeling', 'Strategic Communications', 'PySpark', 'SEO', 'A/B Testing', 'Keyword Research', 'Problem Solving', 'Analytical Skills', 'SQL', 'Qualitative Research', 'Computer Vision', 'Data Visualization', 'Data Engineering', 'Deep Learning', 'Information Retrieval', 'Time Series Forecasting', 'Machine Learning', 'Scientific Writing', 'Project Management', 'IBM SPSS', 'Statistical Modeling', 'Strategic Communications', 'SEO', 'A/B Testing', 'Keyword Research', 'Qualitative Research', 'Computer Vision', 'Data Visualization', 'Data Engineering', 'Deep Learning', 'Information Retrieval', 'Machine Learning', 'Scientific Writing', 'Project Management', 'Mobile Advertising', 'Quantitative Research', 'App Store Optimization', 'Advertising Campaigns', 'PySpark', 'SQL', 'IBM SPSS', 'R (Programming Language)', 'Python (Programming Language)', 'Problem Solving', 'Analytical Skills', 'English', 'Vietnamese', 'Time Series Forecasting']","['Mobile Marketing Intern, Mobile App']",nan,"['Master of Science - MS, Information Studies - Data Science', 'Minor, Applied Data Science']"
2,"['Strategie', 'Tekstbewerking', 'Contact met de klant', 'Communicatief sterk', 'Sterk analytisch denkvermogen', 'Proactieve werkhouding', 'Teamplayer', 'Zelfstandig sterk', 'Tekstbewerking', 'Contact met de klant', 'Strategie', 'Communicatief sterk', 'Teamplayer']","['Mobility Concept B.V.', 'Publieksmedewerker bij Kindertheater de Krakeling', 'Intern Assistant Director and Assistant Producer', 'Volunteer - Location manager + host', 'Tutor in French, English and Dutch language']",nan,"['Bachelor of Arts, Literary and Cultural Analysis', 'Bachelor of Arts , French Language and Culture']"
3,"['European Union', 'International Development', 'Project Management', 'Corporate Social Responsibility', 'Research', 'International Relations', 'Public Policy', 'International Business', 'Policy Analysis', 'Human Rights', 'Public Relations', 'Social Media', 'Relaciones internacionales', 'Derechos humanos', 'Cooperación internacional', 'Gestión de proyectos', 'Responsabilidad social corporativa', 'Planificación estratégica', 'Desarrollo sostenible', 'Strategic Planning', 'European Union', 'International Development', 'Project Management', 'Corporate Social Responsibility', 'Research', 'International Relations', 'Public Policy', 'International Business', 'Policy Analysis', 'Human Rights', 'Public Relations', 'Social Media', 'Data Analysis', 'Social Studies', 'Social Sciences', 'Sustainable Development', 'Change Management', 'Climate Change', 'Sustainability', 'Project Planning', 'Microsoft Office', 'Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Project', 'Tableau', 'Microsoft Word', 'Strategic Planning', 'Management', 'Public Speaking', 'Leadership', 'Teamwork', 'Strategy', 'English', 'Spanish', 'French']","['UvA', 'Auditoría Ambiental', 'Universidad Sergio Arboleda', 'Fundacion Leo Espinosa', 'Assistant of the Vice-president']","I currently work as Program Coordinator for the Bachelor Political Science at the University of Amsterdam and as a board member for the Expertise Centre Humanitarian Communication in the Netherlands. In the past years, I have been involved in the management, design and implementation of educational, social and environmental projects from private consultancy and from the not-for-profit sectors in the Netherlands, Colombia and in the US. In the different projects I've worked on I have acquired field, research and managerial skills, while also being involved in academia as a lecturer for Fundraising and Project formulation, and later as part of the advisory team for International Development Studies at the UvA.My main areas of expertise are international development cooperation, international education, corporate social responsibility consultancy, indigenous and farmer community management, and project formulation. I graduated from the Master in International Development Studies from the University of Amsterdam in the Netherlands, and from a Bachelor with honors in International Relations from the Universidad del Rosario in Colombia.I currently work as Program Coordinator for the Bachelor Political Science at the University of Amsterdam and as a board member for the Expertise Centre Humanitarian Communication in the Netherlands. In the past years, I have been involved in the management, design and implementation of educational, social and environmental projects from private consultancy and from the not-for-profit sectors in the Netherlands, Colombia and in the US. In the different projects I've worked on I have acquired field, research and managerial skills, while also being involved in academia as a lecturer for Fundraising and Project formulation, and later as part of the advisory team for International Development Studies at the UvA.

My main areas of expertise are international development cooperation, international education, corporate social responsibility consultancy, indigenous and farmer community management, and project formulation. I graduated from the Master in International Development Studies from the University of Amsterdam in the Netherlands, and from a Bachelor with honors in International Relations from the Universidad del Rosario in Colombia.

 
              ","['Master in International Development Studies, International Cooperation and Development', 'Professional in International Relations, International Relations and Political Sciences']"
4,"['Planification d’événements marketing', 'Email marketing', 'Stratégie marketing', 'Marketing digital', 'Gestion de la relation avec les parties prenantes', 'Organisation d’événements', 'Gestion de projet', 'Communication', 'Management', 'Langues étrangères', 'Marketing', 'International Trade', 'Ressources humaines', 'Foreign Languages', 'Étude de marché', 'SEO', 'Marketing affilié', 'Account management', 'Microsoft Office', 'Microsoft Word', 'Planification d’événements marketing', 'Email marketing', 'Stratégie marketing', 'Marketing digital', 'Gestion de la relation avec les parties prenantes', 'Organisation d’événements', 'Gestion de projet', 'Langues étrangères', 'Marketing', 'International Trade', 'Ressources humaines', 'Foreign Languages', 'Étude de marché', 'SEO', 'Marketing affilié', 'Account management', 'Communication interculturelle', 'Formation des salariés', 'Sony Vegas', 'editing Software', 'Microsoft Office', 'Microsoft Word', 'Microsoft PowerPoint', 'Microsoft Excel', 'Microsoft Outlook', 'WordPress', 'HTML5', 'Google Analytics', 'Google Adwords', 'Sendgrid', 'Communication', 'Management', 'Parler en public', 'communication', 'Négociations', 'French', 'English', 'Spanish', 'Anglais']","['Stryker', 'Saleduck - Europe - Deal Community', 'Junior Marketing - PR / Social media / Marketing ', 'Project Coordinator', 'Event coordinator']","Life is a learning process... Develop, improve, surpass 💡🚀 Life is a learning process... Develop, improve, surpass 💡🚀","[""Master's degree , International Business Relations"", ""Bachelor's degree, Exchange student - Business and Romance Philology ""]"
5,"['Producción técnica', 'Estrategia de marketing', 'Desarrollo profesional', 'Capacidad de análisis', 'Estrategias creativas', 'Trabajo en equipo', 'Habilidades sociales', 'Espíritu empresarial', 'Visual Storytelling', 'Adobe Photoshop', 'Medios digitales', 'Resolución de problemas', 'Medios sociales', 'Producción técnica', 'Estrategia de marketing', 'Desarrollo profesional', 'Espíritu empresarial', 'Visual Storytelling', 'Medios digitales', 'Medios sociales', 'Adobe Photoshop', 'Capacidad de análisis', 'Estrategias creativas', 'Trabajo en equipo', 'Habilidades sociales', 'Resolución de problemas']","['Production assistant', 'Marketing Intern', 'Merchandise Intern', 'Hogeschool van Amsterdam | Amsterdam University of Applied Sciences', 'Cofundador']","Hello! My name is Tess Provenzal. I am ambitious, focused, creative and passionate girl with relevant working experience. Able to balance multiple tasks and not afraid to take decisions. Ready for development, progression and new adventures!Hello! 

My name is Tess Provenzal. I am ambitious, focused, creative and passionate girl with relevant working experience. Able to balance multiple tasks and not afraid to take decisions. Ready for development, progression and new adventures!","[""Bachelor's degree, International Sport Management & Business (ISMB)"", 'Minor, Visual Storytelling']"
6,"['Corporate Law', 'Mergers & Acquisitions', 'Company Law', 'Contract Law', 'Corporate Governance', 'Competition Law', 'Merger Control', 'Cartels', 'Regulatory Compliance', 'Data Protection', 'Corporate Law', 'Mergers & Acquisitions', 'Company Law', 'Contract Law', 'Corporate Governance', 'Competition Law', 'Merger Control', 'Regulatory Compliance', 'Data Protection', 'Cartels']","['Google', 'Hogan Lovells', 'Associate / Dutch Lawyer (advocaat)', 'Legal Practice Intern', 'Legal Research Intern']",My current practice covers all legal aspects related to cloud services.My current practice covers all legal aspects related to cloud services.,"['Legal Professional Training Certificate, Dutch Law and International Commercial Law (contract, corporate, tax, securities law)', ""Master's Degree, European Law School (European and Dutch Law)""]"
7,"['Presentations', 'Teamwork', 'Project Management', 'Financial Analysis', 'Financial Accounting', 'Budgeting', 'Business Strategy', 'Sales', 'Account Management', 'Video Editing', 'Photography', 'Filming', 'SAP ERP', 'SPSS', 'Microsoft Excel', 'Microsoft Word', 'Tutoring', 'Negotiation', 'Dutch', 'English', 'Presentations', 'Project Management', 'Financial Analysis', 'Financial Accounting', 'Budgeting', 'Business Strategy', 'Sales', 'Account Management', 'Video Editing', 'Photography', 'Filming', 'Tutoring', 'Musical Instruments', 'KPI Implementation', 'Face to Face Sales', 'International Financial Reporting Standards (IFRS)', 'Visma', 'SAP ERP', 'SPSS', 'Microsoft Excel', 'Microsoft Word', 'DaVinci Resolve', 'Teamwork', 'Negotiation', 'Dutch', 'English', 'Turkish']","['University of Amsterdam', 'Erasmus Student Network', 'Erasmus Student Network The Netherlands', 'ESN Amsterdam - Erasmus Student Network', 'Student Researcher/Consultant']","Hello friendly visitor!  Welcome to my LinkedIn page! You must either be bored or a recruiter, so let me tell you a bit about myself!Currently, I'm working at the University of Amsterdam in the student services department as part of the housing team and the introduction weeks team. Aside from this I have a MSc degree in Accountancy and Control, and also spend my time volunteering for international students at Erasmus Student Network (ESN), where I support/give advice to national ESN organizations and facilitate discussions in the business and finance field. Finally, I also of course invest my time in fun hobbies such as Photography, Video-Editing, Videogames, and playing the saz!If this piece of text didn't give you a clear picture of me yet, then you can find my relevant (financial)experience below. And remember feel free to message me anytime!-BoraHello friendly visitor!  Welcome to my LinkedIn page! You must either be bored or a recruiter, so let me tell you a bit about myself!

Currently, I'm working at the University of Amsterdam in the student services department as part of the housing team and the introduction weeks team. Aside from this I have a MSc degree in Accountancy and Control, and also spend my time volunteering for international students at Erasmus Student Network (ESN), where I support/give advice to national ESN organizations and facilitate discussions in the business and finance field. Finally, I also of course invest my time in fun hobbies such as Photography, Video-Editing, Videogames, and playing the saz!

If this piece of text didn't give you a clear picture of me yet, then you can find my relevant (financial)experience below. And remember feel free to message me anytime!

-Bora

 
              ","['Master of Science - MS, Accountancy and Control', 'Bachelor of Business Administration (BBA), International Finance and Control (Cum Laude)']"
8,"['Cross-cultural Teams', 'Family Business', 'Proactive', 'Adaptation', 'Flexible Schedule', 'Employee Management', 'Innovation Management', 'Creativity Skills', 'Illustration', 'Management', 'Microsoft Word', 'Leadership', 'PowerPoint', 'Public Speaking', 'Project Management', 'Communication', 'Research', 'Marketing', 'Social Media', 'Procreate App', 'Cross-cultural Teams', 'Family Business', 'Adaptation', 'Flexible Schedule', 'Employee Management', 'Innovation Management', 'Illustration', 'Project Management', 'Research', 'Marketing', 'Social Media', 'Audio Editing', 'Video Editing', 'International Business', 'Strategic Management', 'Digital Journalism', 'Digital Marketing', 'Project Leadership', 'Key Account Management', 'Microsoft Word', 'PowerPoint', 'Procreate App', 'Canva', 'Final Cut Pro', 'Creativity Skills', 'Management', 'Leadership', 'Public Speaking', 'Communication', 'Writing', 'Strategy', 'Teamwork', 'Problem Solving', 'Analytical Skills', 'Attention to Detail']","['Employer Branding', 'Business Development & Marketing Manager', 'Founder, Business, Marketing Specialist & Artist', 'Manager of Documentation - Communication and Information Division', 'Staff of Entrepreneurship Department']","An always learner, Fildzah has several experiences in marketing and business management roles. Coming from a diverse background and exposure throughout her life journey, she likes the international ambience with teamwork. She's currently enrolled in the prestigious University of Amsterdam and representing her cohort as a Track Representative for the program. Throughout the records, skills in communication, leadership, entrepreneurial, critical, analytical and detail-oriented were used. She favors activities that relate to marketing, strategy, business (management, ideation/creation, development), innovation and alike. Fildzah also illustrates in her spare time, gaining art as one of her main self-foundation self traits. One of the achievements is winning #1 for Greeting Card Design competition nation-wide with international expert judges for PMI (Indonesia Red Cross). Other interests include entrepreneurship/startup, language, culture, history, international relation & diplomacy, and many more, with strong focus on Japan, Asia-Pacific and Europe. Solo projects that she has initiated include clothing brand/fashion, media/journalism, SME/local culinary, art commission, etc. – as creativity is one of her strengths. Her long-term vision is to be a (positively) impactful figure toward the world.An always learner, Fildzah has several experiences in marketing and business management roles. Coming from a diverse background and exposure throughout her life journey, she likes the international ambience with teamwork. She's currently enrolled in the prestigious University of Amsterdam and representing her cohort as a Track Representative for the program. Throughout the records, skills in communication, leadership, entrepreneurial, critical, analytical and detail-oriented were used. She favors activities that relate to marketing, strategy, business (management, ideation/creation, development), innovation and alike. 

Fildzah also illustrates in her spare time, gaining art as one of her main self-foundation self traits. One of the achievements is winning #1 for Greeting Card Design competition nation-wide with international expert judges for PMI (Indonesia Red Cross). Other interests include entrepreneurship/startup, language, culture, history, international relation & diplomacy, and many more, with strong focus on Japan, Asia-Pacific and Europe. Solo projects that she has initiated include clothing brand/fashion, media/journalism, SME/local culinary, art commission, etc. – as creativity is one of her strengths. Her long-term vision is to be a (positively) impactful figure toward the world.","['Master of Science - MS, Business Administration', 'Disruptive Strategy with Clayton Christensen, Strategy; Entrepreneurship & Innovation']"
9,"['Teacher Mentoring', 'Tutoring', 'Salesforce', 'SQL', 'Python (Programming Language)', 'Analytisch denkvermogen', 'Engels', 'Teacher Mentoring', 'Tutoring', 'Salesforce', 'SQL', 'Python (Programming Language)', 'Analytisch denkvermogen', 'Engels']","['Teaching Assistant', 'Working Student Digital Engineering & Mobile', 'Teaching Assistant', 'Shop employee Van Gogh museum', 'Shop employee']","I am Lieve, a motivated and optimistic Artificial Intelligence Honours student at the Vrije Universiteit Amsterdam. I am always looking to improve my skills and expand beyond what I currently know. I am particularly interested in the internet of things, design and app development.I am Lieve, a motivated and optimistic Artificial Intelligence Honours student at the Vrije Universiteit Amsterdam. I am always looking to improve my skills and expand beyond what I currently know. I am particularly interested in the internet of things, design and app development.","[""Bachelor's degree with Honours, Artificial intelligence""]"
