,hard_skills
0,"['Analytisch', 'Onderzoeksvaardigheden', 'Kritisch', 'Statistische', 'Communicatievaardigheden', 'Probleemoplossend', 'Onderhandelingsvaardigheden', 'Projectmanagementvaardigheden']"
1,"['Wiskundige', 'Analytische', 'Programmeervaardigheden', 'Financiële', 'Communicatieve', 'Probleemoplossende', 'Onderzoeksvaardigheden']"
2,"['Wiskundige', 'Analytische', 'Programmeren', 'Probleemoplossend', 'Communicatieve', 'Financiële', 'Risicobeheer']"
3,"['Dierlijke', 'Voeding', 'Fokkerij', 'Diergezondheid', 'Diergedrag', 'Dierlijke', 'Dierlijke']"
4,"['Financieel', 'Marketingstrategieën', 'Operationeel', 'Bedrijfsanalyse', 'Projectmanagement', 'Onderhandelingsvaardigheden', 'Personeelsbeheer', 'Supply', 'Data-analyse', 'Ondernemerschap']"
5,"['Onderzoeksvaardigheden', 'Analytische', 'Projectmanagementvaardigheden', 'Communicatieve', 'Presentatievaardigheden', 'Marketingvaardigheden', 'Financië']"
6,"['Klantenservice', 'Communicatievaardigheden', 'Organisatorische', 'Probleemoplossing', 'Onderzoeksvaardigheden', 'Marketingvaardigheden', 'Taalvaardigheden']"
7,"['Analytisch', 'Financiële', 'Marktonderzoek', 'Statistische', 'Projectmanagement', 'Onderhandelingsvaardigheden', 'Presentatievaardigheden', 'Communicatieve']"
8,"['Financiële', 'Boekhouding', 'Statistiek', 'Economie', 'Bedrijfsfinanciering', 'Marketing']"
9,"['Financieel', 'Strategisch', 'Marketing', 'Operations', 'Human', 'Projectmanagement', 'Onderhandelingsvaardigheden']"
10,"['Analytisch', 'Financieel', 'Projectmanagement', 'Onderhandelingsvaardigheden', 'Strategisch', 'Leiderschap', 'Marketingvaardigheden', 'Communicatieve', 'Ondernemerschap']"
11,"['Financieel', 'Marketing', 'Operationeel', 'Strategisch', 'Human', 'Ondernemerschap']"
12,"['Financieel', 'Strategisch', 'Marketingvaardigheden', 'Organisatorische', 'Onderhandelingsvaardigheden', 'Leiderschapsvaardigheden']"
13,"['Analytisch', 'Onderzoeksvaardigheden', 'Projectmanagement', 'Statistische', 'Financiële', 'Organisatorische', 'Communicatievaardigheden', 'Leiderschapsvaardigheden', 'Verandermanagement']"
14,"['Analytisch', 'Onderzoeksvaardigheden', 'Schriftelijke', 'Mondelinge', 'Probleemoplossend', 'Leiderschap', 'Projectmanagement']"
15,"['Analytisch', 'Onderzoeksvaardigheden', 'Statistische', 'Financiële', 'Projectmanagementvaardigheden', 'Juridische', 'Beleidsanalyse']"
16,"['Analytisch', 'Onderzoeksvaardigheden', 'Beleidsanalyse', 'Statistische', 'Projectmanagement', 'Financiële', 'Juridische', 'Communicatievaardigheden']"
17,"['Wiskundige', 'Statistische', 'Programmeervaardigheden', 'Analytische', 'Onderzoeksvaardigheden', 'Probleemoplossende']"
18,"['Technisch', 'Constructieberekeningen', 'Bouwmaterialen', 'Bouwregelgeving', 'Projectmanagement', 'Duurzaam']"
19,"['Financieel', 'Marketing', 'Bedrijfsanalyse', 'Leiderschap', 'Onderhandeling', 'Projectmanagement']"
20,"['Financieel', 'Marketingstrategieën', 'Projectmanagement', 'Onderhandelingsvaardigheden', 'Gegevensanalyse', 'Operationeel', 'Human', 'Bedrijfsethiek', 'Organisatorische', 'Risicobeheer']"
21,"['Data-analyse', 'Statistiek', 'Programmeren', 'Data', 'Machine', 'Databasebeheer', 'Data']"
22,"['Programmeer-', 'Databasebeheer', 'Netwerkbeheer', 'Systeemanalyse', 'Projectmanagement', 'Business']"
23,"['Schriftelijke', 'Mondelinge', 'Onderzoeksvaardigheden', 'Kritisch', 'Interpersoonlijke', 'Cross-culturele', 'Medi']"
24,"['Juridisch', 'Contractonderhandeling', 'Bedrijfsanalyse', 'Risicobeheer', 'Projectmanagement', 'Onderhandelingsvaardigheden']"
25,"['Statistische', 'Data-analyse', 'Programmeervaardigheden', 'Econometrische', 'Tijdreeksanalyse', 'Experimenteel', 'Financiële']"
26,"['Data', 'Programming', 'Mathematical', 'Econometric', 'Economic', 'Statistical', 'Time', 'Microeconomics', 'Macroeconomics', 'Financial']"
27,"['Statistische', 'Programmeervaardigheden', 'Data', 'Machine', 'Time', 'Experimenteel', 'Optimalisatie']"
28,"['Statistische', 'Econometrische', 'Gegevensverzameling', 'Economische', 'Wiskundige', 'Programmeervaardigheden', 'Hypothesetesten', 'Tijdreeksanalyse', 'Paneldata-analyse', 'Multivariate']"
29,"['Statistische', 'Wiskundige', 'Programmeervaardigheden', 'Optimalisatie', 'Econometrische', 'Data', 'Time']"
30,"['Statistische', 'Wiskundige', 'Programmeervaardigheden', 'Data', 'Optimalisatie', 'Time', 'Experimenteel']"
31,"['Statistische', 'Wiskundige', 'Programmeervaardigheden', 'Data', 'Optimalisatie', 'Econometrische', 'Operations']"
32,"['Statistische', 'Wiskundige', 'Programmeervaardigheden', 'Data-analyse', 'Optimalisatie', 'Econometrische', 'Time']"
33,"['Statistische', 'Wiskundige', 'Programmeervaardigheden', 'Data-analyse', 'Econometrische', 'Operationeel', 'Financiële']"
34,"['Analytisch', 'Wiskundige', 'Probleemoplossend', 'Kritisch', 'Onderzoeksvaardigheden', 'Communicatieve', 'IT-vaardigheden']"
35,"['Data', 'Financial', 'Statistical', 'Economic', 'Market', 'Business', 'Financial', 'Risk', 'Project', 'Presentation']"
36,"['Data', 'Financial', 'Econometric', 'Market', 'Business', 'Financial', 'Microeconomics', 'International', 'Business', 'Problem-solving']"
37,"['Data', 'Financial', 'Econometric', 'Microeconomic', 'Macroeconomic', 'Business', 'Market', 'International', 'Financial', 'Business']"
38,"['Financiële', 'Boekhoudkundige', 'Statistische', 'Economisch', 'Marktonderzoek', 'Projectmanagement', 'Ondernemingsstrategie', 'Risicobeheer', 'Budgettering', 'Data-analyse']"
39,"['Financiële', 'Boekhouding', 'Statistische', 'Economische', 'Bedrijfsfinanciering', 'Risicobeheer', 'Markt-', 'Strategische', 'Kostenbeheersing', 'Projectmanagement']"
40,"['Financiële', 'Bedrijfsplanning', 'Boekhouding', 'Marktanalyse', 'Statistische', 'Risicobeheer']"
41,"['Financiële', 'Boekhouding', 'Economische', 'Statistische', 'Bedrijfsstrategie', 'Risicobeheer']"
42,"['Financiële', 'Budgettering', 'Data-analyse', 'Bedrijfsplanning', 'Kostenbeheersing', 'Risk', 'Marketingonderzoek', 'Projectmanagement', 'Ondernemerschap', 'Bedrijfsrecht']"
43,"['Financiële', 'Budgettering', 'Data-analyse', 'Risicobeheer', 'Ondernemerschap', 'Projectmanagement']"
44,"['Analytisch', 'Statistische', 'Economisch', 'Financiële', 'Onderzoeksvaardigheden', 'Presentatievaardigheden']"
45,"['Ondernemerschap', 'Creatief', 'Strategisch', 'Risicobeheer', 'Financieel', 'Marketingvaardigheden', 'Leiderschap']"
46,"['Talenkennis', 'Onderzoeksvaardigheden', 'Analytisch', 'Interdisciplinaire', 'Projectmanagement', 'Communicatieve', 'Presentatievaardigheden']"
47,"['Taalvaardigheid', 'Onderzoeksvaardigheden', 'Analytische', 'Schrijfvaardigheid', 'Presentatievaardigheden', 'Interpersoonlijke', 'Kritisch']"
48,"['Taalvaardigheid', 'Onderzoeksvaardigheden', 'Analytische', 'Interdisciplinaire', 'Communicatieve', 'Culturele']"
49,"['Grondige', 'Analytisch', 'Vaardigheid', 'Vermogen', 'Goede', 'Bekwaamheid', 'Vaardigheid', 'Kennis', 'Vermogen', 'Bekwaamheid']"
50,"['Kennis', 'Analytisch', 'Vaardigheid', 'Vermogen', 'Onderzoeksvaardigheden', 'Schriftelijke', 'Mondelinge', 'Kritisch', 'Probleemoplossende', 'Organisatorische']"
51,"['Kennis', 'Analytisch', 'Probleemoplossend', 'Juridisch', 'Onderzoeksvaardigheden', 'Schriftelijke', 'Mondelinge', 'Kritisch', 'Zelfstandig', 'Teamwork']"
52,"['Kennis', 'Analytisch', 'Financiële', 'Vaardigheid', 'Bekwaamheid', 'Onderzoeksvaardigheden', 'Effectieve', 'Probleemoplossend', 'Vermogen', 'Teamwork']"
53,"['Kennis', 'Analytische', 'Vaardigheid', 'Vermogen', 'Bekwaamheid', 'Goede', 'Vaardigheid', 'Vermogen', 'Bekwaamheid', 'Uitstekende']"
54,"['Kennis', 'Vaardigheid', 'Bekwaamheid', 'Vermogen', 'Goede', 'Uitstekende', 'Vaardigheid', 'Bekwaamheid', 'Vermogen', 'Goede']"
55,"['Kennis', 'Analytisch', 'Probleemoplossend', 'Vaardigheid', 'Goede', 'Onderzoeksvaardigheden', 'Communicatieve', 'Juridische', 'Vaardigheid', 'Vermogen']"
56,"['Klimaatmodellering', 'Geografische', 'Duurzaamheidsbeoordeling', 'Milieubeleid', 'Risicobeoordeling']"
57,"['Ruimtelijk', 'Cartografie', 'GIS', 'Statistische', 'Milieubeoordeling', 'Ruimtelijke', 'Duurzaamheidsanalyse']"
58,"['Onderzoeksmethoden', 'Statistische', 'Epidemiologie', 'Gezondheidsbevordering', 'Gezondheidsbeleid', 'Gezondheidscommunicatie']"
59,"['3D-modellering', 'Productontwerp', 'Technisch', 'Materiaalkennis', 'Ergonomie', 'Prototyping', 'Grafisch', 'Kleurtheorie', 'Productieprocessen', 'Duurzaam']"
60,"['Technisch', 'Prototyping', 'Materialenkennis', 'Ergonomie', 'Onderzoeksmethoden', '3D-modellering', 'Projectmanagement', 'Innovatie', 'Marketing', 'Communicatie-']"
61,"['Technische', 'Procesoptimalisatie', 'Kwaliteitsbeheer', 'Supply', 'Projectmanagement', 'Data-analyse']"
62,"['Procesoptimalisatie', 'Kwaliteitsmanagement', 'Supply', 'Projectmanagement', 'Data-analyse', 'Lean']"
63,"['Programmeren', 'Databasebeheer', 'Webontwikkeling', 'Data-analyse', 'Systeem-', 'Informatiebeveiliging']"
64,"['Wiskundige', 'Statistische', 'Programmeervaardigheden', 'Analytische', 'Probleemoplossende', 'Communicatieve', 'Teamwork']"
65,"['Analytisch', 'Kwantitatieve', 'Financieel', 'Onderzoeksvaardigheden', 'Presentatievaardigheden', 'Communicatieve', 'Teamwork']"
66,"['Vloeiend', 'Sterke', 'Uitstekende', 'Financiële', 'Probleemoplossende', 'Leiderschapsvaardigheden', 'Sterke', 'Projectmanagementvaardigheden', 'Onderzoeksvaardigheden']"
67,"['Vloeiend', 'Sterke', 'Uitstekende', 'Analytisch', 'Goed', 'Kennis', 'Vermogen', 'Sterke', 'Goed', 'Projectmanagementvaardigheden']"
68,"['Analytisch', 'Financieel', 'Projectmanagement', 'Onderhandelingsvaardigheden', 'Communicatievaardigheden', 'Leiderschap', 'Cross-culturele']"
69,"['Financiële', 'Strategisch', 'Onderhandelingsvaardigheden', 'Projectmanagement', 'Marktonderzoek', 'Cross-culturele', 'Supply', 'Internationale', 'Data-analyse', 'Ondernemerschap']"
70,"['Financiële', 'Strategisch', 'Marktanalyse', 'Onderhandelingsvaardigheden', 'Projectmanagement', 'Cross-culturele', 'Supply']"
71,"['Financieel', 'Marketing', 'Onderhandelen', 'Projectmanagement', 'Internationale', 'Ondernemerschap']"
72,"['Taalvaardigheid', 'Onderzoeksvaardigheden', 'Kritisch', 'Interpersoonlijke', 'Teamwork', 'Probleemoplossend']"
73,"['Onderzoeksvaardigheden', 'Analytische', 'Communicatieve', 'Onderhandelingsvaardigheden', 'Leiderschapsvaardigheden', 'Projectmanagementvaardigheden']"
74,"['Juridisch', 'Juridisch', 'Argumentatie', 'Analytisch', 'Probleemoplossing']"
75,"['Onderzoeksvaardigheden', 'Analytisch', 'Schrijfvaardigheid', 'Presentatievaardigheden', 'Data-analyse', 'Interculturele', 'Probleemoploss']"
76,"['Kritisch', 'Communicatievaardigheden', 'Onderzoeksvaardigheden', 'Probleemoplossend', 'Creatief', 'Samenwerken', 'Leiderschapsvaardigheden', 'Organisatorische', 'Data-analyse', 'Presentatieva']"
77,"['Communicatievaardigheden', 'Onderzoeksvaardigheden', 'Kritisch', 'Probleemoplossend', 'Creativiteit', 'Samenwerking']"
78,"['Academisch', 'Onderzoeksmethoden', 'Statistische', 'Kritisch', 'Probleemoplossing', 'Communicatievaardigheden', 'Leiderschap']"
79,"['Kritisch', 'Schrijfvaardigheid', 'Onderzoeksvaardigheden', 'Analytisch', 'Presentatievaardigheden', 'Probleemoplossend', 'Onderhandelingsvaardigheden']"
80,"['Kritisch', 'Schriftelijke', 'Mondelinge', 'Onderzoeksvaardigheden', 'Kritische', 'Probleemoplossend', 'Teamwork', 'Leiderschap']"
81,"['Kritisch', 'Probleemoplossend', 'Onderzoeksvaardigheden', 'Schrijfvaardigheid', 'Presentatievaardigheden', 'Communicatieve', 'Samenwerking']"
82,"['Onderzoeksvaardigheden', 'Schrijfvaardigheid', 'Presentatievaardigheden', 'Kritisch', 'Probleemoplossend', 'Statistische', 'Taalvaardigheid', 'Interdiscipl']"
