,functions
0,"['Duurzaamheidsadviseur', 'Milieueconoom', 'Duurzaamheidsmanager', 'Milieuanalist', 'Klimaatstrateeg', 'Energieadviseur']"
1,"['Actuaris', 'Risk', 'Verzekeringsanalist', 'Pensioenconsultant', 'Data']"
2,"['Actuaris', 'Risk', 'Data', 'Financieel', 'Beleggingsanalist', 'Pensioenconsultant', 'Verzekeringsanalist']"
3,"['Dierenarts', 'Dierenfysioloog', 'Voedingsdeskundige', 'Fokker', 'Onderzoeker', 'Dierenwelzijnsspecialist', 'Dierenproductiespecialist']"
4,"['Accountmanager', 'Financieel', 'Human', 'Marketingcoördinator', 'Operations', 'Projectmanager', 'Business']"
5,"['Recreatieprogramma', 'Evenementenmanager', 'Recreatieparkbeheerder', 'Toerisme-adviseur', 'Sportschoolmanager', 'Recreatieprogramma-ontwikkelaar', 'Jeugdwer']"
6,"['Toerisme-', 'Eventmanager', 'Hotelmanager', 'Toerismemarketingmanager', 'Reisbureaumanager', 'Toerismecoördinator']"
7,"['Marketingmanager', 'Business', 'Consumentenonderzoeker', 'Productmanager', 'Supply', 'Financieel']"
8,"['Financieel', 'Business', 'Accountant', 'Financieel', 'Risk', 'Data-analist', 'Supply']"
9,"['Management', 'Financieel', 'Marketingmanager', 'Human', 'Operations', 'Projectmanager', 'Business']"
10,"['Management', 'Financieel', 'Marketingmanager', 'Human', 'Operations', 'Sales', 'Supply']"
11,"['Management', 'Financieel', 'Marketingmanager', 'Human', 'Projectmanager', 'Operations', 'Business', 'Accountmanager', 'Supply']"
12,"['Business', 'Financieel', 'Marketingmanager', 'Human', 'Operations', 'Projectmanager', 'Strategisch']"
13,"['Organisatieadviseur', 'HR-manager', 'Beleidsadviseur', 'Projectmanager', 'Verandermanager', 'Organisatieontw']"
14,"['Beleidsadviseur', 'Projectmanager', 'Beleidsmedewerker', 'Consultant', 'Onderzoeker', 'Beleidscoördinator', 'Procesmanager']"
15,"['Beleidsmedewerker', 'Adviseur', 'Projectleider', 'Beleidsanalist', 'Manager', 'Beleidscoördinator']"
16,"['Beleidsadviseur', 'Projectmanager', 'Beleidsmedewerker', 'Consultant', 'Beleidsanalist', 'Gemeenteambtenaar', 'Onderzoeker']"
17,"['Onderzoeksanalist', 'Datawetenschapper', 'Beleidsanalist', 'Wetenschappelijk', 'Financieel', 'Marketinganalist']"
18,"['Bouwkundig', 'Projectmanager', 'Constructeur', 'Architect', 'BIM-modelleur', 'Bouwkostenadviseur', 'Duurzaamheidsadviseur', 'Bouwinspecteur']"
19,"['Marketing', 'Financieel', 'Human', 'Operations', 'Business', 'Sales']"
20,"['Accountmanager', 'Marketingmanager', 'Financieel', 'Human', 'Operations', 'Management', 'Business']"
21,"['Data', 'Business', 'Data', 'Data', 'Business', 'Risk']"
22,"['Business', 'IT', 'Projectmanager', 'Software', 'Data', 'IT', 'IT']"
23,"['Communicatiemanager', 'Public', 'Marketingcommunicatiespecialist', 'Social', 'Corporate', 'Eventmanager', 'Onderzoeksanalist']"
24,"['Juridisch', 'Bedrijfsjurist', 'Compliance', 'Advocaat', 'Legal', 'Ondernemingsrechtelijk']"
25,"['Econometrist', 'Data', 'Risk', 'Quantitative', 'Financial', 'Consultant']"
26,"['Econometrist', 'Financieel', 'Data-analist', 'Beleidseconoom', 'Riskmanager']"
27,"['Data', 'Quantitative', 'Risk', 'Econometrician', 'Operations', 'Business', 'Financial']"
28,"['Data', 'Risk', 'Quantitative', 'Financieel', 'Business', 'Actuaris', 'Econoom']"
29,"['Data', 'Financieel', 'Risk', 'Quantitative', 'Supply', 'Business', 'Operations']"
30,"['Data-analist', 'Risk', 'Financieel', 'Supply', 'Business', 'Actuaris', 'Operations']"
31,"['Data-analist', 'Riskmanager', 'Financieel', 'Supply', 'Business', 'Operations', 'Marketinganalist', 'Quantitative']"
32,"['Data', 'Risk', 'Financieel', 'Supply', 'Business', 'Quantitative', 'Operations']"
33,"['Econometrist', 'Data', 'Risk', 'Financieel', 'Supply', 'Business']"
34,"['Econoom', 'Financieel', 'Beleidsanalist', 'Bedrijfseconoom', 'Financieel', 'Data-analist']"
35,"['Financieel', 'Bedrijfsanalist', 'Risk', 'Marketinganalist', 'Beleidsanalist', 'Financieel', 'Operations']"
36,"['Financieel', 'Investment', 'Management', 'Risk', 'Business', 'Marketing']"
37,"['Financieel', 'Bedrijfsadviseur', 'Beleidseconoom', 'Risk', 'Marketinganalist', 'Data-analist']"
38,"['Financieel', 'Beleidsadviseur', 'Accountant', 'Data-analist', 'Business', 'Risk', 'Beleggingsanalist']"
39,"['Financieel', 'Beleidsanalist', 'Accountant', 'Financieel', 'Bedrijfsadviseur', 'Risk', 'Beleggingsanalist']"
40,"['Financieel', 'Management', 'Accountant', 'Beleidsanalist', 'Risk', 'Financieel', 'Marketingmanager']"
