,specific_keywords
0,"['Natuurlijke', 'hulpbronnen,', 'klimaatverandering,', 'circulaire', 'economie,', 'duurzame', 'ontwikkeling,', 'milieubeleid,', 'groene', 'energie,', 'sociale', 'rechtvaardigheid,', 'ecologische', 'voetafdruk,', 'biodiversiteit,', 'waterbeheer,', 'ethiek', 'in', 'het', 'bedrijfsleven.']"
1,"['Risk', 'Probability', 'Insurance', 'Financial', 'Statistical', 'Life', 'Pension', 'Actuarial', 'Loss', 'Data']"
2,"['Risicobeheer', 'Statistiek', 'Verzekeringswiskunde', 'Financiële', 'Levensverzekeringen', 'Pensioenen', 'Schadeverzekeringen', 'Kansrekening', 'Financiële', 'Stochastische']"
3,"['Natuurlijke', 'selectie,', 'Voedingsbehoeften,', 'Diergedrag,', 'Fokkerij,', 'Diergezondheid,', 'Dierlijke', 'voeding,', 'Dierlijke', 'anatomie,', 'Dierlijke', 'fysiologie,', 'Dierlijke', 'genetica,', 'Dierlijke', 'reproductie']"
4,"['Business', 'Management', 'Marketing', 'Finance', 'Accounting', 'Economics', 'Entrepreneurship', 'Organizational', 'Strategic', 'Business']"
5,"['Leisure', 'Recreation', 'Tourism', 'Event', 'Sports', 'Outdoor', 'Cultural', 'Sustainable', 'Leisure', 'Leisure']"
6,"['Toerisme', 'Bachelor', 'Toeristische', 'Toeristische', 'Reismanagement', 'Toerisme', 'Duurzaam', 'Toeristisch', 'Toeristische', 'Toeristische']"
7,"['Bedrijfskunde', 'Consumentengedrag', 'Marketing', 'Economie', 'Ondernemerschap', 'Financieel', 'Marktanalyse', 'Strategisch', 'Bedrijfsrecht', 'Consumentenonderzoek']"
8,"['Financiële', 'Management', 'Bedrijfsfinanciering', 'Ondernemerschap', 'Marketingstrategie', 'Risicobeheer', 'Economische', 'Bedrijfsethiek', 'Internationale', 'Organisatiegedrag']"
9,"['Organisatiestructuur', 'Strategisch', 'Marketing', 'Financieel', 'Human', 'Operationeel', 'Projectmanagement', 'Ondernemerschap', 'Internationale', 'Bedrijfsethiek']"
10,"['Organisatiestructuur', 'Strategisch', 'Financieel', 'Marketing', 'Human', 'Operations', 'Ondernemerschap', 'Bedrijfsethiek', 'Projectmanagement', 'Supply']"
11,"['Management', 'Organisatie', 'Strategie', 'Marketing', 'Financiën', 'Ondernemerschap', 'Human', 'Operations', 'Bedrijfsethiek', 'Projectmanagement']"
12,"['Management', 'Organisatie', 'Strategie', 'Marketing', 'Financiën', 'Human', 'Operations', 'Ondernemerschap', 'Bedrijfsethiek', 'Projectmanagement']"
13,"['Bestuur', 'Organisatie', 'Beleid', 'Management', 'Strategie', 'Verandering', 'Leiderschap', 'Besluitvorming', 'Organisatiecultuur', 'Publieke']"
14,"['Bestuur', 'Overheid', 'Beleid', 'Politiek', 'Publieke', 'Management', 'Organisatie', 'Besluitvorming', 'Openbaar', 'Governance']"
15,"['Bestuursorganen', 'Beleidsvorming', 'Openbaar', 'Politieke', 'Publieke', 'Governance', 'Bestuurskundige', 'Publieke', 'Juridische', 'Intergouvernementele']"
16,"['Bestuur', 'Overheid', 'Beleid', 'Politiek', 'Publieke', 'Governance', 'Management', 'Wet-', 'Organisatiekunde', 'Beleidsvorming']"
17,"['Wiskunde', 'Natuurkunde', 'Scheikunde', 'Biologie', 'Informatica', 'Statistiek', 'Genetica', 'Astrofysica', 'Biochemie', 'Kwantummechanica']"
18,"['Architectuur', 'Constructie', 'Duurzaamheid', 'Stedenbouw', 'Bouwtechniek', 'Materialen', 'Ontwerpproces', 'Bouwvoorschriften', 'Bouwmanagement', 'Gebouwonderhoud']"
19,"['Management', 'Marketing', 'Finance', 'Accounting', 'Human', 'Operations', 'Entrepreneurship', 'Strategic', 'Organizational', 'Business']"
20,"['Management', 'Marketing', 'Finance', 'Accounting', 'Human', 'Operations', 'Entrepreneurship', 'Strategic', 'Organizational', 'Business']"
21,"['Data', 'Predictive', 'Data', 'Machine', 'Statistical', 'Business', 'Data', 'Decision', 'Optimization', 'Risk']"
22,"['Business', 'Information', 'Data', 'E-commerce', 'Project', 'Systems', 'Database', 'Network', 'Web', 'Business']"
23,"['Massamedia', 'Interpersoonlijke', 'Persuasieve', 'Interculturele', 'Sociale', 'Communicatieonderzoek', 'Communicatietheorieën', 'Communicatiestrategieën', 'Mediaproduktie', 'Publieke']"
24,"['Juridisch', 'Wetgeving', 'Rechtspraak', 'Contractenrecht', 'Arbeidsrecht', 'Strafrecht', 'Bestuursrecht', 'Internationaal', 'Burgerlijk', 'Intellectueel', 'Organisatiestructuur', 'Management', 'Marketing', 'Financieel', 'Ondernemerschap', 'Strategisch', 'Human', 'Operations', 'Supply', 'Bedrijfseconomie']"
25,"['Lineaire', 'Tijdreeksanalyse', 'Paneldata-analyse', 'Multivariate', 'Schatting', 'Endogeniteit', 'Heteroskedasticiteit', 'Autocorrelatie', 'Instrumentvariabelen', 'Causale']"
26,"['Econometrie', 'Economische', 'Statistische', 'Econometrische', 'Micro-economie', 'Macro-economie', 'Econometrische', 'Economische', 'Economische', 'Econometrische']"
27,"['Econometrics', 'Operations', 'Data', 'Statistical', 'Regression', 'Time', 'Hypothesis', 'Predictive', 'Machine', 'Big']"
28,"['Econometrie', 'Statistiek', 'Wiskunde', 'Economie', 'Modellering', 'Data-analyse', 'Time', 'Regressie-analyse', 'Hypothesetesten', 'Econometrische']"
29,"['Statistiek', 'Wiskundige', 'Data-analyse', 'Econometrische', 'Lineaire', 'Operations', 'Optimalisatie', 'Time', 'Stochastische', 'Decision']"
30,"['Statistische', 'Wiskundige', 'Data-analyse', 'Econometrische', 'Lineaire', 'Stochastische', 'Operations', 'Beslissingsanalyse', 'Time', 'Financiële']"
31,"['Statistiek', 'Wiskundige', 'Optimalisatie', 'Data-analyse', 'Econometrische', 'Lineaire', 'Stochastische', 'Besluitvormingsanalyse', 'Tijdreeksanalyse', 'Experimenteel']"
32,"['Statistiek', 'Wiskunde', 'Data-analyse', 'Optimalisatie', 'Econometrische', 'Lineaire', 'Stochastische', 'Besluitvorming', 'Risicoanalyse', 'Financiële']"
33,"['Statistische', 'Wiskundige', 'Data-analyse', 'Optimalisatie', 'Econometrische', 'Stochastische', 'Lineaire', 'Beslissingsmodellen', 'Risicoanalyse', 'Operations']"
34,"['Microeconomics', 'Macroeconomics', 'Econometrics', 'International', 'Public', 'Monetary', 'Industrial', 'Development', 'Behavioral', 'Game']"
35,"['Microeconomics', 'Macroeconomics', 'Econometrics', 'International', 'Financial', 'Industrial', 'Game', 'Economic', 'Business', 'Entrepreneurship']"
36,"['Microeconomics', 'Macroeconomics', 'Econometrics', 'International', 'Financial', 'Industrial', 'Economic', 'Game', 'Monetary', 'Behavioral']"
37,"['Microeconomics', 'Macroeconomics', 'Econometrics', 'International', 'Financial', 'Industrial', 'Game', 'Economic', 'Monetary', 'Public']"
38,"['Micro-economie', 'Macro-economie', 'Financiële', 'Marketing', 'Management', 'Ondernemerschap', 'Bedrijfsstrategie', 'Internationale', 'Boekhouding', 'Bedrijfsfinanciering']"
39,"['Micro-economie', 'Macro-economie', 'Financiële', 'Bedrijfsfinanciering', 'Marketing', 'Operations', 'Ondernemerschap', 'Internationale', 'Boekhouding', 'Organisatiegedrag']"
40,"['Micro-economie', 'Macro-economie', 'Financiële', 'Internationale', 'Ondernemerschap', 'Marketing', 'Accounting', 'Bedrijfsfinanciering', 'Organisatiekunde', 'Strategisch']"
41,"['Macro-economie', 'Micro-economie', 'Financiële', 'Internationale', 'Ondernemerschap', 'Marketing', 'Boekhouding', 'Statistiek', 'Bedrijfsstrategie', 'Organisatiekunde']"
42,"['Micro-economie', 'Macro-economie', 'Financiële', 'Bedrijfsfinanciering', 'Marketing', 'Ondernemerschap', 'Management', 'Strategisch', 'Internationale', 'Econometrie']"
43,"['Micro-economie', 'Macro-economie', 'Financiële', 'Ondernemerschap', 'Marketing', 'Boekhouding', 'Bedrijfsstrategie', 'Internationale', 'Organisatiegedrag', 'Bedrijfsfinanciering']"
44,"['Economie', 'Beleid', 'Marktwerking', 'Micro-economie', 'Macro-economie', 'Overheidsbeleid', 'Financieel', 'Arbeidsmarktbeleid', 'Duurzaamheid', 'Internationale']"
45,"['Ondernemerschap', 'Bedrijfsinnovatie', 'Start-ups', 'Ondernemersvaardigheden', 'Bedrijfsontwikkeling', 'Ondernemersmentaliteit', 'Risicobeheer', 'Innovatiemanagement', 'Ondernemersstrategieën', 'Zakelijke']"
46,"['European', 'European', 'European', 'European', 'European', 'European', 'European', 'European', 'European', 'European']"
47,"['European', 'European', 'European', 'European', 'European', 'European', 'European', 'European', 'European', 'European']"
48,"['Europese', 'Europese', 'Europese', 'Europese', 'Europese', 'Europese', 'Europese', 'Europese', 'Europese', 'Europese']"
49,"['Belastingwetgeving', 'Inkomstenbelasting', 'Vennootschapsbelasting', 'Omzetbelasting', 'Successierecht', 'Internationaal', 'Fiscale', 'Fiscale', 'Belastingaangifte', 'Belastingadvies']"
50,"['Belastingwetgeving', 'Belastingaangifte', 'Belastingontduiking', 'Internationale', 'Inkomstenbelasting', 'Vennootschapsbelasting', 'Erfbelasting', 'Omzetbelasting', 'Fiscale', 'Fiscale']"
51,"['Belastingwetgeving', 'Inkomstenbelasting', 'Vennootschapsbelasting', 'Internationale', 'Fiscale', 'Belastingontwijking', 'Belastingfraude', 'BTW', 'Erf-', 'Fiscale']"
52,"['Belastingen', 'Economie', 'Fiscale', 'Belastingheffing', 'Belastingstelsels', 'Belastingplanning', 'Fiscale', 'Belastingaangifte', 'Belastingfraude', 'Internationale']"
53,"['Belastingen', 'Economie', 'Fiscale', 'Belastingaangifte', 'Belastingplanning', 'Belastingontwijking', 'Belastingtarieven', 'Belastingheffing', 'Internationale', 'Fiscale']"
54,"['Belastingen', 'Economie', 'Fiscale', 'Belastingaangifte', 'Belastingdienst', 'Belastingtarieven', 'Belastingontwijking', 'Belastingfraude', 'Internationale', 'Inkomstenbelasting']"
55,"['Belastingen', 'Economie', 'Fiscale', 'Belastingheffing', 'Belastingaangifte', 'Belastingontwijking', 'Belastingtarieven', 'Fiscale', 'Belastingbeleid', 'Belastingfraude']"
56,"['Duurzaamheid', 'Klimaatverandering', 'Hernieuwbare', 'Milieubescherming', 'Natuurbehoud', 'Circulaire', 'Groene', 'Voedselzekerheid', 'Watermanagement', 'Duurzame']"
57,"['Geografische', 'Stedelijke', 'Klimaatverandering', 'Ruimtelijke', 'Milieubeleid', 'Demografie', 'Geomorfologie', 'Cartografie', 'Duurzaamheid', 'Geografische']"
58,"['Epidemiologie', 'Volksgezondheid', 'Gezondheidsbevordering', 'Gezondheidszorgbeleid', 'Gezondheidseducatie', 'Ziektepreventie', 'Gezondheidsstatistieken', 'Gezondheidsbeoordeling', 'Gezondheidsbeheer', 'Gezondheidsgerelateerde']"
59,"['Productontwerp', 'Ergonomie', 'Materiaalonderzoek', 'Prototyping', 'Gebruikerservaring', 'Design', 'Duurzaamheid', 'Vormgeving', 'Visualisatie', 'CAD']"
60,"['Productontwerp', 'Ergonomie', 'Prototyping', 'Materiaalkunde', 'Gebruikerservaring', 'Duurzaamheid', 'Industriële', 'Productieprocessen', 'CAD', 'Innovatie']"
61,"['Productieplanning', 'Kwaliteitsmanagement', 'Supply', 'Operations', 'Lean', 'Procesoptimalisatie', 'Ergonomie', 'Projectmanagement', 'Kostenanalyse', 'Data-analyse']"
62,"['Productieplanning', 'Kwaliteitsmanagement', 'Supply', 'Procesoptimalisatie', 'Logistiek', 'Operations', 'Lean', 'Projectmanagement', 'Ergonomie', 'Kostenbeheersing']"
63,"['Data-analyse', 'Programmeertalen', 'Informatiesystemen', 'Human-Computer', 'Kunstmatige', 'Databases', 'Webontwikkeling', 'Gebruikerservaring', 'Data', 'Informatiebeveiliging']"
64,"['Econometrics', 'Operations', 'Mathematical', 'Statistical', 'Optimization', 'Time', 'Forecasting', 'Decision', 'Data', 'Quantitative']"
65,"['Economics', 'Business', 'International', 'Microeconomics', 'Macroeconomics', 'Econometrics', 'International', 'Financial', 'Managerial', 'Economic']"
66,"['Globalisering', 'Internationale', 'Internationale', 'Internationale', 'Cross-cultureel', 'Internationale', 'Internationaal', 'Internationale', 'Internationaal', 'Internationale']"
